nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
iddrisu baba,MF,Almería,25,14,1430,0,0,5,0,1,60,5,2023-2024,laliga
srđan babić,DF,Almería,1,1,90,0,0,0,0,1,6,0,2023-2024,laliga
loïc bade,DF,Sevilla,28,27,2277,0,1,5,1,15,76,3,2023-2024,laliga
alex baena,"MF,FW",Villarreal,34,33,2579,2,14,11,1,84,165,181,2023-2024,laliga
eric bailly,DF,Villarreal,10,9,839,0,0,4,0,3,18,1,2023-2024,laliga
cédric bakambu,FW,Betis,4,2,194,0,0,1,0,5,4,12,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
alejandro balde,DF,Barcelona,18,15,1378,0,1,1,0,73,41,141,2023-2024,laliga
iván balliu,DF,Rayo Vallecano,33,32,2873,0,1,4,0,50,98,100,2023-2024,laliga
jonathan bamba,"MF,FW",Celta Vigo,27,24,1981,3,2,0,0,107,80,169,2023-2024,laliga
léo baptistão,FW,Almería,32,22,1837,6,0,6,1,26,45,88,2023-2024,laliga
kike barja,"FW,MF",Osasuna,16,3,303,0,0,3,0,17,8,41,2023-2024,laliga
ander barrenetxea,"FW,MF",Real Sociedad,29,20,1427,4,1,1,0,56,39,163,2023-2024,laliga
pablo barrios,MF,Atlético Madrid,24,17,1555,0,1,5,0,37,98,56,2023-2024,laliga
marc bartra,DF,Betis,3,3,225,0,0,1,0,2,5,0,2023-2024,laliga
augusto batalla,GK,Granada,17,17,1530,0,0,3,0,0,1,1,2023-2024,laliga
bebé,"MF,FW",Rayo Vallecano,19,0,212,2,0,1,0,17,6,24,2023-2024,laliga
sheraldo becker,"FW,MF",Real Sociedad,15,8,771,2,2,1,0,28,13,87,2023-2024,laliga
héctor bellerín,DF,Betis,23,20,1711,0,1,0,1,32,81,80,2023-2024,laliga
jude bellingham,MF,Real Madrid,28,27,2315,19,6,5,1,85,196,177,2023-2024,laliga
fran beltrán,MF,Celta Vigo,33,28,2428,0,0,2,0,28,134,30,2023-2024,laliga
carlos benavídez,MF,Alavés,29,10,1136,3,1,5,0,9,60,5,2023-2024,laliga
yuri berchiche,DF,Athletic Club,27,22,1930,3,1,5,0,36,132,77,2023-2024,laliga
álex berenguer,FW,Athletic Club,35,15,1592,7,3,4,0,61,30,143,2023-2024,laliga
antonio blanco,MF,Alavés,33,29,2426,0,1,5,1,20,133,22,2023-2024,laliga
daley blind,DF,Girona,34,33,2972,1,2,6,0,48,209,22,2023-2024,laliga
adri bosch,DF,Granada,1,0,26,0,0,0,0,1,1,1,2023-2024,laliga
yassine bounou,GK,Sevilla,1,1,90,0,0,0,0,0,0,0,2023-2024,laliga
lucas boyé,FW,Granada,31,30,2541,6,3,8,1,36,65,131,2023-2024,laliga
darko brašanac,MF,Osasuna,2,0,48,0,0,0,0,2,1,3,2023-2024,laliga
brau,DF,Granada,1,0,31,0,0,0,0,2,0,0,2023-2024,laliga
claudio bravo,GK,Betis,7,7,630,0,0,0,0,0,1,0,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
ben brereton,"FW,MF",Villarreal,14,2,270,0,0,2,0,6,14,35,2023-2024,laliga
ante budimir,FW,Osasuna,33,29,2435,17,2,4,0,21,42,99,2023-2024,laliga
manu bueno,MF,Sevilla,4,1,117,0,0,1,0,1,3,1,2023-2024,laliga
pablo busto,DF,Betis,2,0,44,0,0,0,0,1,1,1,2023-2024,laliga
josé callejón,"MF,FW",Granada,25,7,803,0,1,2,0,10,35,50,2023-2024,laliga
eduardo camavinga,"MF,DF",Real Madrid,31,21,1817,0,2,9,0,49,106,31,2023-2024,laliga
sergio camello,FW,Rayo Vallecano,31,20,1661,3,1,3,0,22,41,79,2023-2024,laliga
josé campaña,MF,Las Palmas,8,1,171,0,0,0,0,1,15,4,2023-2024,laliga
joão cancelo,DF,Barcelona,32,29,2503,2,4,7,0,106,141,193,2023-2024,laliga
sergi canós,"MF,FW",Valencia,27,15,1229,1,2,1,0,32,52,88,2023-2024,laliga
étienne capoue,MF,Villarreal,32,15,1455,1,1,8,0,24,80,38,2023-2024,laliga
isaac carcelen,DF,Cádiz,35,29,2611,0,0,2,0,25,75,70,2023-2024,laliga
dani cárdenas,GK,Rayo Vallecano,1,1,90,0,0,0,0,0,0,0,2023-2024,laliga
marc cardona,FW,Las Palmas,26,6,737,4,1,4,0,10,13,74,2023-2024,laliga
sergi cardona,DF,Las Palmas,35,30,2814,1,2,11,0,60,160,165,2023-2024,laliga
johnny cardoso,MF,Betis,17,15,1328,1,2,3,0,10,45,11,2023-2024,laliga
carmona,"DF,MF",Getafe,30,15,1313,1,1,8,0,29,39,55,2023-2024,laliga
yannick carrasco,DF,Atlético Madrid,3,3,221,0,1,0,0,9,6,17,2023-2024,laliga
álvaro carreras,"MF,FW",Granada,13,5,475,0,0,1,0,13,14,31,2023-2024,laliga
dani carvajal,DF,Real Madrid,28,25,2171,4,3,5,1,30,82,168,2023-2024,laliga
william carvalho,MF,Betis,22,4,680,1,3,2,0,12,58,12,2023-2024,laliga
marc casado,MF,Barcelona,2,0,15,0,0,0,0,1,1,0,2023-2024,laliga
catena,DF,Osasuna,30,28,2534,1,3,8,1,5,77,1,2023-2024,laliga
dani ceballos,"MF,FW",Real Madrid,20,5,598,0,2,2,0,16,47,23,2023-2024,laliga
álex centelles,DF,Almería,14,11,980,0,1,2,0,16,31,53,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
franco cervi,"MF,DF",Celta Vigo,17,5,546,0,1,2,0,16,24,36,2023-2024,laliga
pep chavarría,"DF,MF",Rayo Vallecano,22,12,1167,1,1,6,1,28,74,84,2023-2024,laliga
andreas christensen,"DF,MF",Barcelona,30,27,1979,2,2,4,0,24,117,6,2023-2024,laliga
chumi,DF,Almería,31,26,2434,0,1,4,0,11,68,4,2023-2024,laliga
víctor chust,DF,Cádiz,22,22,1864,0,1,3,2,10,80,2,2023-2024,laliga
pathé ciss,MF,Rayo Vallecano,31,16,1664,1,0,10,0,14,84,22,2023-2024,laliga
silvi clúa,MF,Girona,1,0,1,0,0,0,0,0,0,0,2023-2024,laliga
saúl coco,DF,Las Palmas,30,26,2295,1,0,6,1,9,69,1,2023-2024,laliga
santi comesaña,MF,Villarreal,27,20,1653,2,0,8,2,23,92,48,2023-2024,laliga
copete,DF,Mallorca,19,17,1333,1,1,7,0,3,52,2,2023-2024,laliga
francis coquelin,MF,Villarreal,17,10,910,0,0,4,0,5,47,14,2023-2024,laliga
theo corbeanu,"MF,FW",Granada,9,2,182,1,0,2,0,5,5,13,2023-2024,laliga
jesús corona,"MF,DF",Sevilla,2,0,17,0,0,0,0,0,0,4,2023-2024,laliga
ángel correa,"FW,MF",Atlético Madrid,32,14,1528,9,2,3,0,40,61,128,2023-2024,laliga
thierry correia,DF,Valencia,31,25,2154,0,2,4,1,40,80,56,2023-2024,laliga
jaume costa,DF,Mallorca,30,19,1682,0,1,7,0,34,50,104,2023-2024,laliga
samu costa,MF,Mallorca,34,26,2303,1,1,8,0,16,93,32,2023-2024,laliga
thibaut courtois,GK,Real Madrid,4,4,332,0,0,0,0,0,0,0,2023-2024,laliga
yan couto,"DF,FW",Girona,34,24,2245,1,8,8,0,151,97,240,2023-2024,laliga
crespo,MF,Rayo Vallecano,15,4,527,0,0,4,0,13,30,20,2023-2024,laliga
cristian,GK,Valencia,1,0,57,0,0,0,0,0,0,0,2023-2024,laliga
juan cruz armada,DF,Osasuna,26,18,1667,0,1,3,0,16,77,29,2023-2024,laliga
juan cruz,FW,Betis,5,0,76,0,0,0,0,2,3,10,2023-2024,laliga
pau cubarsí,DF,Barcelona,19,18,1558,0,0,4,0,8,75,2,2023-2024,laliga
iván cuéllar,GK,Mallorca,1,1,90,0,0,0,0,0,0,0,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
jorge cuenca,DF,Villarreal,29,21,1963,3,1,7,0,11,78,30,2023-2024,laliga
eric curbelo,"DF,MF",Las Palmas,2,1,102,0,0,0,0,0,4,0,2023-2024,laliga
alberto dadie,MF,Real Sociedad,1,0,28,0,0,0,0,0,0,0,2023-2024,laliga
sergi darder,MF,Mallorca,36,21,2157,2,5,4,0,56,132,75,2023-2024,laliga
rodrigo de paul,MF,Atlético Madrid,34,25,2075,3,5,7,0,73,202,55,2023-2024,laliga
mouctar diakhaby,"DF,MF",Valencia,14,12,1073,1,0,6,0,7,29,1,2023-2024,laliga
moussa diakité,MF,Cádiz,1,0,1,0,0,0,0,0,0,0,2023-2024,laliga
assane diao,FW,Betis,18,13,1048,2,0,4,0,33,20,101,2023-2024,laliga
brahim díaz,"FW,MF",Real Madrid,31,18,1545,8,6,0,0,76,75,166,2023-2024,laliga
víctor díaz,"DF,MF",Granada,4,2,162,0,0,1,0,0,2,0,2023-2024,laliga
famara diedhiou,"FW,MF",Granada,8,0,89,0,1,1,0,5,0,19,2023-2024,laliga
stole dimitrievski,GK,Rayo Vallecano,37,37,3330,0,0,2,0,0,0,0,2023-2024,laliga
djené,"DF,MF",Getafe,33,30,2484,0,0,14,1,13,98,19,2023-2024,laliga
marko dmitrović,GK,Sevilla,13,13,1170,0,0,1,0,0,1,0,2023-2024,laliga
jaume doménech,GK,Valencia,2,1,79,0,0,0,0,0,0,0,2023-2024,laliga
carlos dominguez,DF,Celta Vigo,22,18,1584,0,0,2,0,11,63,3,2023-2024,laliga
mario dominguez,FW,Valencia,3,0,25,0,0,0,0,0,1,1,2023-2024,laliga
carlos dotor,MF,Celta Vigo,17,7,708,0,0,2,0,3,30,12,2023-2024,laliga
anastasios douvikas,FW,Celta Vigo,32,7,905,7,1,2,0,10,13,53,2023-2024,laliga
artem dovbyk,FW,Girona,36,32,2587,24,8,2,0,18,26,118,2023-2024,laliga
domingos duarte,DF,Getafe,15,11,907,0,0,5,2,7,47,0,2023-2024,laliga
rubén duarte,DF,Alavés,28,21,1878,2,1,7,0,16,81,39,2023-2024,laliga
hugo duro,FW,Valencia,37,35,2976,13,2,4,0,27,34,157,2023-2024,laliga
aritz elustondo,DF,Real Sociedad,15,7,812,0,1,2,0,4,31,2,2023-2024,laliga
adri embarba,"FW,MF",Almería,36,29,2476,3,2,5,0,94,58,167,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
youssef en-nesyri,FW,Sevilla,33,28,2570,16,2,4,0,17,17,81,2023-2024,laliga
gonzalo escalante,MF,Cádiz,25,18,1697,1,2,2,1,4,66,14,2023-2024,laliga
aarón escandell,GK,Las Palmas,2,1,153,0,0,0,1,0,0,0,2023-2024,laliga
alfonso espino,DF,Rayo Vallecano,31,29,2507,0,1,9,0,41,113,89,2023-2024,laliga
bernardo espinosa,DF,Girona,2,0,2,0,0,0,0,0,0,0,2023-2024,laliga
karl etta,FW,Cádiz,1,0,21,0,0,0,0,0,0,1,2023-2024,laliga
abde ezzalzouli,"FW,MF",Barcelona,2,0,68,0,0,0,0,7,1,12,2023-2024,laliga
abde ezzalzouli,FW,Betis,26,6,865,1,0,1,0,57,25,89,2023-2024,laliga
radamel falcao,"FW,DF",Rayo Vallecano,22,2,407,1,0,4,0,7,7,23,2023-2024,laliga
fali,DF,Cádiz,30,30,2547,0,0,12,0,16,82,10,2023-2024,laliga
ansu fati,"MF,FW",Barcelona,3,0,50,0,0,0,0,6,4,5,2023-2024,laliga
nabil fekir,"MF,FW",Betis,19,10,1049,1,2,1,0,32,67,77,2023-2024,laliga
luiz felipe,DF,Betis,4,4,360,0,0,1,0,0,4,0,2023-2024,laliga
joão félix,FW,Barcelona,30,18,1540,7,3,3,0,69,68,169,2023-2024,laliga
kiko femenía,DF,Villarreal,23,16,1583,0,0,8,1,46,100,45,2023-2024,laliga
aitor fernández,GK,Osasuna,7,6,551,0,0,2,0,0,1,0,2023-2024,laliga
álex fernández,MF,Cádiz,26,14,1285,0,1,3,0,11,52,26,2023-2024,laliga
carlos fernández,FW,Real Sociedad,10,5,408,2,1,3,0,5,4,13,2023-2024,laliga
raúl fernández,GK,Granada,4,4,280,0,0,0,0,0,0,0,2023-2024,laliga
valery fernández,"MF,FW",Girona,27,2,506,2,0,1,0,20,12,54,2023-2024,laliga
fernando,GK,Almería,4,4,360,0,0,0,0,0,0,0,2023-2024,laliga
fernando,MF,Sevilla,8,5,459,0,0,0,0,5,24,7,2023-2024,laliga
andré ferreira,GK,Granada,15,14,1340,0,0,1,0,0,0,0,2023-2024,laliga
rachad fettal,FW,Almería,1,0,17,0,0,0,0,0,0,2,2023-2024,laliga
pablo fornals,"FW,MF",Betis,15,14,1148,3,2,2,0,37,89,82,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
héctor fort,DF,Barcelona,7,4,318,0,2,0,0,3,7,38,2023-2024,laliga
dimitri foulquier,"DF,MF",Valencia,33,19,1842,0,0,3,0,42,72,64,2023-2024,laliga
juan foyth,DF,Villarreal,12,12,1062,1,1,1,0,19,51,28,2023-2024,laliga
jorge de frutos,"FW,MF",Rayo Vallecano,36,14,1549,2,0,1,0,42,40,144,2023-2024,laliga
daniel fuzato,GK,Getafe,1,0,7,0,0,0,0,0,0,0,2023-2024,laliga
matteo gabbia,DF,Villarreal,7,6,477,0,0,2,0,1,9,0,2023-2024,laliga
javi galán,DF,Atlético Madrid,5,0,88,0,0,1,0,3,4,13,2023-2024,laliga
javi galán,DF,Real Sociedad,14,13,1075,0,1,3,0,46,45,70,2023-2024,laliga
iñigo ruiz de galarreta,MF,Athletic Club,29,25,2091,1,1,7,0,26,147,36,2023-2024,laliga
aleix garcía,MF,Girona,37,36,3199,3,6,4,1,58,294,52,2023-2024,laliga
álvaro garcía,"FW,MF",Rayo Vallecano,32,30,2475,6,1,8,1,56,63,252,2023-2024,laliga
dani garcía,MF,Athletic Club,17,7,745,1,0,4,0,3,36,4,2023-2024,laliga
david garcía,DF,Osasuna,27,27,2334,0,1,5,0,21,133,4,2023-2024,laliga
eric garcía,DF,Barcelona,2,0,57,0,0,1,0,0,5,0,2023-2024,laliga
eric garcía,DF,Girona,30,30,2637,5,0,4,0,45,221,18,2023-2024,laliga
fran garcia,DF,Real Madrid,25,15,1398,1,5,2,0,53,60,139,2023-2024,laliga
gonzalo garcía,"FW,MF",Real Madrid,2,0,19,0,0,0,0,1,0,3,2023-2024,laliga
jastin garcía,FW,Girona,3,0,32,0,0,0,0,2,2,8,2023-2024,laliga
raúl garcía,"FW,MF",Athletic Club,20,1,420,1,0,3,0,4,19,15,2023-2024,laliga
rubén garcía,"FW,MF",Osasuna,30,19,1547,3,2,1,0,16,59,117,2023-2024,laliga
santiago garcía,FW,Getafe,1,0,25,0,0,0,0,1,2,1,2023-2024,laliga
unai garcía,DF,Osasuna,9,6,560,1,0,6,1,2,12,1,2023-2024,laliga
yarek gasiorowski,DF,Valencia,14,7,735,0,0,1,0,4,15,10,2023-2024,laliga
federico gattoni,"DF,FW",Sevilla,2,0,10,0,0,0,0,0,0,0,2023-2024,laliga
gavi,"MF,FW",Barcelona,12,10,944,1,1,5,0,26,39,38,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
paulo gazzaniga,GK,Girona,38,38,3420,0,0,2,0,0,0,0,2023-2024,laliga
david gil,GK,Cádiz,5,4,372,0,0,1,0,0,0,0,2023-2024,laliga
maxi gómez,FW,Cádiz,31,12,1163,0,0,2,0,13,11,54,2023-2024,laliga
moi gómez,"MF,FW",Osasuna,28,23,2006,3,0,3,0,36,127,69,2023-2024,laliga
unai gómez,MF,Athletic Club,25,9,875,2,0,1,0,20,28,48,2023-2024,laliga
édgar gonzález,"DF,MF",Almería,31,30,2522,2,0,7,1,6,72,6,2023-2024,laliga
fabio gonzález,MF,Las Palmas,6,1,123,0,0,1,0,0,9,2,2023-2024,laliga
giovanni gonzález,DF,Mallorca,34,27,2464,1,1,6,0,28,91,95,2023-2024,laliga
hugo gonzález,"MF,FW",Valencia,9,0,87,0,1,0,0,2,2,7,2023-2024,laliga
iñaki gonzález,MF,Las Palmas,1,0,5,0,0,0,0,0,0,0,2023-2024,laliga
peter gonzález,"MF,FW",Valencia,15,5,649,0,0,1,0,19,16,48,2023-2024,laliga
urko gonzález,MF,Real Sociedad,5,2,156,0,0,1,0,1,6,1,2023-2024,laliga
andoni gorosabel,DF,Alavés,36,33,2854,1,0,6,0,58,117,121,2023-2024,laliga
pablo gozalbez,"MF,FW",Valencia,5,1,103,0,0,0,0,0,0,5,2023-2024,laliga
mason greenwood,"MF,FW",Getafe,33,30,2662,8,6,6,1,127,89,239,2023-2024,laliga
dominik greif,GK,Mallorca,1,1,90,0,0,0,0,0,0,0,2023-2024,laliga
antoine griezmann,"FW,MF",Atlético Madrid,33,31,2644,16,6,5,0,43,118,196,2023-2024,laliga
vicente guaita,GK,Celta Vigo,27,26,2403,0,0,2,0,0,0,0,2023-2024,laliga
andrés guardado,MF,Betis,12,4,447,0,0,2,0,5,36,6,2023-2024,laliga
sergi guardiola,"FW,MF",Cádiz,22,1,495,1,1,1,0,10,19,32,2023-2024,laliga
nemanja gudelj,"DF,MF",Sevilla,22,20,1742,1,1,7,0,23,73,5,2023-2024,laliga
gonçalo guedes,"FW,MF",Villarreal,17,9,951,3,2,0,0,38,50,88,2023-2024,laliga
javier guerra,MF,Valencia,36,28,2498,4,1,3,1,47,81,68,2023-2024,laliga
ander guevara,MF,Alavés,37,33,2932,1,0,7,0,53,187,37,2023-2024,laliga
hugo guillamón,MF,Valencia,26,12,1315,1,0,7,0,6,65,10,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
marc guiu,"FW,MF",Barcelona,3,1,74,1,0,1,0,1,1,8,2023-2024,laliga
arda güler,"FW,MF",Real Madrid,10,4,377,6,0,1,0,16,17,25,2023-2024,laliga
gerard gumbau,MF,Granada,35,31,2674,0,3,12,0,20,135,29,2023-2024,laliga
i̇lkay gündoğan,MF,Barcelona,36,33,2994,5,9,5,0,71,224,116,2023-2024,laliga
jon guridi,MF,Alavés,36,34,2678,3,4,2,0,30,117,92,2023-2024,laliga
gorka guruzeta,FW,Athletic Club,32,30,2217,14,5,2,0,18,55,102,2023-2024,laliga
miguel gutiérrez,DF,Girona,35,35,3032,2,7,4,0,74,146,184,2023-2024,laliga
munir el haddadi,FW,Las Palmas,38,32,2449,3,2,3,0,26,78,167,2023-2024,laliga
ianis hagi,"MF,FW",Alavés,22,8,804,0,2,3,0,17,32,58,2023-2024,laliga
luiz henrique,FW,Betis,14,6,616,0,3,1,0,35,17,58,2023-2024,laliga
mario hermoso,DF,Atlético Madrid,31,29,2557,0,1,9,0,39,177,61,2023-2024,laliga
javi hernández,DF,Cádiz,30,28,2514,1,2,10,0,40,94,57,2023-2024,laliga
aridane hernández,DF,Rayo Vallecano,19,19,1690,0,0,3,0,0,21,0,2023-2024,laliga
luis hernández,DF,Cádiz,9,8,723,1,0,4,0,2,31,1,2023-2024,laliga
jorge herrando,DF,Osasuna,19,18,1644,0,1,4,0,3,35,1,2023-2024,laliga
ander herrera,MF,Athletic Club,23,10,1030,0,3,4,0,11,94,17,2023-2024,laliga
cristian herrera,"FW,MF",Las Palmas,8,1,166,1,0,1,0,2,8,16,2023-2024,laliga
sergio herrera,GK,Osasuna,32,32,2869,0,0,2,0,0,1,0,2023-2024,laliga
yangel herrera,MF,Girona,29,27,2107,5,0,9,0,31,92,76,2023-2024,laliga
juan herzog,DF,Las Palmas,4,3,292,2,0,1,0,0,3,0,2023-2024,laliga
martin hongla,"MF,DF",Granada,13,6,562,0,0,0,0,3,16,5,2023-2024,laliga
xabier huarte armendáriz,MF,Osasuna,1,0,9,0,0,0,0,0,1,0,2023-2024,laliga
pablo ibáñez,MF,Osasuna,33,12,1152,1,2,5,0,26,67,54,2023-2024,laliga
iglesias,"DF,FW",Getafe,23,16,1412,0,2,4,0,16,43,48,2023-2024,laliga
borja iglesias,FW,Betis,11,4,408,0,1,2,0,5,12,32,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
imanol,DF,Athletic Club,9,5,525,0,0,2,0,13,21,15,2023-2024,laliga
isco,MF,Betis,29,28,2326,8,5,10,0,100,216,145,2023-2024,laliga
diego iturralde,DF,Sevilla,1,0,37,0,0,0,0,1,1,0,2023-2024,laliga
adnan januzaj,"FW,MF",Sevilla,8,0,193,0,0,0,0,1,9,17,2023-2024,laliga
mikel jauregizar,MF,Athletic Club,7,1,151,0,0,0,0,2,5,3,2023-2024,laliga
luis javier suárez,FW,Almería,15,10,917,6,0,3,0,30,15,53,2023-2024,laliga
salim el jebari,MF,Atlético Madrid,1,0,13,0,0,0,0,1,0,1,2023-2024,laliga
frenkie de jong,MF,Barcelona,20,20,1634,2,0,7,0,69,168,38,2023-2024,laliga
joan jordán,MF,Sevilla,8,4,380,0,0,1,0,0,32,1,2023-2024,laliga
jordi,"MF,DF",Getafe,13,5,573,0,0,1,0,6,14,28,2023-2024,laliga
jeremy jorge,FW,Getafe,1,0,2,0,0,0,0,0,0,0,2023-2024,laliga
willian josé,FW,Betis,33,25,1971,10,5,0,1,8,32,90,2023-2024,laliga
joselu,FW,Real Madrid,34,15,1687,10,2,1,0,15,20,98,2023-2024,laliga
kamil jóźwiak,MF,Granada,11,7,571,0,1,2,0,15,21,31,2023-2024,laliga
juanmi,FW,Cádiz,16,9,873,3,1,3,0,7,12,40,2023-2024,laliga
juanpe,DF,Girona,17,6,746,0,0,4,0,3,14,0,2023-2024,laliga
vinicius júnior,FW,Real Madrid,26,22,1864,15,5,7,0,137,57,277,2023-2024,laliga
filip jørgensen,GK,Villarreal,36,36,3240,0,0,4,0,0,0,0,2023-2024,laliga
sory kaba,FW,Las Palmas,17,9,720,1,1,2,0,7,12,36,2023-2024,laliga
kaiky,DF,Almería,8,5,523,1,0,2,0,4,24,1,2023-2024,laliga
jon karrikaburu,"MF,FW",Alavés,2,0,16,0,0,0,0,0,0,1,2023-2024,laliga
ibrahima kebe,MF,Girona,2,0,9,0,0,1,0,0,0,1,2023-2024,laliga
kiké,"FW,MF",Alavés,33,15,1423,3,2,3,0,18,32,97,2023-2024,laliga
koke,MF,Atlético Madrid,35,32,2493,0,4,5,0,26,212,26,2023-2024,laliga
ibrahima koné,FW,Almería,9,2,277,0,0,0,0,5,3,18,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
rominigue kouamé,MF,Cádiz,16,9,821,0,0,2,0,16,34,5,2023-2024,laliga
