nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
nabil aberdin,DF,Getafe,2,2,180,0,0,0,0,0,7,0,2023-2024,laliga
abner,DF,Betis,23,15,1400,0,1,3,0,14,33,58,2023-2024,laliga
abdel abqar,DF,Alavés,27,27,2312,0,0,10,0,7,49,1,2023-2024,laliga
marcos acuña,DF,Sevilla,21,18,1292,1,2,7,0,23,59,42,2023-2024,laliga
julen agirrezabala,GK,Athletic Club,4,2,238,0,0,0,0,0,0,0,2023-2024,laliga
lucien agoume,MF,Sevilla,12,9,777,0,0,3,0,7,35,9,2023-2024,laliga
joseph aidoo,DF,Celta Vigo,6,4,407,0,0,0,0,2,12,0,2023-2024,laliga
ilias akhomach,"MF,FW",Villarreal,31,17,1511,2,2,4,0,68,45,160,2023-2024,laliga
sergio akieme,DF,Almería,19,19,1675,2,0,2,0,27,28,72,2023-2024,laliga
paul akouokou,MF,Betis,2,0,27,0,0,0,0,0,1,0,2023-2024,laliga
david alaba,DF,Real Madrid,14,14,1154,0,1,2,0,9,51,13,2023-2024,laliga
raúl albiol,DF,Villarreal,26,24,2031,0,1,6,0,8,62,0,2023-2024,laliga
rubén alcaraz,MF,Cádiz,36,36,3134,3,1,14,0,27,154,37,2023-2024,laliga
omar alderete,DF,Getafe,31,24,2195,0,1,8,1,23,98,9,2023-2024,laliga
iván alejo,MF,Cádiz,30,21,1692,0,2,17,0,48,31,104,2023-2024,laliga
carles aleñá,MF,Getafe,29,10,1020,1,1,6,0,12,23,45,2023-2024,laliga
mohamed ali cho,"FW,MF",Real Sociedad,11,1,249,0,0,0,0,16,3,19,2023-2024,laliga
tadeo allende,"MF,FW",Celta Vigo,10,2,336,1,0,1,0,9,7,25,2023-2024,laliga
domingos andré ribeiro almeida,"FW,MF",Valencia,18,12,965,2,1,0,0,24,50,33,2023-2024,laliga
marcos alonso,DF,Barcelona,5,3,252,0,0,0,0,11,14,33,2023-2024,laliga
adrià altimira,"DF,MF",Villarreal,11,10,775,0,0,3,0,10,29,15,2023-2024,laliga
sergi altimira,MF,Betis,14,6,568,1,0,1,0,10,31,8,2023-2024,laliga
gastón álvarez,DF,Getafe,34,29,2537,2,0,7,0,11,63,40,2023-2024,laliga
hugo álvarez,"MF,DF",Celta Vigo,12,8,762,1,1,1,0,36,34,80,2023-2024,laliga
yeray álvarez,DF,Athletic Club,19,14,1152,0,0,1,1,13,55,2,2023-2024,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2023-2024,laliga
selim amallah,"FW,MF",Valencia,20,7,604,0,1,5,1,7,21,36,2023-2024,laliga
amath,"FW,MF",Mallorca,15,3,394,0,0,2,0,19,13,30,2023-2024,laliga
miguel ángel rubio,DF,Granada,19,17,1560,1,0,5,0,7,27,1,2023-2024,laliga
fabrizio angileri,"DF,MF",Getafe,11,2,164,0,0,2,1,2,7,6,2023-2024,laliga
mauro arambarri,MF,Getafe,7,3,339,0,0,2,0,2,20,6,2023-2024,laliga
jon aramburu,DF,Real Sociedad,11,5,543,0,0,3,0,6,26,25,2023-2024,laliga
julian araujo,DF,Las Palmas,25,15,1462,1,0,5,0,23,74,47,2023-2024,laliga
ronald araújo,DF,Barcelona,25,21,1997,1,2,6,0,24,101,11,2023-2024,laliga
adu ares,FW,Athletic Club,12,2,265,0,0,2,0,13,3,39,2023-2024,laliga
jesús areso,DF,Osasuna,37,29,2660,1,6,3,0,78,106,180,2023-2024,laliga
matias arezo,FW,Granada,14,3,369,0,0,1,0,6,5,17,2023-2024,laliga
iñigo arguibide,DF,Osasuna,1,0,17,0,0,0,0,0,0,0,2023-2024,laliga
josé arnaiz,"FW,MF",Osasuna,26,9,929,2,1,3,0,23,11,85,2023-2024,laliga
sergio arribas,"MF,FW",Almería,34,22,2047,9,4,1,0,56,81,94,2023-2024,laliga
kepa arrizabalaga,GK,Real Madrid,14,13,1198,0,0,1,0,0,0,0,2023-2024,laliga
iago aspas,FW,Celta Vigo,35,31,2707,9,10,6,1,84,161,202,2023-2024,laliga
ezequiel ávila,"FW,MF",Osasuna,17,10,864,1,3,3,2,14,39,75,2023-2024,laliga
ezequiel ávila,FW,Betis,6,4,298,1,0,4,1,7,6,31,2023-2024,laliga
césar azpilicueta,DF,Atlético Madrid,25,14,1423,0,2,4,0,39,77,39,2023-2024,laliga
