nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
jota silva,"FW,MF",1999,31,5,854,3,1,5,0,21,18,59,2024-2025,premier-league
eric da silva moreira,"MF,DF",2006,2,0,30,0,0,0,0,1,0,1,2024-2025,premier-league
jahmai simpson-pusey,DF,2005,2,1,96,0,0,1,0,1,3,0,2024-2025,premier-league
luis sinisterra,"FW,MF",1999,12,1,236,1,1,0,0,19,6,38,2024-2025,premier-league
oliver skipp,MF,2000,24,10,1129,0,0,8,0,16,35,19,2024-2025,premier-league
william smallbone,MF,2000,18,6,690,1,0,1,0,5,27,25,2024-2025,premier-league
adam smith,DF,1991,25,19,1590,0,0,7,0,15,49,34,2024-2025,premier-league
emile smith rowe,MF,2000,34,25,2043,6,3,3,0,53,126,127,2024-2025,premier-league
dominic solanke,FW,1997,27,25,2201,9,3,0,0,31,47,88,2024-2025,premier-league
carlos soler,"MF,FW",1997,31,14,1409,1,1,6,0,17,56,37,2024-2025,premier-league
julio soler,"DF,FW",2005,3,0,11,0,0,0,0,0,0,2,2024-2025,premier-league
ramón sosa,"FW,MF",1999,19,1,295,1,0,1,0,12,6,17,2024-2025,premier-league
tomáš souček,MF,1995,35,30,2567,9,1,8,0,9,74,68,2024-2025,premier-league
boubakary soumaré,MF,1999,31,25,2171,0,0,8,0,34,105,23,2024-2025,premier-league
djed spence,DF,2000,25,19,1792,1,2,4,1,59,105,70,2024-2025,premier-league
jay stansfield,MF,2002,1,0,1,0,0,0,0,0,0,0,2024-2025,premier-league
jason steele,GK,1990,2,2,180,0,0,0,0,0,0,0,2024-2025,premier-league
jack stephens,DF,1994,19,17,1389,1,0,2,2,14,63,2,2024-2025,premier-league
raheem sterling,"FW,MF",1994,17,7,499,0,2,1,0,27,18,79,2024-2025,premier-league
ross stewart,FW,1996,12,4,389,1,0,1,0,3,2,10,2024-2025,premier-league
jakub stolarczyk,GK,2000,10,10,900,0,0,1,0,0,1,0,2024-2025,premier-league
john stones,"DF,MF",1994,11,6,548,2,0,1,0,10,21,2,2024-2025,premier-league
jørgen strand larsen,FW,2000,35,30,2587,14,4,4,0,17,29,112,2024-2025,premier-league
yukinari sugawara,"DF,MF",2000,30,16,1557,1,1,4,0,33,72,78,2024-2025,premier-league
kamaldeen sulemana,"FW,MF",2002,26,17,1402,1,1,2,0,63,27,87,2024-2025,premier-league
crysencio summerville,"FW,MF",2001,19,7,786,1,1,2,0,29,18,71,2024-2025,premier-league
sammie szmodics,"FW,MF",1995,20,13,992,4,0,2,0,16,19,47,2024-2025,premier-league
dominik szoboszlai,MF,2000,36,29,2491,6,6,6,0,72,131,127,2024-2025,premier-league
matt targett,DF,1995,2,0,21,0,0,0,0,0,0,1,2024-2025,premier-league
james tarkowski,DF,1992,33,33,2922,1,1,6,0,9,75,3,2024-2025,premier-league
