nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
bjarki bjarkason,"DF,MF",2000,9,1,165,0,0,2,0,6,10,13,2024-2025,serie-a
emil bohinen,MF,1999,3,1,166,0,0,0,0,6,5,2,2024-2025,serie-a
warren bondo,MF,2003,20,19,1618,0,0,5,1,25,39,21,2024-2025,serie-a
warren bondo,MF,2003,4,3,162,0,0,1,0,2,7,0,2024-2025,serie-a
kevin bonifazi,DF,1996,3,0,65,0,0,0,0,0,1,1,2024-2025,serie-a
ange-yoan bonny,FW,2003,37,30,2529,6,4,2,0,41,53,163,2024-2025,serie-a
edoardo bove,"MF,FW",2002,11,10,836,1,2,3,0,12,37,24,2024-2025,serie-a
domagoj bradarić,DF,1999,28,24,1933,1,0,6,0,30,46,83,2024-2025,serie-a
matthias braunöder,MF,2002,8,3,268,0,0,3,1,2,18,0,2024-2025,serie-a
iker bravo,"FW,MF",2005,29,4,682,2,1,3,0,7,18,39,2024-2025,serie-a
gleison bremer,DF,1997,6,6,540,0,0,2,0,2,21,0,2024-2025,serie-a
brenner,"MF,FW",2000,9,5,386,1,2,0,0,5,7,16,2024-2025,serie-a
marco brescianini,MF,2000,29,9,991,4,2,1,0,46,36,69,2024-2025,serie-a
arvid brorsson,DF,1999,6,3,362,0,0,0,0,1,9,1,2024-2025,serie-a
tajon buchanan,"DF,FW",1999,6,0,95,0,0,0,0,6,2,8,2024-2025,serie-a
alessandro buongiorno,DF,1999,22,22,1924,1,0,2,0,27,82,8,2024-2025,serie-a
rareș-cătălin burnete,FW,2004,4,0,28,0,0,0,0,0,0,4,2024-2025,serie-a
gianluca busio,MF,2002,33,28,2518,2,0,4,0,60,95,135,2024-2025,serie-a
jean butez,GK,1995,19,18,1666,0,0,0,0,0,1,0,2024-2025,serie-a
liberato cacace,"MF,DF",2000,33,24,2230,2,4,6,0,53,70,97,2024-2025,serie-a
alessio cacciamani,"MF,DF",2007,2,0,31,0,0,0,0,2,1,2,2024-2025,serie-a
davide calabria,DF,1996,11,7,632,0,1,3,0,7,40,20,2024-2025,serie-a
davide calabria,DF,1996,7,4,316,0,0,0,0,8,24,31,2024-2025,serie-a
luca caldirola,DF,1991,14,10,876,0,0,5,0,5,22,4,2024-2025,serie-a
hakan çalhanoğlu,MF,1994,28,25,1879,5,6,5,0,52,173,51,2024-2025,serie-a
drissa camara,"MF,FW",2002,21,1,447,0,0,3,0,18,27,35,2024-2025,serie-a
francesco camarda,"FW,MF",2008,10,1,206,0,0,0,0,2,1,16,2024-2025,serie-a
nicolò cambiaghi,FW,2000,18,4,620,1,3,0,0,45,25,63,2024-2025,serie-a
andrea cambiaso,"DF,FW",2000,33,25,2221,2,3,4,0,78,111,122,2024-2025,serie-a
thomas campaniello,FW,2008,3,0,25,0,0,0,0,0,0,6,2024-2025,serie-a
matteo cancellieri,"FW,MF",2002,27,19,1424,3,0,2,1,40,24,79,2024-2025,serie-a
fali candé,DF,1998,17,17,1530,1,1,4,0,5,47,3,2024-2025,serie-a
antonio candela,DF,2000,14,12,1008,0,1,2,0,12,27,25,2024-2025,serie-a
gianluca caprari,"MF,FW",1993,34,18,1651,3,2,3,0,43,81,104,2024-2025,serie-a
elia caprile,GK,2001,18,18,1620,0,0,0,0,0,0,0,2024-2025,serie-a
elia caprile,GK,2001,4,3,325,0,0,0,0,0,0,0,2024-2025,serie-a
francesco caputo,FW,1987,1,0,6,0,0,0,0,0,0,1,2024-2025,serie-a
maxence caqueret,MF,2000,18,15,1087,2,3,4,0,15,76,46,2024-2025,serie-a
andrea carboni,DF,2001,26,25,2191,0,1,5,0,9,51,32,2024-2025,serie-a
franco carboni,DF,2003,8,3,226,0,0,2,0,2,6,11,2024-2025,serie-a
marco carnesecchi,GK,2000,34,34,3060,0,0,1,0,0,0,0,2024-2025,serie-a
cesare casadei,MF,2003,15,13,1017,1,1,1,0,14,36,12,2024-2025,serie-a
nicolò casale,DF,1998,15,9,900,0,1,1,0,3,29,2,2024-2025,serie-a
nicolò casale,DF,1998,2,2,135,0,0,0,0,0,6,0,2024-2025,serie-a
federico cassa,"MF,FW",2006,2,0,14,0,0,0,0,1,1,2,2024-2025,serie-a
valentín castellanos,FW,1998,29,28,2384,10,3,9,1,27,66,149,2024-2025,serie-a
santiago castro,FW,2004,36,27,2294,8,4,7,0,17,39,136,2024-2025,serie-a
gaetano castrovilli,MF,1997,12,7,596,0,0,0,0,10,24,28,2024-2025,serie-a
gaetano castrovilli,"MF,FW",1997,9,1,148,0,0,0,0,5,10,6,2024-2025,serie-a
danilo cataldi,MF,1994,24,22,1712,3,0,1,0,18,90,16,2024-2025,serie-a
zeki çelik,DF,1997,31,27,2256,0,2,5,0,28,106,93,2024-2025,serie-a
alberto cerri,FW,1996,5,0,87,0,0,0,0,0,0,11,2024-2025,serie-a
gabriel charpentier,FW,1999,10,0,271,1,2,1,0,6,7,16,2024-2025,serie-a
walid cheddira,FW,1998,1,0,12,0,0,0,0,0,1,1,2024-2025,serie-a
leandro chichizola,GK,1990,1,1,90,0,0,0,0,0,1,0,2024-2025,serie-a
samuel chukwueze,"FW,MF",1999,26,9,925,3,2,0,0,48,36,116,2024-2025,serie-a
aaron ciammaglichella,MF,2005,1,0,1,0,0,0,0,0,0,0,2024-2025,serie-a
giuseppe ciocci,GK,2002,1,0,9,0,0,0,0,0,0,0,2024-2025,serie-a
alessandro circati,DF,2003,6,6,540,0,0,1,0,1,10,0,2024-2025,serie-a
alphadjo cissè,"FW,MF",2006,2,0,9,0,0,0,0,0,1,0,2024-2025,serie-a
patrick ciurria,"MF,DF",1995,21,12,1111,1,1,1,0,19,27,52,2024-2025,serie-a
saúl coco,DF,1999,32,32,2845,2,0,10,0,17,70,3,2024-2025,serie-a
lorenzo colombo,"FW,MF",2002,37,26,2233,6,2,5,1,27,48,116,2024-2025,serie-a
andrea colpani,"FW,MF",1999,24,17,1432,2,1,1,0,37,57,129,2024-2025,serie-a
florinel coman,"FW,MF",1998,9,2,263,1,0,2,0,5,5,22,2024-2025,serie-a
pietro comuzzo,DF,2005,32,23,2110,1,0,5,0,14,75,12,2024-2025,serie-a
francisco conceição,"FW,MF",2002,26,12,1340,3,3,5,1,95,35,143,2024-2025,serie-a
diego coppola,DF,2003,34,33,2927,2,0,10,0,4,48,3,2024-2025,serie-a
maxwel cornet,"FW,MF",1996,7,2,246,2,1,0,0,8,4,26,2024-2025,serie-a
joaquín correa,"FW,MF",1994,19,6,731,2,2,3,0,22,42,45,2024-2025,serie-a
alberto costa,DF,2003,9,3,357,0,1,3,0,8,8,25,2024-2025,serie-a
lassana coulibaly,MF,1996,38,30,2667,1,0,3,0,21,93,49,2024-2025,serie-a
woyo coulibaly,DF,1999,14,12,1084,0,1,1,1,36,41,23,2024-2025,serie-a
bryan cristante,MF,1995,30,23,2045,4,2,8,0,25,145,41,2024-2025,serie-a
domen črnigoj,MF,1995,8,1,136,0,0,0,0,4,4,6,2024-2025,serie-a
juan cuadrado,"DF,MF",1988,23,7,832,0,2,3,0,41,64,90,2024-2025,serie-a
patrick cutrone,FW,1998,33,23,2047,7,4,1,0,53,31,155,2024-2025,serie-a
wylan cyprien,MF,1995,2,0,28,0,0,0,0,1,2,0,2024-2025,serie-a
danilo d'ambrosio,DF,1988,20,12,1095,0,1,2,1,10,34,16,2024-2025,serie-a
lucas da cunha,MF,2001,36,30,2613,3,2,4,0,63,154,85,2024-2025,serie-a
