nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
paxten aaronson,"MF,DF",2003,7,0,173,0,0,1,0,8,6,15,2022-2023,bundesliga
sargis adamyan,"FW,MF",1993,24,4,644,1,2,3,0,12,24,58,2022-2023,bundesliga
karim adeyemi,"FW,MF",2002,24,20,1386,6,5,9,0,49,47,131,2022-2023,bundesliga
amine adli,"FW,MF",2000,26,16,1435,5,3,2,2,46,49,137,2022-2023,bundesliga
felix agu,"DF,FW",1999,3,0,49,0,0,0,0,0,2,2,2022-2023,bundesliga
naouirou ahamada,MF,2002,17,17,1398,2,2,4,1,43,56,54,2022-2023,bundesliga
ludovic ajorque,"FW,MF",1994,17,15,1211,6,1,5,0,5,31,85,2022-2023,bundesliga
kevin akpoguma,DF,1995,28,21,1950,0,0,11,0,17,85,23,2022-2023,bundesliga
lucas alario,"FW,MF",1992,20,2,331,1,0,0,0,2,8,17,2022-2023,bundesliga
faride alidou,"DF,MF",2001,15,0,182,0,1,0,0,8,16,24,2022-2023,bundesliga
éder álvarez balanta,"MF,FW",1993,6,3,238,0,0,3,0,3,12,0,2022-2023,bundesliga
lukáš ambros,MF,2004,1,0,17,0,0,0,0,0,0,0,2022-2023,bundesliga
nadiem amiri,"MF,FW",1996,25,9,977,4,1,6,0,30,55,30,2022-2023,bundesliga
robert andrich,MF,1994,29,28,2406,2,2,7,0,12,99,8,2022-2023,bundesliga
angeliño,DF,1997,33,30,2617,0,8,2,0,24,108,120,2022-2023,bundesliga
waldemar anton,DF,1996,34,34,2934,1,2,4,0,56,135,52,2022-2023,bundesliga
christopher antwi-adjei,"FW,MF",1994,29,22,1981,3,6,2,0,67,36,231,2022-2023,bundesliga
charles aránguiz,MF,1989,10,4,493,1,0,1,0,3,32,7,2022-2023,bundesliga
maximilian arnold,MF,1994,32,32,2767,5,3,5,0,29,150,19,2022-2023,bundesliga
takuma asano,"FW,MF",1994,25,21,1713,3,3,1,0,32,34,119,2022-2023,bundesliga
fisnik asllani,FW,2002,8,0,167,0,0,0,0,4,1,19,2022-2023,bundesliga
mehmet aydin,"DF,FW",2002,16,3,567,0,0,0,0,9,15,21,2022-2023,bundesliga
ayman azhil,MF,2001,1,0,1,0,0,0,0,0,0,0,2022-2023,bundesliga
sardar azmoun,"FW,MF",1995,23,8,927,4,1,1,0,11,32,45,2022-2023,bundesliga
sanoussy ba,DF,2004,1,0,1,0,0,0,0,0,0,0,2022-2023,bundesliga
mitchel bakker,"DF,MF",2000,28,19,1659,3,2,6,1,28,57,65,2022-2023,bundesliga
ridle baku,"DF,FW",1998,33,29,2580,5,3,6,0,50,126,157,2022-2023,bundesliga
aymen barkok,MF,1998,23,3,584,0,1,1,0,17,40,28,2022-2023,bundesliga
leandro barreiro martins,MF,2000,31,25,2141,4,3,5,0,17,54,49,2022-2023,bundesliga
gil bastião dias,FW,1996,7,6,398,1,0,0,0,16,14,33,2022-2023,bundesliga
maximilian bauer,DF,2000,27,20,1846,0,1,8,0,11,40,2,2022-2023,bundesliga
oliver baumann,GK,1990,34,34,3060,0,0,2,0,0,1,0,2022-2023,bundesliga
timo baumgartl,DF,1996,8,6,562,0,1,2,0,4,28,2,2022-2023,bundesliga
julian baumgartlinger,MF,1988,16,3,554,0,0,1,0,1,25,3,2022-2023,bundesliga
christoph baumgartner,"MF,FW",1999,33,33,2567,7,3,7,0,76,100,145,2022-2023,bundesliga
noah joel sarenren bazee,"MF,FW",1996,2,0,20,0,0,0,0,0,0,1,2022-2023,bundesliga
ihlas bebou,"FW,DF",1994,19,17,1416,7,0,2,0,27,23,116,2022-2023,bundesliga
sheraldo becker,FW,1995,34,33,2554,11,7,4,0,105,44,240,2022-2023,bundesliga
kevin behrens,FW,1991,33,17,1535,8,1,6,0,11,71,92,2022-2023,bundesliga
stefan bell,DF,1991,30,26,2395,0,1,9,0,9,92,10,2022-2023,bundesliga
karim bellarabi,"FW,MF",1990,8,1,85,0,0,0,0,4,4,11,2022-2023,bundesliga
jude bellingham,MF,2003,31,30,2691,8,4,8,0,97,252,139,2022-2023,bundesliga
ramy bensebaini,DF,1995,28,28,2481,6,1,7,1,40,101,98,2022-2023,bundesliga
mergim berisha,FW,1998,23,20,1679,9,4,9,1,20,28,99,2022-2023,bundesliga
ermin bičakčić,DF,1990,9,0,265,0,0,0,0,0,7,3,2022-2023,bundesliga
tom bischof,"MF,FW",2005,11,3,315,0,0,0,0,8,16,12,2022-2023,bundesliga
leonardo bittencourt,"MF,DF",1993,25,22,1629,3,2,10,0,51,74,93,2022-2023,bundesliga
janis blaswich,GK,1991,26,26,2340,0,0,0,0,0,1,0,2022-2023,bundesliga
daley blind,"DF,MF",1990,4,1,134,0,0,0,0,0,10,0,2022-2023,bundesliga
kevin-prince boateng,MF,1987,16,5,467,0,0,3,0,2,24,20,2022-2023,bundesliga
jean-paul boëtius,MF,1994,21,10,1050,0,0,3,0,4,61,23,2022-2023,bundesliga
yvandro borges sanches,"FW,MF",2004,3,0,28,0,0,0,0,1,0,5,2022-2023,bundesliga
sebastiaan bornauw,DF,1999,26,23,1928,1,0,8,0,6,85,6,2022-2023,bundesliga
rafael borré,"MF,FW",1995,32,10,1078,2,2,5,0,26,34,102,2022-2023,bundesliga
julian brandt,"MF,FW",1996,32,29,2397,9,8,2,0,67,119,218,2022-2023,bundesliga
fabian bredlow,GK,1995,15,15,1350,0,0,2,0,0,0,0,2022-2023,bundesliga
josip brekalo,"MF,FW",1998,6,3,271,0,1,0,0,9,13,17,2022-2023,bundesliga
john brooks,DF,1993,15,15,1350,0,0,4,0,2,40,1,2022-2023,bundesliga
moritz broschinski,"FW,MF",2000,11,0,213,2,0,1,0,7,3,17,2022-2023,bundesliga
cédric brunner,DF,1994,28,28,2315,0,0,5,0,32,77,27,2022-2023,bundesliga
jacob bruun larsen,FW,1998,12,3,328,1,0,0,0,10,4,24,2022-2023,bundesliga
lee buchanan,"DF,FW",2001,21,2,472,1,0,2,0,10,21,20,2022-2023,bundesliga
marius bülter,"FW,MF",1993,33,30,2598,11,1,5,0,78,86,199,2022-2023,bundesliga
delano burgzorg,"FW,MF",1998,13,0,244,0,1,2,0,4,4,24,2022-2023,bundesliga
jonathan burkardt,"MF,FW",2000,11,7,533,1,2,2,0,9,14,46,2022-2023,bundesliga
oliver burke,"FW,MF",1997,15,1,268,2,0,0,0,11,7,36,2022-2023,bundesliga
aurélio buta,DF,1997,18,15,1318,3,2,3,0,45,47,118,2022-2023,bundesliga
anthony caci,DF,1997,31,23,2033,2,1,4,0,20,90,41,2022-2023,bundesliga
kerim calhanoglu,DF,2002,3,0,63,0,0,0,0,3,3,3,2022-2023,bundesliga
daniel caligiuri,"DF,MF",1988,13,2,290,1,0,1,0,7,16,8,2022-2023,bundesliga
emre can,MF,1994,27,20,1900,2,1,8,0,34,99,12,2022-2023,bundesliga
joão cancelo,"DF,FW",1994,15,11,1012,1,4,3,0,51,61,90,2022-2023,bundesliga
irvin cardona,"MF,FW",1997,10,0,318,1,0,2,0,9,3,17,2022-2023,bundesliga
koen casteels,GK,1992,34,34,3060,0,1,0,0,0,2,0,2022-2023,bundesliga
julian chabot,DF,1998,21,21,1803,0,2,3,0,5,52,2,2022-2023,bundesliga
