nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
pep biel,"MF,FW",1996,11,0,285,0,0,1,0,2,16,16,2023-2024,bundesliga
tom bischof,"MF,FW",2005,13,1,178,0,2,0,0,2,18,18,2023-2024,bundesliga
leonardo bittencourt,MF,1993,29,19,1578,1,2,9,0,61,85,74,2023-2024,bundesliga
hendry blank,DF,2004,1,0,45,0,0,0,0,0,1,0,2023-2024,bundesliga
janis blaswich,GK,1991,21,21,1890,0,0,0,0,0,3,0,2023-2024,bundesliga
sacha boey,DF,2000,2,1,109,0,0,1,0,1,5,8,2023-2024,bundesliga
victor boniface,FW,2000,23,18,1546,14,8,2,0,50,34,158,2023-2024,bundesliga
leonardo bonucci,DF,1987,7,6,460,1,0,0,0,0,21,1,2023-2024,bundesliga
yvandro borges sanches,"MF,FW",2004,3,0,18,0,0,0,0,1,0,0,2023-2024,bundesliga
sebastiaan bornauw,DF,1999,20,16,1431,0,0,5,0,2,41,2,2023-2024,bundesliga
rafael borré,FW,1995,19,11,991,4,0,0,0,16,28,73,2023-2024,bundesliga
julian brandt,"MF,FW",1996,32,26,2223,7,11,2,0,74,116,158,2023-2024,bundesliga
fabian bredlow,GK,1995,4,4,360,0,0,0,0,0,0,0,2023-2024,bundesliga
tim breithaupt,MF,2002,16,6,629,0,0,3,0,0,21,2,2023-2024,bundesliga
maximilian breunig,FW,2000,2,0,9,0,0,0,0,0,0,0,2023-2024,bundesliga
bennit bröger,FW,2006,1,0,11,0,0,0,0,0,0,0,2023-2024,bundesliga
john brooks,DF,1993,21,18,1539,2,0,6,1,5,61,1,2023-2024,bundesliga
moritz broschinski,FW,2000,26,14,1247,2,3,4,0,18,10,92,2023-2024,bundesliga
alexander brunst,GK,1995,3,3,270,0,0,2,0,0,0,0,2023-2024,bundesliga
marius bülter,"DF,FW",1993,30,15,1351,1,4,3,1,37,60,107,2023-2024,bundesliga
jonathan burkardt,"FW,MF",2000,21,18,1538,8,2,2,0,36,28,101,2023-2024,bundesliga
oliver burke,FW,1997,1,0,32,0,0,0,0,2,0,1,2023-2024,bundesliga
marnon busch,DF,1994,16,5,595,0,0,1,0,15,34,27,2023-2024,bundesliga
aurélio buta,"DF,MF",1997,30,20,1744,1,1,5,0,51,90,104,2023-2024,bundesliga
anthony caci,DF,1997,31,29,2486,2,3,8,0,43,144,75,2023-2024,bundesliga
emre can,"MF,DF",1994,25,22,1953,2,2,5,0,35,110,18,2023-2024,bundesliga
irvin cardona,"MF,DF",1997,3,0,54,0,0,1,0,3,2,6,2023-2024,bundesliga
rasmus carstensen,"DF,FW",2000,23,18,1659,0,0,2,1,32,52,89,2023-2024,bundesliga
fabio carvalho,MF,2002,9,1,165,0,0,0,0,8,9,13,2023-2024,bundesliga
koen casteels,GK,1992,25,25,2250,0,0,2,0,0,1,0,2023-2024,bundesliga
václav černý,"FW,MF",1997,22,12,921,4,1,2,0,26,37,83,2023-2024,bundesliga
julian chabot,DF,1998,32,32,2703,0,0,9,1,17,71,8,2023-2024,bundesliga
el chadaille bitshiabu,"DF,MF",2005,6,0,34,0,0,0,0,2,1,5,2023-2024,bundesliga
fares chaïbi,"MF,FW",2002,28,21,1912,2,4,2,0,53,86,143,2023-2024,bundesliga
timothy chandler,"MF,DF",1990,6,0,18,0,1,0,0,1,5,10,2023-2024,bundesliga
fabio chiarodia,DF,2005,7,1,152,0,0,0,0,0,4,1,2023-2024,bundesliga
jacob christensen,MF,2001,7,2,219,0,0,1,0,2,12,1,2023-2024,bundesliga
nnamdi collins,DF,2004,2,1,90,0,0,0,0,1,13,5,2023-2024,bundesliga
kingsley coman,FW,1996,17,15,1113,3,3,1,0,75,72,210,2023-2024,bundesliga
bambasé conté,"MF,FW",2003,7,0,48,0,0,0,0,3,2,8,2023-2024,bundesliga
danny da costa,DF,1993,19,9,830,0,1,1,0,22,40,53,2023-2024,bundesliga
nicolas cozza,DF,1999,6,3,276,0,0,1,0,5,16,8,2023-2024,bundesliga
tomáš čvančara,FW,2000,21,7,896,4,1,4,0,12,13,47,2023-2024,bundesliga
finn dahmen,GK,1998,31,31,2790,0,0,4,0,0,3,0,2023-2024,bundesliga
mahmoud dahoud,MF,1996,13,1,227,1,0,0,0,1,19,5,2023-2024,bundesliga
lukas daschner,"MF,FW",1998,20,3,536,1,1,2,0,11,17,37,2023-2024,bundesliga
david datro fofana,"FW,MF",2002,12,8,682,1,0,0,0,20,14,66,2023-2024,bundesliga
alphonso davies,DF,2000,29,24,2065,2,5,0,0,121,117,139,2023-2024,bundesliga
olivier deman,DF,2000,29,14,1365,2,1,5,0,26,40,53,2023-2024,bundesliga
ermedin demirović,"FW,MF",1998,33,33,2873,15,9,7,0,28,60,167,2023-2024,bundesliga
sepp van den berg,DF,2001,33,31,2839,3,0,9,0,7,95,6,2023-2024,bundesliga
samuele di benedetto,MF,2005,1,0,7,0,0,0,0,0,0,1,2023-2024,bundesliga
justin diehl,"FW,MF",2004,7,1,168,0,0,0,0,6,2,17,2023-2024,bundesliga
eric dier,DF,1994,15,13,1166,0,0,1,0,8,53,1,2023-2024,bundesliga
florian dietz,"FW,MF",1998,5,0,70,0,0,0,0,0,0,8,2023-2024,bundesliga
junior dina ebimbe,"MF,DF",2000,31,25,1956,5,3,5,0,57,79,157,2023-2024,bundesliga
eren dinkçi,"FW,MF",2001,33,33,2650,10,5,8,0,85,89,143,2023-2024,bundesliga
ritsu doan,"DF,MF",1998,30,26,2246,7,2,2,0,49,78,139,2023-2024,bundesliga
danilho doekhi,DF,1998,24,24,2160,2,0,2,0,7,65,6,2023-2024,bundesliga
niklas dorsch,MF,1998,21,16,1386,0,0,5,0,12,47,12,2023-2024,bundesliga
nikola dovedan,"MF,FW",1994,21,5,656,3,1,0,1,12,22,25,2023-2024,bundesliga
damion downs,"FW,MF",2004,10,0,181,2,0,0,0,1,0,5,2023-2024,bundesliga
dion drena beljo,"FW,MF",2002,26,3,581,2,0,2,0,16,20,35,2023-2024,bundesliga
tim drexler,DF,2005,8,6,573,0,0,1,0,6,12,0,2023-2024,bundesliga
marvin ducksch,FW,1994,33,32,2696,12,9,9,0,17,88,150,2023-2024,bundesliga
julien duranville,"FW,MF",2006,2,0,12,0,0,0,0,2,0,1,2023-2024,bundesliga
maximilian eggestein,MF,1996,33,33,2914,1,2,6,0,42,162,72,2023-2024,bundesliga
lilian egloff,"MF,DF",2002,5,1,106,0,0,1,0,2,2,2,2023-2024,bundesliga
hugo ekitike,FW,2002,14,7,716,4,2,3,0,16,9,60,2023-2024,bundesliga
elif elmas,"MF,FW",1999,14,2,266,0,0,0,0,9,9,18,2023-2024,bundesliga
nico elvedi,DF,1996,30,28,2482,2,1,5,0,37,109,6,2023-2024,bundesliga
arne engels,"MF,DF",2003,32,13,1405,3,2,1,1,23,52,62,2023-2024,bundesliga
ohis felix uduokhai,DF,1997,33,33,2921,2,0,5,1,25,101,6,2023-2024,bundesliga
edimilson fernandes,DF,1996,21,13,1290,0,2,4,0,9,53,9,2023-2024,bundesliga
nacho ferri,"FW,MF",2004,8,0,74,1,0,0,0,0,2,8,2023-2024,bundesliga
max finkgräfe,"DF,FW",2004,24,18,1756,1,0,4,0,51,53,59,2023-2024,bundesliga
kilian fischer,"DF,MF",2000,6,4,291,0,0,1,0,6,6,9,2023-2024,bundesliga
jonas föhrenbach,DF,1996,33,32,2788,0,0,2,0,44,96,69,2023-2024,bundesliga
emil forsberg,"MF,FW",1991,14,5,464,2,1,0,0,8,22,38,2023-2024,bundesliga
philipp förster,"MF,FW",1995,13,3,385,0,0,1,0,7,21,19,2023-2024,bundesliga
bartol franjić,MF,2000,20,14,1229,0,1,5,0,13,50,14,2023-2024,bundesliga
marco friedl,DF,1998,25,25,2197,1,0,6,0,4,59,2,2023-2024,bundesliga
marvin friedrich,DF,1995,24,17,1566,0,0,1,0,2,34,4,2023-2024,bundesliga
jeremie frimpong,DF,2000,31,27,2251,9,7,6,0,153,49,348,2023-2024,bundesliga
chris führich,"FW,MF",1998,34,33,2567,8,7,2,0,153,145,259,2023-2024,bundesliga
shiō fukuda,"FW,MF",2004,5,0,36,0,0,0,0,0,0,2,2023-2024,bundesliga
niclas füllkrug,FW,1993,2,2,180,0,0,0,0,2,9,12,2023-2024,bundesliga
niclas füllkrug,FW,1993,29,27,2212,12,8,1,0,17,49,119,2023-2024,bundesliga
cristian gamboa,DF,1989,22,12,1187,0,1,6,0,12,33,16,2023-2024,bundesliga
dennis geiger,MF,1998,3,0,64,0,0,1,0,1,3,2,2023-2024,bundesliga
yannick gerhardt,"MF,DF",1994,25,18,1630,2,1,5,0,17,49,73,2023-2024,bundesliga
anwar el ghazi,"MF,DF",1995,3,0,54,0,1,0,0,2,4,5,2023-2024,bundesliga
benedikt gimber,DF,1997,24,24,2021,1,1,9,0,3,25,6,2023-2024,bundesliga
matthias ginter,DF,1994,23,22,1913,0,2,3,0,23,136,20,2023-2024,bundesliga
jamie gittens,"FW,MF",2004,25,14,1058,1,4,1,0,64,26,105,2023-2024,bundesliga
klaus gjasula,"DF,MF",1989,22,17,1363,0,0,7,1,8,70,7,2023-2024,bundesliga
