nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
abner,DF,Betis,13,7,607,0,0,2,0,8,16,25,2022-2023,laliga
álvaro aceves,GK,Valladolid,1,0,13,0,0,0,0,0,0,0,2022-2023,laliga
marcos acuña,DF,Sevilla,30,21,1912,3,2,10,3,49,102,94,2022-2023,laliga
julen agirrezabala,GK,Athletic Club,8,7,675,0,0,0,0,0,0,0,2022-2023,laliga
álvaro aguado,MF,Valladolid,34,18,1888,1,2,4,0,29,139,50,2022-2023,laliga
joseph aidoo,DF,Celta Vigo,35,35,3119,3,0,6,1,15,95,2,2022-2023,laliga
sergio akieme,DF,Almería,29,27,2297,1,0,5,0,60,58,84,2022-2023,laliga
babatunde akinsola,FW,Valladolid,1,0,11,0,0,0,0,1,0,3,2022-2023,laliga
paul akouokou,"MF,DF",Betis,12,3,447,0,0,3,0,1,10,1,2022-2023,laliga
david alaba,DF,Real Madrid,23,21,1838,1,3,3,0,16,67,60,2022-2023,laliga
ángel alarcón,"FW,MF",Barcelona,4,0,25,0,0,0,0,0,1,2,2022-2023,laliga
tomás alarcón,MF,Cádiz,4,2,223,0,0,2,1,2,9,6,2022-2023,laliga
jordi alba,DF,Barcelona,24,14,1419,2,3,6,1,42,141,157,2022-2023,laliga
raúl albiol,DF,Villarreal,25,24,2119,0,0,6,0,12,100,3,2022-2023,laliga
rubén alcaraz,MF,Cádiz,31,22,2043,3,0,11,1,30,105,20,2022-2023,laliga
omar alderete,DF,Getafe,25,23,2047,1,1,9,0,28,96,8,2022-2023,laliga
iván alejo,"MF,FW",Cádiz,31,13,1311,0,1,13,1,52,16,103,2022-2023,laliga
carles aleñá,"MF,FW",Getafe,35,26,2119,2,2,12,1,24,87,78,2022-2023,laliga
alejandro alfaro,MF,Elche,1,0,15,0,0,0,0,0,0,0,2022-2023,laliga
ángel algobia,MF,Getafe,26,11,1138,0,0,3,0,10,42,11,2022-2023,laliga
mohamed ali cho,"FW,MF",Real Sociedad,19,5,587,1,2,1,0,30,8,63,2022-2023,laliga
domingos andré ribeiro almeida,MF,Valencia,34,29,2539,2,4,3,0,74,197,71,2022-2023,laliga
