nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
max aarons,DF,2000,20,13,1237,0,1,1,0,22,43,26,2023-2024,premier-league
joshua acheampong,DF,2006,1,0,6,0,0,0,0,0,0,0,2023-2024,premier-league
tyler adams,MF,1999,3,1,121,0,0,0,0,4,5,1,2023-2024,premier-league
tosin adarabioyo,DF,1997,20,18,1617,2,0,2,0,10,62,5,2023-2024,premier-league
elijah adebayo,FW,1998,27,16,1419,10,0,1,0,16,23,110,2023-2024,premier-league
simon adingra,FW,2002,31,25,2222,6,1,3,0,111,50,278,2023-2024,premier-league
nayef aguerd,DF,1996,21,21,1857,1,0,3,1,10,68,3,2023-2024,premier-league
brandon aguilera,FW,2003,1,0,5,0,0,0,0,0,0,1,2023-2024,premier-league
naouirou ahamada,"MF,FW",2002,20,0,349,0,0,4,1,19,25,20,2023-2024,premier-league
anel ahmedhodžić,DF,1999,31,29,2649,2,0,11,1,15,43,21,2023-2024,premier-league
ola aina,DF,1996,22,20,1692,1,1,3,0,52,69,37,2023-2024,premier-league
rayan aït-nouri,"DF,MF",2001,33,29,2329,2,1,7,0,67,99,99,2023-2024,premier-league
kristoffer ajer,DF,1998,28,21,1832,2,1,5,0,22,61,31,2023-2024,premier-league
manuel akanji,"DF,MF",1995,30,28,2511,2,0,4,1,46,148,36,2023-2024,premier-league
nathan aké,DF,1995,29,24,2042,2,2,0,0,24,116,18,2023-2024,premier-league
thiago alcántara,MF,1991,1,0,6,0,0,0,0,0,0,0,2023-2024,premier-league
trent alexander-arnold,DF,1998,28,25,2155,3,4,6,0,45,205,97,2023-2024,premier-league
alisson,GK,1992,28,28,2520,0,0,1,0,0,5,0,2023-2024,premier-league
miguel almirón,FW,1994,33,23,1937,3,1,2,0,78,78,162,2023-2024,premier-league
edson álvarez,MF,1997,31,28,2377,1,1,11,0,20,91,26,2023-2024,premier-league
julián álvarez,"MF,FW",2000,36,31,2647,11,8,2,0,64,103,180,2023-2024,premier-league
zeki amdouni,FW,2000,34,27,1953,5,1,2,0,63,49,93,2023-2024,premier-league
sofyan amrabat,"MF,DF",1996,21,10,938,0,0,6,0,6,66,10,2023-2024,premier-league
joachim andersen,DF,1996,38,38,3415,2,3,7,0,21,147,10,2023-2024,premier-league
elliot anderson,"MF,FW",2002,21,10,1027,0,2,3,0,37,57,70,2023-2024,premier-league
jaidon anthony,FW,1999,3,2,152,0,0,1,0,2,8,9,2023-2024,premier-league
michail antonio,FW,1990,26,21,1695,6,2,6,0,48,22,104,2023-2024,premier-league
antony,FW,2000,29,15,1324,1,1,5,0,53,64,149,2023-2024,premier-league
oliver arblaster,MF,2004,12,11,943,0,0,2,0,14,43,4,2023-2024,premier-league
cameron archer,"FW,MF",2001,29,21,1832,4,1,1,0,33,15,114,2023-2024,premier-league
cameron archer,MF,2001,1,0,6,0,0,1,0,1,0,0,2023-2024,premier-league
alphonse areola,GK,1993,31,31,2699,0,0,1,0,0,1,0,2023-2024,premier-league
lorenz assignon,DF,2000,15,15,1234,1,2,5,1,38,34,57,2023-2024,premier-league
serge aurier,"DF,MF",1992,12,10,833,0,2,2,0,10,47,29,2023-2024,premier-league
taiwo awoniyi,FW,1997,20,12,1042,6,3,2,0,8,14,45,2023-2024,premier-league
jordan ayew,"FW,MF",1991,35,30,2543,4,7,9,1,74,63,173,2023-2024,premier-league
benoît badiashile,DF,2001,18,15,1338,0,1,3,0,3,46,3,2023-2024,premier-league
leon bailey,"MF,FW",1997,35,22,2068,10,9,5,0,102,82,226,2023-2024,premier-league
stefan bajcetic,MF,2004,1,0,26,0,0,0,0,0,1,0,2023-2024,premier-league
george baldock,DF,1993,13,11,969,0,1,4,0,9,31,24,2023-2024,premier-league
carlos baleba,MF,2004,27,15,1325,0,0,7,0,19,50,9,2023-2024,premier-league
fodé ballo-touré,"DF,MF",1997,6,0,71,0,0,1,0,5,0,4,2023-2024,premier-league
shandon baptiste,MF,1998,10,2,229,1,1,1,0,3,5,1,2023-2024,premier-league
valentín barco,"DF,FW",2004,6,3,307,0,0,1,0,8,14,20,2023-2024,premier-league
ross barkley,MF,1993,32,30,2618,5,4,6,0,48,163,39,2023-2024,premier-league
harvey barnes,"FW,MF",1997,21,7,802,5,3,2,0,45,34,79,2023-2024,premier-league
chris basham,"DF,MF",1988,8,3,321,0,0,1,0,1,7,6,2023-2024,premier-league
calvin bassey,DF,1999,29,25,2303,1,0,6,1,15,62,4,2023-2024,premier-league
owen beck,DF,2002,1,0,8,0,0,0,0,0,0,1,2023-2024,premier-league
donny van de beek,DF,1997,1,0,3,0,0,0,0,0,0,1,2023-2024,premier-league
amari'i bell,DF,1994,21,21,1720,0,0,0,0,32,76,10,2023-2024,premier-league
jean-ricner bellegarde,"MF,FW",1998,22,10,958,2,1,0,1,30,39,49,2023-2024,premier-league
anis ben slimane,MF,2001,15,4,419,0,0,2,0,3,12,21,2023-2024,premier-league
saïd benrahma,"FW,MF",1995,13,5,620,0,1,1,0,28,28,70,2023-2024,premier-league
rodrigo bentancur,MF,1997,23,13,1005,1,1,7,0,16,72,31,2023-2024,premier-league
daniel bentley,GK,1993,5,3,383,0,0,0,0,0,0,0,2023-2024,premier-league
jóhann berg guðmundsson,"MF,FW",1990,26,12,1192,1,3,2,0,13,59,69,2023-2024,premier-league
sander berge,MF,1998,37,34,3005,1,2,10,1,64,164,29,2023-2024,premier-league
luke berry,"MF,DF",1992,17,2,323,2,1,1,0,1,8,7,2023-2024,premier-league
beto,FW,1998,30,9,951,3,0,2,0,14,14,58,2023-2024,premier-league
jordan beyer,DF,2000,15,15,1234,0,1,6,0,9,25,1,2023-2024,premier-league
philip billing,MF,1996,29,13,1398,2,2,3,1,22,53,63,2023-2024,premier-league
yves bissouma,MF,1996,28,26,2068,0,0,10,2,43,169,13,2023-2024,premier-league
benicio boaitey,"FW,DF",2004,5,0,40,0,0,1,0,1,2,2,2023-2024,premier-league
oscar bobb,"FW,MF",2003,14,2,302,1,1,0,0,13,25,38,2023-2024,premier-league
jayden bogle,DF,2000,34,32,2788,3,0,9,0,38,60,92,2023-2024,premier-league
willy boly,DF,1991,20,18,1438,2,1,3,1,4,32,3,2023-2024,premier-league
sven botman,DF,2000,17,15,1377,2,2,2,0,0,35,5,2023-2024,premier-league
jarrod bowen,FW,1996,34,34,3019,16,6,2,0,90,52,186,2023-2024,premier-league
conor bradley,DF,2003,11,10,753,1,3,2,0,35,29,64,2023-2024,premier-league
jarrad branthwaite,DF,2002,35,35,3116,3,0,8,0,2,74,6,2023-2024,premier-league
ben brereton,"FW,MF",1999,14,14,1105,6,1,3,0,23,37,78,2023-2024,premier-league
rhian brewster,"FW,MF",2000,13,3,346,0,0,0,1,1,3,21,2023-2024,premier-league
armando broja,FW,2001,13,6,454,1,0,0,0,11,6,37,2023-2024,premier-league
armando broja,FW,2001,8,0,88,0,1,0,0,2,2,7,2023-2024,premier-league
andre brooks,"MF,DF",2003,20,12,938,0,0,1,0,12,18,22,2023-2024,premier-league
david brooks,"FW,MF",1997,13,2,282,1,1,1,0,8,21,27,2023-2024,premier-league
jacob brown,"MF,FW",1998,19,12,1019,2,0,4,0,25,19,53,2023-2024,premier-league
josh brownhill,MF,1995,33,23,2252,4,2,4,1,19,90,36,2023-2024,premier-league
jacob bruun larsen,"MF,FW",1998,32,16,1249,6,0,1,0,61,38,146,2023-2024,premier-league
hugo bueno,"DF,MF",2002,22,7,741,0,0,1,0,22,8,40,2023-2024,premier-league
santiago bueno,DF,1998,12,9,822,0,0,1,0,3,11,2,2023-2024,premier-league
facundo buonanotte,"FW,MF",2004,27,17,1364,3,1,7,0,23,42,69,2023-2024,premier-league
reece burke,DF,1996,22,20,1660,0,4,5,0,11,67,14,2023-2024,premier-league
dan burn,DF,1992,33,32,2726,2,2,4,0,14,75,25,2023-2024,premier-league
mason burstow,FW,2003,2,0,9,0,0,0,0,0,0,1,2023-2024,premier-league
moisés caicedo,MF,2001,35,33,2866,1,3,11,0,27,173,27,2023-2024,premier-league
tom cairney,MF,1991,34,14,1488,1,4,3,0,35,145,72,2023-2024,premier-league
dominic calvert-lewin,FW,1997,32,26,2171,7,2,2,0,36,31,122,2023-2024,premier-league
thomas cannon,FW,2002,1,0,1,0,0,0,0,0,0,0,2023-2024,premier-league
diego carlos,DF,1993,27,20,1816,0,0,4,0,4,59,1,2023-2024,premier-league
cesare casadei,"FW,MF",2003,11,0,79,0,0,0,0,1,3,3,2023-2024,premier-league
casemiro,"MF,DF",1992,25,24,1982,1,2,7,0,12,112,36,2023-2024,premier-league
kaelan casey,DF,2004,1,0,1,0,0,0,0,0,0,0,2023-2024,premier-league
matty cash,DF,1997,29,23,2142,2,2,8,0,62,88,101,2023-2024,premier-league
timothy castagne,DF,1995,34,29,2634,1,3,3,0,48,77,113,2023-2024,premier-league
jonny castro,MF,1994,1,0,5,0,0,0,0,0,0,0,2023-2024,premier-league
trevoh chalobah,DF,1999,13,10,952,1,0,1,0,5,31,9,2023-2024,premier-league
