nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
iván balliu,DF,Rayo Vallecano,25,12,1200,0,0,3,0,8,46,21,2024-2025,laliga
jonathan bamba,"FW,MF",Celta Vigo,12,10,811,0,1,1,0,31,30,71,2024-2025,laliga
adrian baquerin,FW,Valladolid,5,0,49,0,0,0,0,0,1,0,2024-2025,laliga
valentín barco,"DF,FW",Sevilla,7,3,288,0,0,0,0,4,13,13,2024-2025,laliga
borna barišić,DF,Leganés,1,1,9,0,0,0,0,0,0,0,2024-2025,laliga
kike barja,"FW,MF",Osasuna,15,3,315,0,1,3,0,22,4,39,2024-2025,laliga
enzo barrenechea,MF,Valencia,30,26,2191,1,2,6,0,21,126,16,2024-2025,laliga
ander barrenetxea,"MF,FW",Real Sociedad,30,14,1263,1,3,6,0,43,48,152,2024-2025,laliga
pablo barrios,MF,Atlético Madrid,31,28,2330,1,4,4,1,29,142,69,2024-2025,laliga
thierno barry,FW,Villarreal,35,25,2323,11,4,4,0,44,27,124,2024-2025,laliga
marc bartra,DF,Betis,25,23,2099,2,1,2,0,7,68,1,2024-2025,laliga
aboubacar bassinga,MF,Las Palmas,1,0,4,0,0,0,0,0,0,0,2024-2025,laliga
augusto batalla,GK,Rayo Vallecano,32,32,2880,0,0,6,0,0,2,0,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
rafael bauza,MF,Espanyol,5,2,183,0,0,1,0,1,7,3,2024-2025,laliga
sheraldo becker,"FW,MF",Real Sociedad,22,11,995,2,1,1,1,51,23,110,2024-2025,laliga
donny van de beek,MF,Girona,26,16,1421,2,2,5,0,17,45,85,2024-2025,laliga
luken beitia,DF,Real Sociedad,1,0,8,0,0,0,0,0,0,0,2024-2025,laliga
ismael bekhoucha,"MF,DF",Getafe,5,0,69,0,0,2,0,1,1,1,2024-2025,laliga
héctor bellerín,DF,Betis,9,6,580,0,2,1,0,3,24,22,2024-2025,laliga
jude bellingham,MF,Real Madrid,31,29,2488,9,8,5,1,74,199,143,2024-2025,laliga
fran beltrán,MF,Celta Vigo,34,29,2421,2,1,3,0,28,152,29,2024-2025,laliga
carlos benavídez,MF,Alavés,18,6,487,1,1,3,0,4,26,5,2024-2025,laliga
iker benito,"FW,MF",Osasuna,2,0,37,0,0,0,0,2,0,4,2024-2025,laliga
yuri berchiche,DF,Athletic Club,30,22,2044,0,2,5,0,43,161,66,2024-2025,laliga
álex berenguer,"FW,MF",Athletic Club,36,28,2339,6,7,5,0,65,78,216,2024-2025,laliga
marc bernal,MF,Barcelona,3,3,242,0,0,2,0,0,8,2,2024-2025,laliga
juan bernat,"DF,MF",Villarreal,10,1,212,0,1,0,0,4,8,23,2024-2025,laliga
juan bernat,"MF,DF",Getafe,14,9,699,0,1,0,0,2,14,36,2024-2025,laliga
juan berrocal,DF,Getafe,19,11,1063,0,0,8,1,1,25,1,2024-2025,laliga
antonio blanco,MF,Alavés,35,32,2727,0,1,11,1,13,146,19,2024-2025,laliga
daley blind,DF,Girona,34,31,2780,0,2,2,0,71,272,61,2024-2025,laliga
adama boiro,"DF,FW",Athletic Club,18,13,1101,0,0,3,0,25,46,36,2024-2025,laliga
enzo boyomo,DF,Osasuna,34,33,2987,2,0,5,0,16,111,7,2024-2025,laliga
enzo boyomo,DF,Valladolid,3,3,270,0,0,0,0,1,7,0,2024-2025,laliga
darko brašanac,MF,Leganés,30,15,1617,1,2,4,0,6,43,53,2024-2025,laliga
tajon buchanan,MF,Villarreal,13,4,416,1,2,2,0,19,5,45,2024-2025,laliga
ante budimir,FW,Osasuna,38,34,2952,21,4,4,0,23,24,134,2024-2025,laliga
manu bueno,"MF,FW",Sevilla,9,1,140,1,0,0,0,2,5,5,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
endika buján,FW,Athletic Club,1,0,7,0,0,0,0,1,0,0,2024-2025,laliga
pau cabanes,"MF,FW",Villarreal,10,0,163,1,0,0,0,10,11,33,2024-2025,laliga
pau cabanes,"MF,FW",Alavés,6,2,188,0,0,1,0,15,5,15,2024-2025,laliga
leandro cabrera,DF,Espanyol,33,32,2869,4,2,4,1,9,69,6,2024-2025,laliga
fernando calero,"DF,MF",Espanyol,21,6,715,1,0,1,0,0,17,2,2024-2025,laliga
eduardo camavinga,"MF,DF",Real Madrid,19,11,1102,1,2,2,0,26,61,31,2024-2025,laliga
sergio camello,FW,Rayo Vallecano,23,14,1134,3,2,2,0,20,27,68,2024-2025,laliga
josé campaña,MF,Las Palmas,25,15,1189,0,3,5,0,11,87,15,2024-2025,laliga
peio canales,"MF,FW",Athletic Club,8,2,259,0,0,0,0,6,6,11,2024-2025,laliga
antonio candela,DF,Valladolid,12,12,906,0,0,1,0,16,22,29,2024-2025,laliga
sergi canós,"MF,FW",Valencia,17,2,370,0,1,3,0,7,9,47,2024-2025,laliga
dani cárdenas,GK,Rayo Vallecano,6,6,540,0,0,0,0,0,0,0,2024-2025,laliga
irvin cardona,"FW,MF",Espanyol,16,5,606,1,1,1,0,14,15,43,2024-2025,laliga
marc cardona,"FW,DF",Las Palmas,11,0,132,0,0,2,0,2,3,12,2024-2025,laliga
sergi cardona,DF,Villarreal,35,34,2945,1,7,11,0,52,77,198,2024-2025,laliga
johnny cardoso,MF,Betis,28,24,2144,3,1,4,0,19,71,28,2024-2025,laliga
josé carlos gonzález,DF,Las Palmas,1,0,11,0,0,0,0,0,0,1,2024-2025,laliga
carmona,DF,Sevilla,35,35,2942,0,0,11,0,45,109,57,2024-2025,laliga
sergio carreira,"MF,DF",Celta Vigo,23,19,1656,0,4,1,0,39,53,140,2024-2025,laliga
dani carvajal,DF,Real Madrid,8,7,609,1,0,1,0,13,27,48,2024-2025,laliga
william carvalho,MF,Betis,14,6,484,0,0,1,0,5,45,10,2024-2025,laliga
marc casado,MF,Barcelona,23,20,1611,1,3,4,1,12,107,24,2024-2025,laliga
catena,DF,Osasuna,35,35,3074,1,3,11,0,9,89,4,2024-2025,laliga
maximiliano caufriez,DF,Valencia,1,1,90,0,0,0,0,0,1,0,2024-2025,laliga
dani ceballos,MF,Real Madrid,23,15,1215,0,0,4,0,42,150,17,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
franco cervi,"FW,MF",Celta Vigo,7,4,273,0,0,1,0,3,14,21,2024-2025,laliga
raúl chasco,DF,Valladolid,2,1,130,0,0,0,0,1,3,2,2024-2025,laliga
pep chavarría,"DF,FW",Rayo Vallecano,34,28,2585,0,1,3,0,59,114,133,2024-2025,laliga
walid cheddira,FW,Espanyol,22,5,640,1,1,3,0,8,12,34,2024-2025,laliga
chema,MF,Real Madrid,2,0,12,0,0,0,0,0,0,0,2024-2025,laliga
julián chicco,"MF,DF",Leganés,14,2,302,0,1,0,0,8,16,7,2024-2025,laliga
chiquinho,"MF,FW",Mallorca,8,1,146,0,0,2,0,4,1,12,2024-2025,laliga
andreas christensen,DF,Barcelona,5,2,254,0,0,3,0,1,15,1,2024-2025,laliga
jasper cillessen,GK,Las Palmas,27,27,2335,0,0,1,0,0,0,0,2024-2025,laliga
pathé ciss,"MF,DF",Rayo Vallecano,33,25,2140,4,1,12,0,19,128,12,2024-2025,laliga
seydouba cissé,MF,Leganés,34,31,2435,3,1,3,1,26,110,42,2024-2025,laliga
silvi clúa,MF,Girona,4,2,163,0,0,0,0,4,3,3,2024-2025,laliga
eray cömert,"DF,MF",Valladolid,25,21,1779,0,0,6,0,9,48,5,2024-2025,laliga
santi comesaña,MF,Villarreal,35,30,2560,4,2,7,0,39,154,58,2024-2025,laliga
diego conde,GK,Villarreal,22,22,1962,0,1,2,0,0,0,0,2024-2025,laliga
tomás conechny,"FW,MF",Alavés,22,9,847,1,0,8,0,14,23,61,2024-2025,laliga
copete,DF,Mallorca,25,16,1528,0,0,6,0,10,47,2,2024-2025,laliga
iker córdoba,DF,Valencia,2,0,15,0,0,0,0,0,1,1,2024-2025,laliga
ángel correa,"FW,MF",Atlético Madrid,31,3,805,4,1,3,1,30,25,85,2024-2025,laliga
thierry correia,DF,Valencia,11,9,768,0,0,1,0,16,44,48,2024-2025,laliga
coba da costa,"MF,FW",Getafe,19,12,1006,1,1,4,0,46,16,83,2024-2025,laliga
logan costa,DF,Villarreal,32,28,2587,2,1,3,0,25,116,10,2024-2025,laliga
samu costa,MF,Mallorca,32,31,2649,0,2,10,1,24,116,69,2024-2025,laliga
thibaut courtois,GK,Real Madrid,30,30,2700,0,0,1,0,0,0,0,2024-2025,laliga
juan cruz armada,DF,Osasuna,25,19,1492,0,0,4,0,9,53,12,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
