nombre,club_actual,altura,valor,temporada,liga
thibaut courtois,Real Madrid,2.0,28000000.0,2023-2024,LaLiga
andriy lunin,Real Madrid,1.91,25000000.0,2023-2024,LaLiga
kepa arrizabalaga,Arsenal FC,1.88,12000000.0,2023-2024,LaLiga
lucas cañizares,SC Farense,1.88,400000.0,2023-2024,LaLiga
mario de luis,Atlético Madrileño,1.85,400000.0,2023-2024,LaLiga
diego piñeiro,Without Club,1.85,50000.0,2023-2024,LaLiga
fran gonzález,Real Madrid Castilla,1.99,,2023-2024,LaLiga
éder militão,Real Madrid,1.86,60000000.0,2023-2024,LaLiga
antonio rüdiger,Real Madrid,1.9,25000000.0,2023-2024,LaLiga
david alaba,Real Madrid,1.8,20000000.0,2023-2024,LaLiga
nacho fernández,Al-Qadsiah FC,1.8,3000000.0,2023-2024,LaLiga
álvaro carrillo,SD Eibar,1.82,300000.0,2023-2024,LaLiga
edgar pujol,Real Madrid Castilla,1.77,250000.0,2023-2024,LaLiga
jacobo ramón,Real Madrid Castilla,1.96,100000.0,2023-2024,LaLiga
ferland mendy,Real Madrid,1.8,22000000.0,2023-2024,LaLiga
fran garcía,Real Madrid,1.69,15000000.0,2023-2024,LaLiga
daniel carvajal,Real Madrid,1.73,12000000.0,2023-2024,LaLiga
lucas vázquez,Without Club,1.73,4000000.0,2023-2024,LaLiga
vinícius tobias,Shakhtar Donetsk,1.77,3000000.0,2023-2024,LaLiga
álvaro odriozola,Real Sociedad,1.76,2500000.0,2023-2024,LaLiga
aurélien tchouaméni,Real Madrid,1.88,100000000.0,2023-2024,LaLiga
mario martín,Real Madrid,1.77,300000.0,2023-2024,LaLiga
federico valverde,Real Madrid,1.82,120000000.0,2023-2024,LaLiga
eduardo camavinga,Real Madrid,1.82,100000000.0,2023-2024,LaLiga
toni kroos,nan,1.83,10000000.0,2023-2024,LaLiga
luka modrić,AC Milan,1.72,6000000.0,2023-2024,LaLiga
dani ceballos,Real Madrid,1.79,6000000.0,2023-2024,LaLiga
théo zidane,Córdoba CF,1.96,300000.0,2023-2024,LaLiga
jude bellingham,Real Madrid,1.86,180000000.0,2023-2024,LaLiga
nico paz,Como 1907,1.86,10000000.0,2023-2024,LaLiga
vinicius junior,Real Madrid,1.76,180000000.0,2023-2024,LaLiga
rodrygo,Real Madrid,1.74,110000000.0,2023-2024,LaLiga
brahim díaz,Real Madrid,1.7,40000000.0,2023-2024,LaLiga
arda güler,Real Madrid,1.75,30000000.0,2023-2024,LaLiga
joselu,Al-Gharafa SC,1.91,5000000.0,2023-2024,LaLiga
álvaro rodríguez,Real Madrid,1.93,3500000.0,2023-2024,LaLiga
gonzalo garcía,Real Madrid,1.82,1000000.0,2023-2024,LaLiga
marc-andré ter stegen,FC Barcelona,1.87,28000000.0,2023-2024,LaLiga
iñaki peña,FC Barcelona,1.84,8000000.0,2023-2024,LaLiga
ander astralaga,Granada CF,1.9,1000000.0,2023-2024,LaLiga
diego kochen,FC Barcelona Atlètic,1.9,100000.0,2023-2024,LaLiga
áron yaakobishvili,FC Andorra,1.85,,2023-2024,LaLiga
ronald araujo,FC Barcelona,1.92,70000000.0,2023-2024,LaLiga
andreas christensen,FC Barcelona,1.87,40000000.0,2023-2024,LaLiga
pau cubarsí,FC Barcelona,1.84,30000000.0,2023-2024,LaLiga
eric garcía,FC Barcelona,1.82,20000000.0,2023-2024,LaLiga
mikayil faye,Stade Rennais FC,1.83,10000000.0,2023-2024,LaLiga
iñigo martínez,FC Barcelona,1.82,5000000.0,2023-2024,LaLiga
alejandro balde,FC Barcelona,1.75,40000000.0,2023-2024,LaLiga
marcos alonso,Celta de Vigo,1.88,2000000.0,2023-2024,LaLiga
jules koundé,FC Barcelona,1.8,45000000.0,2023-2024,LaLiga
joão cancelo,Al-Hilal SFC,1.82,25000000.0,2023-2024,LaLiga
héctor fort,FC Barcelona,1.85,10000000.0,2023-2024,LaLiga
marc casadó,FC Barcelona,1.72,2500000.0,2023-2024,LaLiga
oriol romeu,FC Barcelona,1.83,2000000.0,2023-2024,LaLiga
pau prim,Al-Sadd SC,1.79,500000.0,2023-2024,LaLiga
gavi,FC Barcelona,1.73,90000000.0,2023-2024,LaLiga
pedri,FC Barcelona,1.74,80000000.0,2023-2024,LaLiga
frenkie de jong,FC Barcelona,1.81,70000000.0,2023-2024,LaLiga
i̇lkay gündoğan,Manchester City,1.8,15000000.0,2023-2024,LaLiga
sergi roberto,Como 1907,1.78,2500000.0,2023-2024,LaLiga
unai hernández,Al-Ittihad Club,1.71,800000.0,2023-2024,LaLiga
aleix garrido,SD Eibar,1.7,500000.0,2023-2024,LaLiga
fermín lópez,FC Barcelona,1.74,30000000.0,2023-2024,LaLiga
raphinha,FC Barcelona,1.76,50000000.0,2023-2024,LaLiga
ansu fati,AS Monaco,1.78,25000000.0,2023-2024,LaLiga
abde ezzalzouli,Real Betis Balompié,1.77,9000000.0,2023-2024,LaLiga
ángel alarcón,FC Porto B,1.75,300000.0,2023-2024,LaLiga
lamine yamal,FC Barcelona,1.8,90000000.0,2023-2024,LaLiga
joão félix,Chelsea FC,1.81,30000000.0,2023-2024,LaLiga
ferran torres,FC Barcelona,1.84,30000000.0,2023-2024,LaLiga
vitor roque,Sociedade Esportiva Palmeiras,1.74,30000000.0,2023-2024,LaLiga
robert lewandowski,FC Barcelona,1.85,15000000.0,2023-2024,LaLiga
marc guiu,Chelsea FC,1.87,7500000.0,2023-2024,LaLiga
pau víctor,FC Barcelona,1.84,1500000.0,2023-2024,LaLiga
álex remiro,Real Sociedad,1.91,25000000.0,2023-2024,LaLiga
gaizka ayesa,AD Alcorcón,1.85,300000.0,2023-2024,LaLiga
unai marrero,Real Sociedad,1.89,300000.0,2023-2024,LaLiga
aitor fraga,Real Sociedad B,,200000.0,2023-2024,LaLiga
robin le normand,Atlético de Madrid,1.87,40000000.0,2023-2024,LaLiga
igor zubeldia,Real Sociedad,1.81,22000000.0,2023-2024,LaLiga
jon pacheco,Real Sociedad,1.84,15000000.0,2023-2024,LaLiga
aritz elustondo,Real Sociedad,1.8,5000000.0,2023-2024,LaLiga
jon martín,Real Sociedad,1.87,2000000.0,2023-2024,LaLiga
kieran tierney,Celtic FC,1.8,12000000.0,2023-2024,LaLiga
aihen muñoz,Real Sociedad,1.75,8000000.0,2023-2024,LaLiga
javi galán,Atlético de Madrid,1.72,7000000.0,2023-2024,LaLiga
diego rico,Getafe CF,1.83,1500000.0,2023-2024,LaLiga
hamari traoré,Real Sociedad,1.75,6000000.0,2023-2024,LaLiga
jon aramburu,Real Sociedad,1.76,2500000.0,2023-2024,LaLiga
álvaro odriozola,Real Sociedad,1.76,2500000.0,2023-2024,LaLiga
iñaki rupérez,Real Sociedad B,,150000.0,2023-2024,LaLiga
martín zubimendi,Arsenal FC,1.81,50000000.0,2023-2024,LaLiga
urko gonzález de zárate,Real Sociedad,1.89,1200000.0,2023-2024,LaLiga
