nombre,club_actual,altura,valor,temporada,liga
ilias kostis,Atlético Madrileño,1.88,100000.0,2022-2023,LaLiga
adrián corral,Atlético Madrid C,1.79,50000.0,2022-2023,LaLiga
reinildo mandava,Sunderland AFC,1.8,25000000.0,2022-2023,LaLiga
renan lodi,Al-Hilal SFC,1.73,20000000.0,2022-2023,LaLiga
sergio reguilón,Without Club,1.78,10000000.0,2022-2023,LaLiga
nahuel molina,Atlético de Madrid,1.75,35000000.0,2022-2023,LaLiga
matt doherty,Wolverhampton Wanderers,1.85,5000000.0,2022-2023,LaLiga
sergio diez,UD Ibiza,1.78,200000.0,2022-2023,LaLiga
geoffrey kondogbia,Olympique Marseille,1.88,14000000.0,2022-2023,LaLiga
rodrigo de paul,Atlético de Madrid,1.8,40000000.0,2022-2023,LaLiga
koke,Atlético de Madrid,1.76,16000000.0,2022-2023,LaLiga
saúl ñíguez,Atlético de Madrid,1.84,10000000.0,2022-2023,LaLiga
pablo barrios,Atlético de Madrid,1.81,5000000.0,2022-2023,LaLiga
alberto moreno,Without Club,1.75,150000.0,2022-2023,LaLiga
aitor gismera,Atlético Madrileño,1.82,150000.0,2022-2023,LaLiga
marcos llorente,Atlético de Madrid,1.84,35000000.0,2022-2023,LaLiga
thomas lemar,Atlético de Madrid,1.71,22000000.0,2022-2023,LaLiga
antonio alemán,CD San Roque de Lepe,,,2022-2023,LaLiga
yannick carrasco,Al-Shabab FC,1.81,25000000.0,2022-2023,LaLiga
salim el jebari,Atlético Madrileño,1.78,,2022-2023,LaLiga
ángel correa,Tigres UANL,1.71,30000000.0,2022-2023,LaLiga
diego bri,Córdoba CF,1.77,150000.0,2022-2023,LaLiga
joão félix,Chelsea FC,1.81,50000000.0,2022-2023,LaLiga
matheus cunha,Manchester United,1.83,25000000.0,2022-2023,LaLiga
antoine griezmann,Atlético de Madrid,1.76,25000000.0,2022-2023,LaLiga
álvaro morata,Galatasaray,1.89,20000000.0,2022-2023,LaLiga
memphis depay,Sport Club Corinthians Paulista,1.78,14000000.0,2022-2023,LaLiga
carlos martín,Atlético de Madrid,1.8,500000.0,2022-2023,LaLiga
abde raihani,Atlético Madrileño,1.87,,2022-2023,LaLiga
álex remiro,Real Sociedad,1.91,25000000.0,2022-2023,LaLiga
andoni zubiaurre,Johor Darul Ta'zim,1.89,300000.0,2022-2023,LaLiga
unai marrero,Real Sociedad,1.89,250000.0,2022-2023,LaLiga
egoitz arana,Real Sociedad B,1.97,50000.0,2022-2023,LaLiga
robin le normand,Atlético de Madrid,1.87,35000000.0,2022-2023,LaLiga
igor zubeldia,Real Sociedad,1.81,15000000.0,2022-2023,LaLiga
aritz elustondo,Real Sociedad,1.8,14000000.0,2022-2023,LaLiga
jon pacheco,Real Sociedad,1.84,6000000.0,2022-2023,LaLiga
aritz arambarri,SD Eibar,1.86,500000.0,2022-2023,LaLiga
aihen muñoz,Real Sociedad,1.75,6000000.0,2022-2023,LaLiga
diego rico,Getafe CF,1.83,3000000.0,2022-2023,LaLiga
jonathan gómez,Albacete Balompié,1.78,500000.0,2022-2023,LaLiga
andoni gorosabel,Athletic Bilbao,1.74,9000000.0,2022-2023,LaLiga
martín zubimendi,Arsenal FC,1.81,40000000.0,2022-2023,LaLiga
asier illarramendi,Without Club,1.79,2000000.0,2022-2023,LaLiga
urko gonzález de zárate,Real Sociedad,1.89,700000.0,2022-2023,LaLiga
mikel merino,Arsenal FC,1.89,50000000.0,2022-2023,LaLiga
ander guevara,Deportivo Alavés,1.8,2500000.0,2022-2023,LaLiga
beñat turrientes,Real Sociedad,1.81,2000000.0,2022-2023,LaLiga
jon ander olasagasti,Levante UD,1.76,1000000.0,2022-2023,LaLiga
brais méndez,Real Sociedad,1.84,25000000.0,2022-2023,LaLiga
david silva,nan,1.7,4000000.0,2022-2023,LaLiga
pablo marín,Real Sociedad,1.78,1000000.0,2022-2023,LaLiga
jon magunazelaia,SD Eibar,1.8,700000.0,2022-2023,LaLiga
ander barrenetxea,Real Sociedad,1.75,6000000.0,2022-2023,LaLiga
martín merquelanz,Without Club,1.76,800000.0,2022-2023,LaLiga
takefusa kubo,Real Sociedad,1.73,25000000.0,2022-2023,LaLiga
mohamed-ali cho,OGC Nice,1.82,12000000.0,2022-2023,LaLiga
álex sola,Getafe CF,1.78,3000000.0,2022-2023,LaLiga
robert navarro,Athletic Bilbao,1.78,3000000.0,2022-2023,LaLiga
ander martín,Burgos CF,1.77,400000.0,2022-2023,LaLiga
alexander isak,Newcastle United,1.92,70000000.0,2022-2023,LaLiga
mikel oyarzabal,Real Sociedad,1.81,40000000.0,2022-2023,LaLiga
umar sadiq,Real Sociedad,1.91,18000000.0,2022-2023,LaLiga
alexander sørloth,Atlético de Madrid,1.95,12000000.0,2022-2023,LaLiga
jon karrikaburu,Real Sociedad,1.83,5000000.0,2022-2023,LaLiga
carlos fernández,Real Sociedad,1.85,3000000.0,2022-2023,LaLiga
gerónimo rulli,Olympique Marseille,1.89,10000000.0,2022-2023,LaLiga
filip jørgensen,Chelsea FC,1.92,1500000.0,2022-2023,LaLiga
pepe reina,nan,1.88,700000.0,2022-2023,LaLiga
iker álvarez,Córdoba CF,1.9,500000.0,2022-2023,LaLiga
gianni cassaro,CE Sabadell FC,1.92,100000.0,2022-2023,LaLiga
pau torres,Aston Villa,1.92,45000000.0,2022-2023,LaLiga
jorge cuenca,Fulham FC,1.9,5000000.0,2022-2023,LaLiga
aïssa mandi,LOSC Lille,1.86,3000000.0,2022-2023,LaLiga
mamadou mbacke,FC Barcelona Atlètic,1.89,2800000.0,2022-2023,LaLiga
raúl albiol,Without Club,1.9,2500000.0,2022-2023,LaLiga
adrián de la fuente,Levante UD,1.79,800000.0,2022-2023,LaLiga
pervis estupiñán,Brighton & Hove Albion,1.75,32000000.0,2022-2023,LaLiga
alfonso pedraza,Villarreal CF,1.84,15000000.0,2022-2023,LaLiga
johan mojica,RCD Mallorca,1.85,3000000.0,2022-2023,LaLiga
alberto moreno,Como 1907,1.71,3000000.0,2022-2023,LaLiga
dani tasende,Real Zaragoza,1.72,700000.0,2022-2023,LaLiga
carlos romero,RCD Espanyol Barcelona,1.74,100000.0,2022-2023,LaLiga
juan foyth,Villarreal CF,1.87,25000000.0,2022-2023,LaLiga
kiko femenía,Getafe CF,1.74,2500000.0,2022-2023,LaLiga
sergio carreira,Celta de Vigo,1.7,1500000.0,2022-2023,LaLiga
marcos sánchez,CD Numancia,1.78,,2022-2023,LaLiga
étienne capoue,Without Club,1.89,3000000.0,2022-2023,LaLiga
francis coquelin,FC Nantes,1.77,3000000.0,2022-2023,LaLiga
dani parejo,Villarreal CF,1.82,6000000.0,2022-2023,LaLiga
manu morlanes,RCD Mallorca,1.78,4000000.0,2022-2023,LaLiga
manu trigueros,Granada CF,1.78,4000000.0,2022-2023,LaLiga
ramón terrats,RCD Espanyol Barcelona,1.81,4000000.0,2022-2023,LaLiga
alberto del moral,Real Oviedo,1.85,1000000.0,2022-2023,LaLiga
carlo garcía,Villarreal CF B,1.82,800000.0,2022-2023,LaLiga
antonio pacheco,Albacete Balompié,1.84,400000.0,2022-2023,LaLiga
rodri alonso,Moreirense FC,1.72,100000.0,2022-2023,LaLiga
giovani lo celso,Real Betis Balompié,1.77,14000000.0,2022-2023,LaLiga
arnaut danjuma,Villarreal CF,1.78,25000000.0,2022-2023,LaLiga
álex baena,Atlético de Madrid,1.74,20000000.0,2022-2023,LaLiga
diego collado,Gil Vicente FC,1.83,1000000.0,2022-2023,LaLiga
yéremy pino,Villarreal CF,1.72,40000000.0,2022-2023,LaLiga
samuel chukwueze,AC Milan,1.72,25000000.0,2022-2023,LaLiga
haissem hassan,Real Oviedo,1.75,1500000.0,2022-2023,LaLiga
