nombre,club_actual,altura,valor,temporada,liga
pedro neto,Chelsea FC,1.74,50000000.0,2024-2025,Premier-League
noni madueke,Arsenal FC,1.82,40000000.0,2024-2025,Premier-League
ato ampah,Chelsea FC U21,1.91,,2024-2025,Premier-League
joão félix,Chelsea FC,1.81,20000000.0,2024-2025,Premier-League
joão pedro,Chelsea FC,1.82,50000000.0,2024-2025,Premier-League
nicolas jackson,Chelsea FC,1.87,50000000.0,2024-2025,Premier-League
liam delap,Chelsea FC,1.86,40000000.0,2024-2025,Premier-League
christopher nkunku,Chelsea FC,1.77,35000000.0,2024-2025,Premier-League
deivid washington,Santos FC,1.87,8000000.0,2024-2025,Premier-League
marc guiu,Chelsea FC,1.87,8000000.0,2024-2025,Premier-League
david datro fofana,Chelsea FC,1.82,6000000.0,2024-2025,Premier-League
shumaira mheuka,Chelsea FC U21,1.85,800000.0,2024-2025,Premier-League
david raya,Arsenal FC,1.83,40000000.0,2024-2025,Premier-League
aaron ramsdale,Southampton FC,1.9,16000000.0,2024-2025,Premier-League
neto,AFC Bournemouth,1.9,1500000.0,2024-2025,Premier-League
jack porter,Arsenal FC U18,1.87,400000.0,2024-2025,Premier-League
alexéi rojas,Arsenal FC U21,1.87,250000.0,2024-2025,Premier-League
tommy setford,Arsenal FC U21,1.85,,2024-2025,Premier-League
william saliba,Arsenal FC,1.92,80000000.0,2024-2025,Premier-League
gabriel magalhães,Arsenal FC,1.9,75000000.0,2024-2025,Premier-League
jakub kiwior,Arsenal FC,1.89,28000000.0,2024-2025,Premier-League
ayden heaven,Manchester United,1.89,5000000.0,2024-2025,Premier-League
zane monlouis,Toronto FC,1.86,400000.0,2024-2025,Premier-League
maldini kacurri,Arsenal FC U21,1.89,300000.0,2024-2025,Premier-League
brayden clarke,Arsenal FC U21,,,2024-2025,Premier-League
myles lewis-skelly,Arsenal FC,1.78,45000000.0,2024-2025,Premier-League
riccardo calafiori,Arsenal FC,1.88,35000000.0,2024-2025,Premier-League
oleksandr zinchenko,Arsenal FC,1.75,20000000.0,2024-2025,Premier-League
kieran tierney,Celtic FC,1.8,9000000.0,2024-2025,Premier-League
jurrien timber,Arsenal FC,1.79,55000000.0,2024-2025,Premier-League
ben white,Arsenal FC,1.86,45000000.0,2024-2025,Premier-League
takehiro tomiyasu,Without Club,1.88,18000000.0,2024-2025,Premier-League
josh robinson,Wigan Athletic,,,2024-2025,Premier-League
josh nichols,Arsenal FC U21,,,2024-2025,Premier-League
thomas partey,Without Club,1.85,14000000.0,2024-2025,Premier-League
jorginho,CR Flamengo,1.8,6000000.0,2024-2025,Premier-League
jack henry-francis,Shelbourne FC,1.81,200000.0,2024-2025,Premier-League
michal rosiak,Without Club,1.8,,2024-2025,Premier-League
declan rice,Arsenal FC,1.88,120000000.0,2024-2025,Premier-League
mikel merino,Arsenal FC,1.89,35000000.0,2024-2025,Premier-League
salah-eddine oulad m'hand,Without Club,1.77,400000.0,2024-2025,Premier-League
jimi gower,Without Club,1.81,,2024-2025,Premier-League
martin ødegaard,Arsenal FC,1.78,85000000.0,2024-2025,Premier-League
gabriel martinelli,Arsenal FC,1.78,55000000.0,2024-2025,Premier-League
leandro trossard,Arsenal FC,1.72,22000000.0,2024-2025,Premier-League
bukayo saka,Arsenal FC,1.78,150000000.0,2024-2025,Premier-League
ethan nwaneri,Arsenal FC,1.76,55000000.0,2024-2025,Premier-League
reiss nelson,Arsenal FC,1.75,16000000.0,2024-2025,Premier-League
raheem sterling,Chelsea FC,1.7,10000000.0,2024-2025,Premier-League
ismeal kabia,Arsenal FC U21,,,2024-2025,Premier-League
kai havertz,Arsenal FC,1.93,65000000.0,2024-2025,Premier-League
gabriel jesus,Arsenal FC,1.75,32000000.0,2024-2025,Premier-League
eddie nketiah,Crystal Palace,1.75,18000000.0,2024-2025,Premier-League
nathan butler-oyedeji,FC Lausanne-Sport,1.77,1000000.0,2024-2025,Premier-League
alisson,Liverpool FC,1.93,20000000.0,2024-2025,Premier-League
caoimhín kelleher,Brentford FC,1.88,20000000.0,2024-2025,Premier-League
vitezslav jaros,Ajax Amsterdam,1.9,4000000.0,2024-2025,Premier-League
harvey davies,Crawley Town,1.9,500000.0,2024-2025,Premier-League
ibrahima konaté,Liverpool FC,1.94,60000000.0,2024-2025,Premier-League
virgil van dijk,Liverpool FC,1.95,23000000.0,2024-2025,Premier-League
joe gomez,Liverpool FC,1.88,20000000.0,2024-2025,Premier-League
jarell quansah,Bayer 04 Leverkusen,1.9,20000000.0,2024-2025,Premier-League
amara nallo,Liverpool FC U21,1.86,1000000.0,2024-2025,Premier-League
