nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
juanlu sánchez,Sevilla,34,18,4,58.6,56,35,12,24,7,17,36,0,2023-2024,laliga
manu sánchez,Celta Vigo,21,25,8,56.4,54,28,19,23,3,20,65,0,2023-2024,laliga
jesús santiago,Getafe,8,5,4,57.1,17,8,0,3,0,3,8,0,2023-2024,laliga
paco sanz,Almería,0,0,0,0.0,0,0,0,0,0,0,4,0,2023-2024,laliga
stefan savić,Atlético Madrid,16,7,4,50.0,27,19,27,29,15,14,61,1,2023-2024,laliga
sávio,Girona,14,22,6,57.1,42,25,18,34,0,34,11,1,2023-2024,laliga
aleksandar sedlar,Alavés,10,4,0,62.5,14,10,13,8,4,4,43,0,2023-2024,laliga
andré silva,Real Sociedad,0,0,2,0.0,2,2,1,3,0,3,3,0,2023-2024,laliga
rui silva,Betis,0,0,0,0.0,0,0,1,0,0,0,13,1,2023-2024,laliga
giuliano simeone,Alavés,2,3,2,29.4,7,5,5,10,0,10,3,0,2023-2024,laliga
unai simón,Athletic Club,1,1,0,66.7,2,1,1,0,0,0,9,0,2023-2024,laliga
daley sinkgraven,Las Palmas,6,5,0,25.0,11,5,6,5,3,2,9,0,2023-2024,laliga
jailson siqueira,Celta Vigo,22,5,0,54.2,27,18,12,13,5,8,32,0,2023-2024,laliga
antonio sivera,Alavés,0,0,0,0.0,0,0,0,0,0,0,17,1,2023-2024,laliga
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2023-2024,laliga
rubén sobrino,Cádiz,18,26,8,43.1,52,28,16,26,2,24,18,0,2023-2024,laliga
alex sola,Alavés,11,9,7,53.8,27,15,11,18,2,16,16,0,2023-2024,laliga
alex sola,Real Sociedad,0,0,0,,0,0,1,0,0,0,2,0,2023-2024,laliga
jhon solis,Girona,4,5,1,33.3,10,8,8,8,3,5,7,1,2023-2024,laliga
david soria,Getafe,0,0,0,0.0,0,0,0,0,0,0,21,6,2023-2024,laliga
alberto soro,Granada,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
hugo sotelo,Celta Vigo,3,13,3,40.0,19,17,2,7,1,6,5,0,2023-2024,laliga
boubakary soumaré,Sevilla,24,14,1,53.8,39,28,26,25,7,18,20,1,2023-2024,laliga
djibril sow,Sevilla,15,8,5,36.0,28,21,17,20,3,17,8,1,2023-2024,laliga
çağlar söyüncü,Atlético Madrid,1,0,0,,1,1,1,1,0,1,7,0,2023-2024,laliga
carl starfelt,Celta Vigo,30,5,1,67.9,36,30,34,35,28,7,159,2,2023-2024,laliga
jørgen strand larsen,Celta Vigo,1,15,5,21.1,21,11,5,15,1,14,17,0,2023-2024,laliga
cristhian stuani,Girona,4,6,4,57.1,14,11,5,9,2,7,13,0,2023-2024,laliga
álex suárez,Las Palmas,33,15,5,83.8,53,36,18,33,14,19,84,0,2023-2024,laliga
damián suárez,Getafe,16,16,4,57.8,36,21,10,13,3,10,31,0,2023-2024,laliga
denis suárez,Villarreal,0,0,0,0.0,0,0,0,2,2,0,4,0,2023-2024,laliga
suso,Sevilla,14,8,2,28.6,24,17,5,9,0,9,4,0,2023-2024,laliga
max svensson,Osasuna,0,0,1,,1,0,0,0,0,0,0,0,2023-2024,laliga
williot swedberg,Celta Vigo,3,6,0,62.5,9,4,0,11,1,10,4,0,2023-2024,laliga
mamadou sylla,Alavés,0,0,0,,0,0,0,1,1,0,1,0,2023-2024,laliga
alexander sørloth,Villarreal,1,2,3,33.3,6,3,0,9,4,5,26,0,2023-2024,laliga
yassin tallal,Getafe,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
renato tapia,Celta Vigo,19,19,3,56.0,41,29,21,31,7,24,50,1,2023-2024,laliga
césar tárrega,Valencia,0,0,0,,0,0,0,0,0,0,2,0,2023-2024,laliga
marciano tchami,Almería,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2023-2024,laliga
aurélien tchouaméni,Real Madrid,19,17,2,50.0,38,23,28,21,13,8,52,1,2023-2024,laliga
nahuel tenaglia,Alavés,22,4,3,57.1,29,19,12,14,8,6,59,0,2023-2024,laliga
marc-andré ter stegen,Barcelona,0,0,0,,0,0,0,0,0,0,3,3,2023-2024,laliga
ramón terrats,Villarreal,8,8,1,46.7,17,13,3,11,1,10,9,0,2023-2024,laliga
kieran tierney,Real Sociedad,16,18,3,66.7,37,24,10,22,8,14,45,0,2023-2024,laliga
raúl de tomás,Rayo Vallecano,4,3,2,50.0,9,5,1,3,0,3,8,0,2023-2024,laliga
pablo torre,Girona,0,5,0,40.0,5,2,4,10,2,8,6,1,2023-2024,laliga
raúl torrente,Granada,20,9,0,77.3,29,16,11,16,10,6,68,2,2023-2024,laliga
ferrán torres,Barcelona,1,6,2,31.3,9,6,5,7,1,6,6,0,2023-2024,laliga
óliver torres,Sevilla,17,15,5,38.6,37,22,6,40,4,36,6,0,2023-2024,laliga
lucas torró,Osasuna,11,8,6,39.3,25,15,33,10,2,8,37,0,2023-2024,laliga
bertrand traoré,Villarreal,2,1,2,25.0,5,4,1,6,0,6,2,0,2023-2024,laliga
hamari traoré,Real Sociedad,24,17,3,58.1,44,19,24,27,8,19,59,2,2023-2024,laliga
óscar trejo,Rayo Vallecano,11,9,7,61.9,27,15,5,21,1,20,9,0,2023-2024,laliga
manu trigueros,Villarreal,6,1,0,40.0,7,5,3,1,1,0,9,0,2023-2024,laliga
viktor tsyhankov,Girona,11,13,5,53.8,29,20,12,18,1,17,24,0,2023-2024,laliga
beñat turrientes,Real Sociedad,6,20,5,43.3,31,17,6,19,8,11,17,0,2023-2024,laliga
enes ünal,Getafe,0,0,0,,0,0,0,1,0,1,2,0,2023-2024,laliga
myrto uzuni,Granada,8,7,3,22.2,18,14,4,19,3,16,7,0,2023-2024,laliga
óscar valentín,Rayo Vallecano,39,62,6,45.5,107,66,35,62,10,52,52,1,2023-2024,laliga
martin valjent,Mallorca,19,13,2,60.0,34,18,29,26,11,15,112,1,2023-2024,laliga
jesús vallejo,Granada,1,2,0,100.0,3,1,0,3,2,1,1,1,2023-2024,laliga
álvaro vallés,Las Palmas,3,0,0,37.5,3,2,0,0,0,0,40,1,2023-2024,laliga
federico valverde,Real Madrid,22,13,12,57.1,47,34,43,39,2,37,40,0,2023-2024,laliga
siebe van der heyden,Mallorca,7,2,0,66.7,9,2,7,1,1,0,12,0,2023-2024,laliga
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2023-2024,laliga
josé luis garcía vayá,Valencia,36,36,6,52.1,78,53,49,41,10,31,71,0,2023-2024,laliga
borja vázquez,Cádiz,1,0,0,100.0,1,0,0,0,0,0,1,0,2023-2024,laliga
jesus vazquez,Valencia,13,8,3,62.5,24,12,3,17,4,13,24,0,2023-2024,laliga
kevin vázquez,Celta Vigo,7,7,1,57.1,15,13,5,11,3,8,25,0,2023-2024,laliga
lucas vázquez,Real Madrid,22,14,1,72.0,37,25,12,27,5,22,36,0,2023-2024,laliga
gabriel veiga,Celta Vigo,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
alejo véliz,Sevilla,0,1,0,50.0,1,0,0,0,0,0,1,0,2023-2024,laliga
arthur vermeeren,Atlético Madrid,0,1,0,0.0,1,0,6,5,0,5,2,0,2023-2024,laliga
mikel vesga,Athletic Club,11,23,6,38.8,40,20,32,19,7,12,35,1,2023-2024,laliga
carlos vicente,Alavés,7,7,2,40.0,16,6,4,4,0,4,9,0,2023-2024,laliga
nacho vidal,Osasuna,2,2,1,40.0,5,4,0,2,0,2,6,0,2023-2024,laliga
nacho vidal,Mallorca,4,5,3,46.2,12,5,3,5,2,3,9,0,2023-2024,laliga
fran vieites,Betis,1,0,0,100.0,1,0,0,0,0,0,2,1,2023-2024,laliga
jonathan viera,Las Palmas,1,2,3,11.1,6,3,0,0,0,0,1,0,2023-2024,laliga
jonathan viera,Almería,6,9,4,52.6,19,9,4,4,0,4,1,0,2023-2024,laliga
toni villa,Girona,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,laliga
asier villalibre,Athletic Club,0,0,2,100.0,2,1,0,2,1,1,6,0,2023-2024,laliga
gonzalo villar,Granada,26,20,5,63.4,51,33,6,32,10,22,26,1,2023-2024,laliga
iván villar,Celta Vigo,0,0,0,0.0,0,0,0,0,0,0,6,0,2023-2024,laliga
ricardo visus,Betis,1,1,0,100.0,2,2,2,2,2,0,9,1,2023-2024,laliga
daniel vivian,Athletic Club,29,11,2,62.2,42,28,31,49,25,24,104,0,2023-2024,laliga
shon weissman,Granada,0,0,1,25.0,1,1,0,3,0,3,1,0,2023-2024,laliga
iñaki williams,Athletic Club,6,8,10,38.2,24,17,14,42,8,34,29,0,2023-2024,laliga
nico williams,Athletic Club,9,15,7,36.1,31,12,3,18,2,16,4,1,2023-2024,laliga
axel witsel,Atlético Madrid,23,12,0,70.8,35,21,16,40,21,19,119,0,2023-2024,laliga
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2023-2024,laliga
xeber,Alavés,3,2,0,42.9,5,5,1,2,1,1,2,0,2023-2024,laliga
antal yaakobishvili,Girona,1,1,0,100.0,2,1,3,0,0,0,3,0,2023-2024,laliga
lamine yamal,Barcelona,32,15,14,37.5,61,37,19,32,0,32,11,0,2023-2024,laliga
roman yaremchuk,Valencia,1,2,2,50.0,5,2,1,4,0,4,9,0,2023-2024,laliga
arsen zakharyan,Real Sociedad,8,11,3,40.9,22,15,4,16,0,16,10,0,2023-2024,laliga
joseba zaldúa,Cádiz,17,2,1,61.9,20,12,2,6,4,2,20,0,2023-2024,laliga
bryan zaragoza,Granada,8,6,4,34.8,18,9,3,9,0,9,3,0,2023-2024,laliga
igor zubeldia,Real Sociedad,20,10,2,73.1,32,25,32,28,19,9,97,3,2023-2024,laliga
martín zubimendi,Real Sociedad,18,29,2,54.8,49,27,37,33,9,24,54,0,2023-2024,laliga
