nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
gleison bremer,32,21,5,72.4,58,42,45,27,18,2023-2024,serie-a
brenner,1,5,2,57.1,8,7,2,0,2,2023-2024,serie-a
marco brescianini,13,12,3,36.0,28,13,22,5,17,2023-2024,serie-a
dylan bronn,0,0,0,0.0,0,0,2,0,2,2023-2024,serie-a
tajon buchanan,0,0,1,50.0,1,1,1,0,1,2023-2024,serie-a
alessandro buongiorno,43,24,3,70.6,70,39,20,12,8,2023-2024,serie-a
rareș-cătălin burnete,0,0,0,,0,0,0,0,0,2023-2024,serie-a
jovane cabral,4,7,2,33.3,13,9,3,0,3,2023-2024,serie-a
liberato cacace,24,13,3,63.2,40,24,23,6,17,2023-2024,serie-a
jens cajuste,13,17,6,54.1,36,24,20,3,17,2023-2024,serie-a
davide calabria,38,25,7,61.1,70,38,26,7,19,2023-2024,serie-a
riccardo calafiori,28,16,3,68.8,47,32,38,13,25,2023-2024,serie-a
mattia caldara,1,0,0,100.0,1,1,1,1,0,2023-2024,serie-a
luca caldirola,19,4,2,59.1,25,14,26,17,9,2023-2024,serie-a
hakan çalhanoğlu,29,29,8,65.3,66,33,29,13,16,2023-2024,serie-a
francesco camarda,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
nicolò cambiaghi,15,20,16,45.7,51,39,26,1,25,2023-2024,serie-a
andrea cambiaso,23,15,9,58.1,47,30,28,3,25,2023-2024,serie-a
matteo cancellieri,12,16,7,36.1,35,22,19,0,19,2023-2024,serie-a
antonio candreva,8,8,2,36.0,18,13,9,0,9,2023-2024,serie-a
luigi canotto,0,0,0,,0,0,0,0,0,2023-2024,serie-a
gianluca caprari,1,1,0,0.0,2,1,0,0,0,2023-2024,serie-a
elia caprile,1,0,0,100.0,1,0,0,0,0,2023-2024,serie-a
francesco caputo,0,0,2,0.0,2,0,4,0,4,2023-2024,serie-a
andrea carboni,24,12,2,64.5,38,22,23,13,10,2023-2024,serie-a
valentin carboni,10,12,3,30.8,25,15,12,1,11,2023-2024,serie-a
marco carnesecchi,0,0,0,,0,0,0,0,0,2023-2024,serie-a
nicolò casale,13,2,0,40.0,15,9,19,16,3,2023-2024,serie-a
giuseppe caso,2,0,2,66.7,4,3,0,0,0,2023-2024,serie-a
valentín castellanos,1,12,9,30.0,22,10,22,2,20,2023-2024,serie-a
samu castillejo,5,5,2,36.8,12,10,16,1,15,2023-2024,serie-a
santiago castro,0,1,1,33.3,2,1,1,0,1,2023-2024,serie-a
