nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
max aarons,Valencia,2,2,0,80.0,4,4,0,1,0,1,3,0,2024-2025,laliga
rodrigo abajas,Valencia,2,1,0,100.0,3,2,1,1,0,1,0,0,2024-2025,laliga
abel,Osasuna,28,25,8,61.9,61,37,18,29,4,25,64,2,2024-2025,laliga
nabil aberdin,Getafe,3,3,0,100.0,6,4,0,3,0,3,5,0,2024-2025,laliga
abdel abqar,Alavés,24,11,1,58.8,36,23,39,28,18,10,146,1,2024-2025,laliga
akor adams,Sevilla,0,0,0,,0,0,0,1,0,1,1,0,2024-2025,laliga
adrián,Betis,0,0,0,0.0,0,0,0,0,0,0,14,3,2024-2025,laliga
julen agirrezabala,Athletic Club,0,0,0,0.0,0,0,0,0,0,0,4,0,2024-2025,laliga
lucien agoume,Sevilla,23,37,10,69.2,70,32,41,30,11,19,42,0,2024-2025,laliga
álvaro aguado,Espanyol,3,2,0,33.3,5,2,4,7,1,6,5,1,2024-2025,laliga
lorenzo aguado,Real Madrid,0,0,0,,0,0,0,0,0,0,2,0,2024-2025,laliga
nayef aguerd,Real Sociedad,17,12,1,66.7,30,24,13,21,15,6,91,0,2024-2025,laliga
joseph aidoo,Valladolid,3,2,0,66.7,5,5,5,8,4,4,26,1,2024-2025,laliga
joseph aidoo,Celta Vigo,1,0,0,,1,0,0,0,0,0,0,0,2024-2025,laliga
ilias akhomach,Villarreal,4,4,4,50.0,12,7,3,8,0,8,13,0,2024-2025,laliga
david alaba,Real Madrid,1,0,0,,1,0,6,5,5,0,7,0,2024-2025,laliga
ibrahim alani,Valladolid,8,4,0,66.7,12,7,1,3,1,2,1,0,2024-2025,laliga
raúl albiol,Villarreal,9,1,0,60.0,10,9,6,10,9,1,69,1,2024-2025,laliga
