nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
peter pekarík,4,0,0,66.7,4,3,6,2,4,2022-2023,bundesliga
luca pellegrini,10,3,0,100.0,13,8,8,2,6,2022-2023,bundesliga
ricardo pepi,1,0,0,100.0,1,1,1,0,1,2022-2023,bundesliga
juan perea,0,2,3,50.0,5,4,2,1,1,2022-2023,bundesliga
nils petersen,0,3,3,40.0,6,4,11,2,9,2022-2023,bundesliga
lukas petkov,4,1,0,66.7,5,1,4,1,3,2022-2023,bundesliga
luca pfeiffer,1,0,0,0.0,1,1,4,0,4,2022-2023,bundesliga
maximilian philipp,1,1,0,100.0,2,1,1,0,1,2022-2023,bundesliga
maximilian philipp,3,2,1,11.1,6,5,7,1,6,2022-2023,bundesliga
amos pieper,25,19,2,60.0,46,28,23,11,12,2022-2023,bundesliga
marvin plattenhardt,24,15,4,61.7,43,33,25,11,14,2022-2023,bundesliga
alassane pléa,5,7,4,30.8,16,8,23,3,20,2022-2023,bundesliga
joel pohjanpalo,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
sebastian polter,0,4,0,25.0,4,3,4,0,4,2022-2023,bundesliga
stefan posch,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
yussuf poulsen,1,4,1,40.0,6,4,3,1,2,2022-2023,bundesliga
grischa prömel,14,11,2,36.0,27,19,22,4,18,2022-2023,bundesliga
tymoteusz puchacz,1,0,0,,1,0,0,0,0,2022-2023,bundesliga
eduardo quaresma,3,2,0,33.3,5,3,3,2,1,2022-2023,bundesliga
joshua quarshie,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
diant ramaj,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
nicolai rapp,3,0,0,0.0,3,1,0,0,0,2022-2023,bundesliga
david raum,23,12,4,58.6,39,25,24,6,18,2022-2023,bundesliga
rocco reitz,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
marco reus,12,14,4,29.2,30,17,12,4,8,2022-2023,bundesliga
elvis rexhbeçaj,18,24,9,49.2,51,30,39,12,27,2022-2023,bundesliga
gio reyna,2,5,7,50.0,14,7,8,2,6,2022-2023,bundesliga
marco richter,18,17,8,39.6,43,23,29,2,27,2022-2023,bundesliga
manuel riemann,3,0,0,60.0,3,2,1,0,1,2022-2023,bundesliga
sebastian rode,7,28,3,31.1,38,24,18,2,16,2022-2023,bundesliga
agustín rogel,13,5,0,64.7,18,9,15,8,7,2022-2023,bundesliga
merlin röhl,1,0,0,,1,0,0,0,0,2022-2023,bundesliga
tony rölke,0,0,0,,0,0,1,0,1,2022-2023,bundesliga
tom rothe,0,1,0,100.0,1,1,0,0,0,2022-2023,bundesliga
jérôme roussillon,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
jérôme roussillon,6,8,2,66.7,16,9,7,2,5,2022-2023,bundesliga
sebastian rudy,10,16,0,48.1,26,12,27,7,20,2022-2023,bundesliga
georginio rutter,1,4,2,33.3,7,4,10,2,8,2022-2023,bundesliga
julian ryerson,17,10,1,60.0,28,17,15,3,12,2022-2023,bundesliga
julian ryerson,17,7,3,51.4,27,15,13,2,11,2022-2023,bundesliga
frederik rønnow,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
marcel sabitzer,11,10,6,58.8,27,14,3,0,3,2022-2023,bundesliga
dikeni-rafid salifou,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
roland sallai,4,3,4,40.0,11,8,7,1,6,2022-2023,bundesliga
diadie samassékou,0,1,0,0.0,1,0,0,0,0,2022-2023,bundesliga
leroy sané,11,19,8,50.0,38,30,11,1,10,2022-2023,bundesliga
sidi sané,1,0,0,100.0,1,1,0,0,0,2022-2023,bundesliga
bouna sarr,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
joe scally,25,5,1,77.4,31,20,17,6,11,2022-2023,bundesliga
kevin schade,3,2,1,60.0,6,4,0,0,0,2022-2023,bundesliga
andrás schäfer,7,12,2,42.9,21,9,12,2,10,2022-2023,bundesliga
derry scherhant,3,3,1,50.0,7,6,3,0,3,2022-2023,bundesliga
patrik schick,0,0,0,0.0,0,0,4,1,3,2022-2023,bundesliga
kingsley schindler,13,8,2,64.3,23,12,14,2,12,2022-2023,bundesliga
xaver schlager,13,26,2,46.5,41,24,19,2,17,2022-2023,bundesliga
keven schlotterbeck,0,0,0,,0,0,1,1,0,2022-2023,bundesliga
keven schlotterbeck,12,5,0,81.8,17,9,11,5,6,2022-2023,bundesliga
nico schlotterbeck,34,24,1,69.8,59,34,38,21,17,2022-2023,bundesliga
jonathan schmid,1,0,0,,1,1,1,0,1,2022-2023,bundesliga
romano schmid,5,13,6,45.5,24,15,21,3,18,2022-2023,bundesliga
kenneth schmidt,4,2,0,83.3,6,3,4,2,2,2022-2023,bundesliga
niklas schmidt,12,11,2,46.4,25,10,10,0,10,2022-2023,bundesliga
benno schmitz,31,28,5,51.2,64,42,34,4,30,2022-2023,bundesliga
marvin schwäbe,1,0,0,100.0,1,0,0,0,0,2022-2023,bundesliga
alexander schwolow,0,0,0,0.0,0,0,0,0,0,2022-2023,bundesliga
paul seguin,9,4,4,44.4,17,8,6,0,6,2022-2023,bundesliga
davie selke,1,1,0,0.0,2,1,3,1,2,2022-2023,bundesliga
davie selke,0,0,0,0.0,0,0,4,1,3,2022-2023,bundesliga
suat serdar,14,30,7,48.8,51,23,48,12,36,2022-2023,bundesliga
eniss shabani,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
kiliann sildillia,10,19,4,60.0,33,20,24,9,15,2022-2023,bundesliga
andré silva,2,5,5,37.5,12,6,11,1,10,2022-2023,bundesliga
mohamed simakan,12,5,4,66.7,21,14,21,4,17,2022-2023,bundesliga
daley sinkgraven,7,3,0,77.8,10,7,8,4,4,2022-2023,bundesliga
tobias sippel,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
hugo siquet,2,0,0,100.0,2,2,1,0,1,2022-2023,bundesliga
tim skarke,0,0,1,,1,1,1,0,1,2022-2023,bundesliga
tim skarke,3,8,2,72.7,13,7,5,0,5,2022-2023,bundesliga
ellyes skhiri,29,42,8,39.4,79,44,52,12,40,2022-2023,bundesliga
robert skov,14,7,1,38.5,22,11,22,8,14,2022-2023,bundesliga
hrvoje smolčić,6,2,0,50.0,8,7,11,4,7,2022-2023,bundesliga
danilo soares,42,23,7,59.7,72,46,29,6,23,2022-2023,bundesliga
nikola soldo,8,7,0,63.6,15,9,7,6,1,2022-2023,bundesliga
yann sommer,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
yann sommer,1,0,0,100.0,1,0,0,0,0,2022-2023,bundesliga
borna sosa,18,8,1,65.6,27,21,20,5,15,2022-2023,bundesliga
djibril sow,13,25,3,50.0,41,25,22,4,18,2022-2023,bundesliga
anton stach,10,15,2,42.1,27,21,28,2,26,2022-2023,bundesliga
kostas stafylidis,13,8,6,41.7,27,16,21,8,13,2022-2023,bundesliga
jens stage,15,18,1,27.0,34,17,34,11,23,2022-2023,bundesliga
veit stange,1,0,0,100.0,1,1,0,0,0,2022-2023,bundesliga
josip stanišić,14,2,3,70.6,19,11,9,1,8,2022-2023,bundesliga
niklas stark,29,24,3,64.3,56,36,24,13,11,2022-2023,bundesliga
pascal stenzel,8,4,0,55.6,12,8,9,2,7,2022-2023,bundesliga
angelo stiller,9,13,4,66.7,26,12,12,2,10,2022-2023,bundesliga
lars stindl,4,17,3,35.7,24,14,24,5,19,2022-2023,bundesliga
kevin stöger,38,32,14,33.0,84,45,27,4,23,2022-2023,bundesliga
niklas süle,18,3,4,60.9,25,19,28,19,9,2022-2023,bundesliga
ivan šunjić,16,21,1,66.7,38,20,17,5,12,2022-2023,bundesliga
mattias svanberg,8,16,1,33.3,25,16,27,5,22,2022-2023,bundesliga
dominik szoboszlai,12,20,13,40.5,45,28,43,2,41,2022-2023,bundesliga
alexander sørloth,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
jonathan tah,21,4,0,66.7,25,12,30,18,12,2022-2023,bundesliga
edmond tapsoba,35,12,4,71.4,51,30,40,17,23,2022-2023,bundesliga
niklas tauer,2,0,0,33.3,2,1,2,1,1,2022-2023,bundesliga
mathys tel,0,1,1,100.0,2,2,5,1,4,2022-2023,bundesliga
semir telalovic,0,0,0,,0,0,0,0,0,2022-2023,bundesliga
simon terodde,4,7,4,21.4,15,8,6,2,4,2022-2023,bundesliga
malick thiaw,2,1,0,50.0,3,1,4,3,1,2022-2023,bundesliga
jan thielmann,3,4,2,18.2,9,8,16,3,13,2022-2023,bundesliga
morten thorsby,9,11,2,61.9,22,10,11,5,6,2022-2023,bundesliga
marcus thuram,3,6,5,46.2,14,7,20,3,17,2022-2023,bundesliga
steffen tigges,1,8,3,28.6,12,7,13,2,11,2022-2023,bundesliga
