nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
brenden aaronson,13,13,6,50.0,32,18,26,1,25,2023-2024,bundesliga
paxten aaronson,1,1,0,100.0,2,2,2,0,2,2023-2024,bundesliga
junior adamu,1,2,2,50.0,5,1,1,0,1,2023-2024,bundesliga
sargis adamyan,2,9,3,54.5,14,9,16,1,15,2023-2024,bundesliga
karim adeyemi,9,4,3,40.0,16,14,11,0,11,2023-2024,bundesliga
amine adli,2,10,4,41.2,16,7,10,2,8,2023-2024,bundesliga
felix agu,28,13,4,70.7,45,29,27,7,20,2023-2024,bundesliga
ludovic ajorque,1,2,0,18.2,3,2,6,2,4,2023-2024,bundesliga
kevin akpoguma,22,12,1,74.3,35,18,28,8,20,2023-2024,bundesliga
faride alidou,3,6,1,22.2,10,4,23,2,21,2023-2024,bundesliga
skelly alvero,1,5,0,100.0,6,4,3,1,2,2023-2024,bundesliga
nadiem amiri,8,10,4,68.4,22,14,16,2,14,2023-2024,bundesliga
nadiem amiri,0,3,1,0.0,4,2,0,0,0,2023-2024,bundesliga
kofi amoako,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
robert andrich,8,14,8,54.2,30,18,15,4,11,2023-2024,bundesliga
waldemar anton,21,16,2,54.8,39,25,33,20,13,2023-2024,bundesliga
christopher antwi-adjei,10,6,5,54.5,21,12,13,2,11,2023-2024,bundesliga
asaf arania,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
maximilian arnold,15,27,9,49.1,51,31,23,4,19,2023-2024,bundesliga
arthur,2,0,2,100.0,4,3,1,1,0,2023-2024,bundesliga
takuma asano,2,9,6,30.4,17,6,17,3,14,2023-2024,bundesliga
jonathan asp jensen,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
noah atubolu,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
matthias bader,32,11,8,50.8,51,25,22,4,18,2023-2024,bundesliga
ridle baku,24,7,6,45.7,37,20,27,1,26,2023-2024,bundesliga
samuel bamba,1,0,0,50.0,1,1,0,0,0,2023-2024,bundesliga
aymen barkok,2,6,1,50.0,9,5,7,0,7,2023-2024,bundesliga
leandro barreiro martins,19,37,9,60.0,65,40,45,16,29,2023-2024,bundesliga
daniel batz,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
maximilian bauer,13,4,2,52.9,19,12,14,8,6,2023-2024,bundesliga
elias baum,0,0,1,,1,0,3,2,1,2023-2024,bundesliga
oliver baumann,1,0,0,50.0,1,1,0,0,0,2023-2024,bundesliga
christoph baumgartner,10,12,4,36.8,26,13,20,1,19,2023-2024,bundesliga
ihlas bebou,10,8,4,50.0,22,12,13,2,11,2023-2024,bundesliga
adrian beck,8,12,2,37.5,22,13,17,0,17,2023-2024,bundesliga
sheraldo becker,0,2,1,0.0,3,3,2,0,2,2023-2024,bundesliga
chris bedia,0,2,0,0.0,2,1,3,0,3,2023-2024,bundesliga
donny van de beek,3,3,2,42.9,8,3,5,1,4,2023-2024,bundesliga
kevin behrens,0,1,1,0.0,2,1,9,0,9,2023-2024,bundesliga
kevin behrens,3,7,3,25.0,13,10,7,2,5,2023-2024,bundesliga
maximilian beier,5,11,4,21.1,20,12,21,1,20,2023-2024,bundesliga
stefan bell,7,1,0,50.0,8,8,7,5,2,2023-2024,bundesliga
ramy bensebaini,21,11,2,70.6,34,21,22,7,15,2023-2024,bundesliga
mergim berisha,0,0,0,,0,0,2,1,1,2023-2024,bundesliga
mergim berisha,0,0,0,,0,0,1,0,1,2023-2024,bundesliga
bernardo,56,35,8,65.2,99,58,66,30,36,2023-2024,bundesliga
matúš bero,13,12,7,40.6,32,22,24,3,21,2023-2024,bundesliga
jan-niklas beste,35,24,18,50.9,77,49,48,1,47,2023-2024,bundesliga
pep biel,0,2,2,33.3,4,3,2,1,1,2023-2024,bundesliga
tom bischof,6,1,1,22.2,8,4,3,0,3,2023-2024,bundesliga
leonardo bittencourt,20,17,5,38.5,42,18,18,1,17,2023-2024,bundesliga
hendry blank,1,0,0,100.0,1,0,1,0,1,2023-2024,bundesliga
janis blaswich,1,0,0,,1,1,0,0,0,2023-2024,bundesliga
sacha boey,2,0,0,50.0,2,0,1,0,1,2023-2024,bundesliga
victor boniface,0,1,5,25.0,6,4,6,1,5,2023-2024,bundesliga
leonardo bonucci,2,4,0,100.0,6,5,5,3,2,2023-2024,bundesliga
yvandro borges sanches,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
sebastiaan bornauw,19,7,0,68.4,26,12,21,12,9,2023-2024,bundesliga
rafael borré,2,4,4,31.3,10,7,8,2,6,2023-2024,bundesliga
julian brandt,8,8,1,37.0,17,14,20,3,17,2023-2024,bundesliga
fabian bredlow,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
tim breithaupt,11,9,0,61.9,20,11,15,3,12,2023-2024,bundesliga
maximilian breunig,0,0,0,,0,0,1,0,1,2023-2024,bundesliga
bennit bröger,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
john brooks,17,10,1,50.0,28,15,29,17,12,2023-2024,bundesliga
moritz broschinski,2,5,4,25.0,11,7,11,2,9,2023-2024,bundesliga
alexander brunst,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
marius bülter,9,5,4,52.2,18,11,17,3,14,2023-2024,bundesliga
jonathan burkardt,2,6,4,36.4,12,8,16,3,13,2023-2024,bundesliga
oliver burke,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
marnon busch,6,3,2,58.3,11,9,9,2,7,2023-2024,bundesliga
aurélio buta,19,16,5,55.3,40,25,24,5,19,2023-2024,bundesliga
anthony caci,30,25,1,61.4,56,23,43,7,36,2023-2024,bundesliga
emre can,37,23,3,58.3,63,45,30,7,23,2023-2024,bundesliga
irvin cardona,0,0,1,33.3,1,1,1,0,1,2023-2024,bundesliga
rasmus carstensen,23,20,4,55.4,47,22,38,9,29,2023-2024,bundesliga
