nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
gabriel paulista,13,4,0,68.4,17,9,22,14,8,2022-2023,laliga
alfonso pedraza,20,10,5,65.5,35,26,19,1,18,2022-2023,laliga
pedri,15,17,7,28.9,39,22,27,0,27,2022-2023,laliga
adrià pedrosa,5,0,0,57.1,5,1,1,1,0,2022-2023,laliga
iñaki peña,0,0,0,,0,0,0,0,0,2022-2023,laliga
rubén peña,10,18,4,48.8,32,18,23,8,15,2022-2023,laliga
alberto perea,2,0,0,,2,0,2,0,2,2022-2023,laliga
ayoze pérez,9,16,6,25.0,31,15,22,0,22,2022-2023,laliga
carles pérez,12,17,10,33.3,39,23,29,3,26,2022-2023,laliga
francisco perez,1,0,0,0.0,1,1,0,0,0,2022-2023,laliga
kike pérez,30,32,5,36.8,67,33,26,7,19,2022-2023,laliga
lucas pérez,2,1,0,33.3,3,2,2,0,2,2022-2023,laliga
luis pérez,26,12,6,71.1,44,24,13,4,9,2022-2023,laliga
germán pezzella,32,9,0,68.4,41,28,32,15,17,2022-2023,laliga
ronaël pierre-gabriel,12,4,1,45.5,17,9,5,2,3,2022-2023,laliga
yeremi pino,25,20,17,37.5,62,38,41,4,37,2022-2023,laliga
gerard piqué,1,4,0,100.0,5,4,2,1,1,2022-2023,laliga
óscar plano,9,17,14,32.4,40,25,26,2,24,2022-2023,laliga
gonzalo plata,31,24,11,32.9,66,35,40,0,40,2022-2023,laliga
ezequiel ponce,0,6,3,0.0,9,7,6,1,5,2022-2023,laliga
francisco portillo,4,5,4,18.8,13,6,7,1,6,2022-2023,laliga
portu,14,10,4,42.9,28,21,23,3,20,2022-2023,laliga
josé pozo,0,2,0,,2,2,0,0,0,2022-2023,laliga
manuel pozo,0,0,0,,0,0,2,0,2,2022-2023,laliga
alejandro pozo pozo,17,17,3,50.9,37,19,30,5,25,2022-2023,laliga
abdón prats,1,0,0,,1,0,5,0,5,2022-2023,laliga
javi puado,12,5,3,42.9,20,11,12,2,10,2022-2023,laliga
arnau puigmal,10,7,5,70.6,22,14,7,0,7,2022-2023,laliga
domingos quina,2,1,0,33.3,3,2,5,0,5,2022-2023,laliga
rubén quintanilla,0,0,0,,0,0,1,0,1,2022-2023,laliga
antonio raillo,23,11,0,66.7,34,21,38,29,9,2022-2023,laliga
predrag rajković,0,0,0,0.0,0,0,0,0,0,2022-2023,laliga
ivan rakitić,10,18,9,47.5,37,26,21,1,20,2022-2023,laliga
largie ramazani,6,3,6,29.6,15,9,11,0,11,2022-2023,laliga
chris ramos,2,7,3,36.4,12,9,8,3,5,2022-2023,laliga
raphinha,10,7,12,35.5,29,19,33,1,32,2022-2023,laliga
sergio reguilón,5,2,0,71.4,7,5,3,0,3,2022-2023,laliga
pepe reina,0,0,0,0.0,0,0,0,0,0,2022-2023,laliga
reinier,7,3,2,25.0,12,10,6,0,6,2022-2023,laliga
karim rekik,8,3,0,80.0,11,5,12,5,7,2022-2023,laliga
álex remiro,1,0,0,33.3,1,1,0,0,0,2022-2023,laliga
alejandro revuelta montero,0,0,0,,0,0,0,0,0,2022-2023,laliga
chadi riad,0,0,0,,0,0,0,0,0,2022-2023,laliga
nico ribaudo,5,9,4,36.7,18,13,19,1,18,2022-2023,laliga
