nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
vitaly janelt,14,13,11,58.3,38,22,33,9,24,2024-2025,premier-league
vitezslav jaros,0,0,0,,0,0,0,0,0,2024-2025,premier-league
daniel jebbison,3,2,0,66.7,5,3,2,1,1,2024-2025,premier-league
mathias jensen,6,6,2,50.0,14,10,15,4,11,2024-2025,premier-league
gabriel jesus,4,3,3,44.4,10,6,10,1,9,2024-2025,premier-league
raúl jiménez,9,17,9,36.4,35,24,21,5,16,2024-2025,premier-league
kim jisoo,0,0,0,,0,0,0,0,0,2024-2025,premier-league
joão pedro,6,6,4,36.4,16,12,12,0,12,2024-2025,premier-league
joelinton,23,23,11,56.8,57,35,37,7,30,2024-2025,premier-league
ben johnson,23,12,3,48.8,38,22,22,5,17,2024-2025,premier-league
brennan johnson,9,20,10,47.1,39,26,25,3,22,2024-2025,premier-league
sam johnstone,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
curtis jones,6,23,10,63.0,39,22,22,9,13,2024-2025,premier-league
jorginho,1,7,4,40.0,12,4,3,0,3,2024-2025,premier-league
diogo jota,2,8,4,36.8,14,8,9,0,9,2024-2025,premier-league
james justin,29,23,6,58.2,58,37,48,17,31,2024-2025,premier-league
filip jørgensen,0,0,0,,0,0,0,0,0,2024-2025,premier-league
ferdi kadioglu,4,5,1,40.0,10,6,2,2,0,2024-2025,premier-league
daichi kamada,19,24,4,34.1,47,29,22,5,17,2024-2025,premier-league
boubacar kamara,28,18,4,51.8,50,21,19,7,12,2024-2025,premier-league
joachim kayi sanda,0,0,0,,0,0,0,0,0,2024-2025,premier-league
michael kayode,12,5,0,69.2,17,11,3,0,3,2024-2025,premier-league
michael keane,8,2,2,53.3,12,9,14,10,4,2024-2025,premier-league
caoimhín kelleher,0,0,0,,0,0,0,0,0,2024-2025,premier-league
lloyd kelly,4,1,0,100.0,5,4,6,4,2,2024-2025,premier-league
milos kerkez,25,20,7,63.2,52,26,38,11,27,2024-2025,premier-league
bilal el khannouss,16,29,5,53.1,50,30,22,4,18,2024-2025,premier-league
abdukodir khusanov,4,1,0,66.7,5,4,5,4,1,2024-2025,premier-league
max kilman,16,20,3,85.2,39,24,58,40,18,2024-2025,premier-league
joshua king,3,4,0,0.0,7,5,3,0,3,2024-2025,premier-league
tom king,0,0,0,,0,0,0,0,0,2024-2025,premier-league
antonín kinský,3,0,0,100.0,3,1,0,0,0,2024-2025,premier-league
jakub kiwior,13,7,2,73.3,22,8,13,8,5,2024-2025,premier-league
justin kluivert,4,11,8,18.2,23,11,24,0,24,2024-2025,premier-league
ibrahima konaté,25,13,2,71.4,40,26,29,15,14,2024-2025,premier-league
ezri konsa,20,10,4,80.0,34,18,20,11,9,2024-2025,premier-league
mateo kovačić,23,38,8,47.7,69,38,20,0,20,2024-2025,premier-league
caleb kporha,2,0,0,100.0,2,1,0,0,0,2024-2025,premier-league
emil krafth,2,1,1,66.7,4,2,5,4,1,2024-2025,premier-league
mohammed kudus,9,18,11,37.0,38,23,24,1,23,2024-2025,premier-league
dejan kulusevski,17,13,15,37.3,45,23,34,5,29,2024-2025,premier-league
maxence lacroix,52,15,1,68.1,68,41,48,22,26,2024-2025,premier-league
adam lallana,4,4,0,16.7,8,5,4,1,3,2024-2025,premier-league
tariq lamptey,8,9,0,36.0,17,11,15,7,8,2024-2025,premier-league
will lankshear,0,0,0,,0,0,0,0,0,2024-2025,premier-league
roméo lavia,5,13,4,47.6,22,13,6,0,6,2024-2025,premier-league
mario lemina,27,19,5,69.0,51,31,12,7,5,2024-2025,premier-league
bernd leno,2,0,0,100.0,2,2,1,0,1,2024-2025,premier-league
jefferson lerma,15,16,4,52.8,35,17,38,18,20,2024-2025,premier-league
rico lewis,13,12,5,61.9,30,19,28,7,21,2024-2025,premier-league
keane lewis-potter,26,16,7,62.0,49,27,28,10,18,2024-2025,premier-league
myles lewis-skelly,10,9,3,90.9,22,14,4,1,3,2024-2025,premier-league
matthijs de ligt,17,12,1,71.9,30,22,29,21,8,2024-2025,premier-league
pedro lima,0,0,1,33.3,1,0,0,0,0,2024-2025,premier-league
victor lindelöf,5,1,1,75.0,7,2,6,4,2,2024-2025,premier-league
jesper lindstrøm,24,19,2,34.5,45,25,15,3,12,2024-2025,premier-league
valentino livramento,35,15,4,54.2,54,36,37,11,26,2024-2025,premier-league
sean longstaff,10,9,8,66.7,27,16,17,5,12,2024-2025,premier-league
saša lukić,22,40,6,41.8,68,39,20,7,13,2024-2025,premier-league
joe lumley,0,0,0,,0,0,0,0,0,2024-2025,premier-league
massimo luongo,6,2,1,62.5,9,6,4,2,2,2024-2025,premier-league
ian maatsen,17,9,3,70.8,29,17,13,0,13,2024-2025,premier-league
alexis mac allister,28,51,16,52.9,95,58,61,6,55,2024-2025,premier-league
james maddison,8,16,7,31.0,31,19,15,4,11,2024-2025,premier-league
noni madueke,8,12,5,36.8,25,18,17,0,17,2024-2025,premier-league
gabriel magalhães,12,8,5,75.0,25,15,42,29,13,2024-2025,premier-league
edmond-paris maghoma,0,2,0,33.3,2,1,2,2,0,2024-2025,premier-league
harry maguire,23,6,1,73.9,30,15,15,12,3,2024-2025,premier-league
kobbie mainoo,18,14,14,60.0,46,29,16,2,14,2024-2025,premier-league
tyrell malacia,2,0,0,50.0,2,1,0,0,0,2024-2025,premier-league
donyell malen,3,3,1,25.0,7,4,2,0,2,2024-2025,premier-league
mateus mane,0,0,0,,0,0,1,0,1,2024-2025,premier-league
orel mangala,3,11,2,62.5,16,8,8,3,5,2024-2025,premier-league
ryan manning,16,10,2,53.8,28,17,20,11,9,2024-2025,premier-league
solly march,2,2,2,62.5,6,3,3,0,3,2024-2025,premier-league
omar marmoush,2,9,2,50.0,13,8,15,1,14,2024-2025,premier-league
gabriel martinelli,9,6,8,30.4,23,15,15,0,15,2024-2025,premier-league
emiliano martínez,3,0,0,100.0,3,3,1,0,1,2024-2025,premier-league
lisandro martínez,25,12,3,58.3,40,24,22,8,14,2024-2025,premier-league
pape matar sarr,19,23,7,48.0,49,36,26,10,16,2024-2025,premier-league
jean-philippe mateta,5,11,2,18.8,18,12,19,4,15,2024-2025,premier-league
stephy mavididi,16,10,8,33.3,34,19,26,2,24,2024-2025,premier-league
konstantinos mavropanos,24,10,1,59.3,35,24,25,18,7,2024-2025,premier-league
noussair mazraoui,58,42,15,62.8,115,68,36,9,27,2024-2025,premier-league
bryan mbeumo,18,15,16,60.0,49,31,26,3,23,2024-2025,premier-league
james mcatee,0,4,1,14.3,5,2,8,0,8,2024-2025,premier-league
kasey mcateer,11,9,3,48.3,23,16,18,2,16,2024-2025,premier-league
alex mccarthy,0,0,0,,0,0,0,0,0,2024-2025,premier-league
john mcginn,10,14,9,41.9,33,24,22,2,20,2024-2025,premier-league
dwight mcneil,6,5,2,42.9,13,8,7,0,7,2024-2025,premier-league
scott mctominay,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
ben mee,0,2,0,100.0,2,2,3,3,0,2024-2025,premier-league
jayden meghoma,0,0,0,,0,0,0,0,0,2024-2025,premier-league
mikel merino,7,26,13,55.6,46,28,18,5,13,2024-2025,premier-league
shumaira mheuka,0,0,0,,0,0,0,0,0,2024-2025,premier-league
nikola milenković,36,13,2,79.4,51,29,41,24,17,2024-2025,premier-league
lewis miley,5,7,2,50.0,14,11,5,1,4,2024-2025,premier-league
james milner,1,3,1,100.0,5,2,4,2,2,2024-2025,premier-league
tyrone mings,6,1,0,100.0,7,6,13,11,2,2024-2025,premier-league
yankuba minteh,25,13,10,37.8,48,35,22,0,22,2024-2025,premier-league
tyrick mitchell,57,27,7,54.3,91,55,68,12,56,2024-2025,premier-league
kaoru mitoma,15,14,16,38.8,45,27,48,3,45,2024-2025,premier-league
jakub moder,1,0,0,0.0,1,0,0,0,0,2024-2025,premier-league
jeremy monga,0,1,1,100.0,2,1,3,2,1,2024-2025,premier-league
mikey moore,2,0,0,0.0,2,1,2,0,2,2024-2025,premier-league
morato,18,3,1,61.9,22,14,14,5,9,2024-2025,premier-league
álex moreno,20,5,0,38.5,25,18,11,5,6,2024-2025,premier-league
sam morsy,40,24,4,43.5,68,41,34,13,21,2024-2025,premier-league
yerson mosquera,9,2,0,64.3,11,7,13,10,3,2024-2025,premier-league
mason mount,5,8,2,75.0,15,5,11,1,10,2024-2025,premier-league
divin mubama,0,0,0,,0,0,0,0,0,2024-2025,premier-league
mykhailo mudryk,2,0,0,,2,2,3,1,2,2024-2025,premier-league
marshall munetsi,7,11,6,56.5,24,10,14,1,13,2024-2025,premier-league
rodrigo muniz,3,5,2,100.0,10,5,9,2,7,2024-2025,premier-league
daniel muñoz,57,41,25,56.7,123,80,40,6,34,2024-2025,premier-league
arijanet muric,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
murillo,38,12,3,58.7,53,36,69,45,24,2024-2025,premier-league
jacob murphy,10,12,6,45.5,28,19,31,0,31,2024-2025,premier-league
vitaliy mykolenko,39,14,10,51.8,63,38,25,10,15,2024-2025,premier-league
iliman ndiaye,20,16,17,44.9,53,28,30,5,25,2024-2025,premier-league
wilfred ndidi,45,32,8,49.2,85,51,47,19,28,2024-2025,premier-league
kosta nedeljković,1,3,3,66.7,7,5,1,0,1,2024-2025,premier-league
reiss nelson,0,1,0,0.0,1,0,0,0,0,2024-2025,premier-league
reiss nelson,3,3,2,38.5,8,6,11,0,11,2024-2025,premier-league
neto,0,0,0,,0,0,0,0,0,2024-2025,premier-league
pedro neto,9,9,5,42.9,23,9,14,2,12,2024-2025,premier-league
eddie nketiah,7,4,4,53.8,15,8,10,1,9,2024-2025,premier-league
christopher nkunku,3,4,5,75.0,12,8,9,2,7,2024-2025,premier-league
gustavo nunes,2,0,1,100.0,3,2,0,0,0,2024-2025,premier-league
matheus nunes,15,14,6,42.1,35,22,17,4,13,2024-2025,premier-league
darwin núñez,11,4,6,38.9,21,18,6,0,6,2024-2025,premier-league
ethan nwaneri,4,4,3,33.3,11,7,8,2,6,2024-2025,premier-league
christian nørgaard,37,35,7,59.3,79,49,52,20,32,2024-2025,premier-league
jake o'brien,21,5,0,68.0,26,17,17,4,13,2024-2025,premier-league
matt o'riley,4,8,4,30.8,16,9,7,3,4,2024-2025,premier-league
dara o'shea,33,13,3,64.7,49,31,62,50,12,2024-2025,premier-league
chidozie obi-martin,0,0,2,100.0,2,1,0,0,0,2024-2025,premier-league
wilson odobert,5,4,5,57.1,14,5,6,0,6,2024-2025,premier-league
chiedozie ogbene,1,2,4,50.0,7,3,1,0,1,2024-2025,premier-league
caleb okoli,8,15,2,61.1,25,14,24,14,10,2024-2025,premier-league
robin olsen,1,0,0,100.0,1,0,0,0,0,2024-2025,premier-league
amadou onana,23,26,6,55.2,55,30,16,7,9,2024-2025,premier-league
andré onana,2,0,0,50.0,2,2,0,0,0,2024-2025,premier-league
paul onuachu,1,5,1,42.9,7,2,7,2,5,2024-2025,premier-league
frank onyeka,0,0,0,,0,0,0,0,0,2024-2025,premier-league
lewis orford,0,0,0,,0,0,1,0,1,2024-2025,premier-league
stefan ortega,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
william osula,1,0,1,0.0,2,0,0,0,0,2024-2025,premier-league
dango ouattara,14,11,10,41.5,35,26,36,10,26,2024-2025,premier-league
nico o’reilly,3,3,3,50.0,9,4,5,1,4,2024-2025,premier-league
alex palmer,0,0,0,,0,0,0,0,0,2024-2025,premier-league
cole palmer,12,10,12,44.4,34,20,16,1,15,2024-2025,premier-league
emerson palmieri,37,18,5,56.3,60,31,32,8,24,2024-2025,premier-league
lucas paquetá,25,30,11,49.1,66,37,29,4,25,2024-2025,premier-league
thomas partey,26,39,24,60.5,89,53,29,9,20,2024-2025,premier-league
nathan patterson,7,4,0,50.0,11,6,2,0,2,2024-2025,premier-league
andreas pereira,8,11,5,23.8,24,13,17,2,15,2024-2025,premier-league
ricardo pereira,4,6,3,50.0,13,8,8,3,5,2024-2025,premier-league
kalvin phillips,8,20,7,38.5,35,19,35,6,29,2024-2025,premier-league
jaden philogene bidace,4,7,0,66.7,11,5,5,0,5,2024-2025,premier-league
jaden philogene bidace,6,6,2,53.3,14,7,11,1,10,2024-2025,premier-league
jordan pickford,1,0,0,50.0,1,0,0,0,0,2024-2025,premier-league
ethan pinnock,15,16,4,54.2,35,19,29,18,11,2024-2025,premier-league
daniel podence,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
alfie pond,0,0,0,,0,0,0,0,0,2024-2025,premier-league
nick pope,0,0,0,,0,0,1,0,1,2024-2025,premier-league
pedro porro,34,22,10,57.1,66,49,44,17,27,2024-2025,premier-league
jarell quansah,8,4,0,70.0,12,8,10,7,3,2024-2025,premier-league
hákon rafn valdimarsson,0,0,0,,0,0,0,0,0,2024-2025,premier-league
aaron ramsdale,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
jacob ramsey,14,10,6,50.0,30,15,23,4,19,2024-2025,premier-league
marcus rashford,2,2,3,33.3,7,4,8,0,8,2024-2025,premier-league
marcus rashford,2,3,5,66.7,10,7,2,0,2,2024-2025,premier-league
david raya,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
harrison reed,3,2,1,33.3,6,3,1,0,1,2024-2025,premier-league
remy rees-dottin,0,0,0,,0,0,0,0,0,2024-2025,premier-league
sergio reguilón,1,3,0,40.0,4,3,7,0,7,2024-2025,premier-league
vitor reis,0,0,0,,0,0,0,0,0,2024-2025,premier-league
chadi riad,2,2,1,66.7,5,2,0,0,0,2024-2025,premier-league
declan rice,22,25,6,41.5,53,25,27,13,14,2024-2025,premier-league
chris richards,24,17,6,58.5,47,30,40,14,26,2024-2025,premier-league
richarlison,0,4,1,0.0,5,3,1,1,0,2024-2025,premier-league
andrew robertson,25,10,4,60.8,39,22,10,4,6,2024-2025,premier-league
antonee robinson,57,31,7,47.4,95,61,43,9,34,2024-2025,premier-league
jay robinson,3,0,1,100.0,4,1,0,0,0,2024-2025,premier-league
rodri,1,1,0,,2,1,1,0,1,2024-2025,premier-league
guido rodríguez,21,15,0,51.5,36,19,23,9,14,2024-2025,premier-league
mads roerslev,14,3,1,39.3,18,8,12,5,7,2024-2025,premier-league
morgan rogers,15,15,13,51.1,43,22,26,7,19,2024-2025,premier-league
cristian romero,26,8,1,70.0,35,29,18,3,15,2024-2025,premier-league
georginio rutter,13,18,8,38.9,39,15,20,3,17,2024-2025,premier-league
josé sá,2,0,0,100.0,2,2,0,0,0,2024-2025,premier-league
bukayo saka,9,11,9,54.2,29,15,22,0,22,2024-2025,premier-league
mohamed salah,7,5,9,47.1,21,11,12,0,12,2024-2025,premier-league
william saliba,37,23,2,75.0,62,37,25,15,10,2024-2025,premier-league
robert sánchez,0,0,0,0.0,0,0,0,0,0,2024-2025,premier-league
jadon sancho,3,3,7,41.7,13,7,11,0,11,2024-2025,premier-league
ibrahim sangaré,8,17,3,47.1,28,14,10,4,6,2024-2025,premier-league
pablo sarabia,4,8,4,62.5,16,8,10,0,10,2024-2025,premier-league
jeremy sarmiento,0,0,0,,0,0,0,0,0,2024-2025,premier-league
ismaila sarr,10,9,3,32.0,22,10,27,8,19,2024-2025,premier-league
sávio,5,10,8,52.6,23,17,14,2,12,2024-2025,premier-league
oliver scarles,17,3,1,63.6,21,11,14,2,12,2024-2025,premier-league
dane scarlett,0,1,0,,1,0,0,0,0,2024-2025,premier-league
kevin schade,17,10,12,56.5,39,25,19,4,15,2024-2025,premier-league
fabian schär,16,18,2,40.0,36,21,38,25,13,2024-2025,premier-league
jeffrey schlupp,1,0,1,0.0,2,0,6,0,6,2024-2025,premier-league
alex scott,11,8,8,45.2,27,14,17,4,13,2024-2025,premier-league
matz sels,1,0,0,100.0,1,1,0,0,0,2024-2025,premier-league
nélson semedo,32,21,9,59.6,62,36,32,10,22,2024-2025,premier-league
antoine semenyo,17,25,13,37.2,55,35,67,9,58,2024-2025,premier-league
marcos senesi,23,14,2,45.2,39,21,16,7,9,2024-2025,premier-league
ryan sessegnon,11,11,5,45.0,27,13,13,1,12,2024-2025,premier-league
luke shaw,2,2,0,100.0,4,3,6,1,5,2024-2025,premier-league
zain silcott-duberry,0,0,1,100.0,1,1,0,0,0,2024-2025,premier-league
bernardo silva,17,30,9,44.6,56,37,36,7,29,2024-2025,premier-league
jota silva,12,13,2,22.2,27,14,9,1,8,2024-2025,premier-league
eric da silva moreira,2,0,0,33.3,2,2,0,0,0,2024-2025,premier-league
jahmai simpson-pusey,1,0,0,0.0,1,0,1,1,0,2024-2025,premier-league
luis sinisterra,3,2,2,0.0,7,2,3,0,3,2024-2025,premier-league
oliver skipp,6,12,3,60.0,21,4,23,7,16,2024-2025,premier-league
