nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
ko itakura,17,15,2,61.5,34,21,32,18,14,2023-2024,bundesliga
hiroki ito,13,6,0,42.3,19,18,29,17,12,2023-2024,bundesliga
lee jae-sung,11,16,6,33.3,33,20,22,2,20,2023-2024,bundesliga
paul jaeckel,4,3,0,55.6,7,2,3,2,1,2023-2024,bundesliga
kristijan jakić,14,10,4,45.5,28,14,13,1,12,2023-2024,bundesliga
kristijan jakić,1,2,0,33.3,3,3,1,0,1,2023-2024,bundesliga
tony jantschke,1,0,0,100.0,1,1,2,2,0,2023-2024,bundesliga
nuha jatta,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
fredrik jensen,9,8,6,50.0,23,11,30,1,29,2023-2024,bundesliga
moritz jenz,21,11,2,66.7,34,24,29,17,12,2023-2024,bundesliga
anthony jung,21,14,2,54.5,37,23,39,17,22,2023-2024,bundesliga
josip juranović,11,7,2,47.6,20,14,17,3,14,2023-2024,bundesliga
david jurásek,13,1,0,41.2,14,11,7,2,5,2023-2024,bundesliga
julian justvan,1,0,0,50.0,1,0,1,0,1,2023-2024,bundesliga
julian justvan,2,7,1,17.6,10,4,12,2,10,2023-2024,bundesliga
ozan kabak,32,14,2,57.6,48,35,43,21,22,2023-2024,bundesliga
pavel kadeřábek,10,15,6,45.0,31,19,22,8,14,2023-2024,bundesliga
florian kainz,8,13,7,43.6,28,20,20,6,14,2023-2024,bundesliga
sasa kalajdzic,0,2,0,,2,2,2,2,0,2023-2024,bundesliga
jakub kamiński,12,2,0,50.0,14,5,3,0,3,2023-2024,bundesliga
kevin kampl,8,9,2,47.6,19,8,19,7,12,2023-2024,bundesliga
harry kane,4,4,5,33.3,13,9,12,4,8,2023-2024,bundesliga
atakan karazor,23,38,11,48.3,72,44,37,8,29,2023-2024,bundesliga
emir karic,23,14,8,63.6,45,27,42,11,31,2023-2024,bundesliga
silas katompa,3,2,0,25.0,5,3,9,0,9,2023-2024,bundesliga
mikkel kaufmann,2,3,1,30.0,6,3,12,0,12,2023-2024,bundesliga
naby keïta,1,0,0,0.0,1,1,2,0,2,2023-2024,bundesliga
yannik keitel,14,5,1,66.7,20,15,17,8,9,2023-2024,bundesliga
thomas keller,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
aljoscha kemlein,0,0,0,0.0,0,0,1,0,1,2023-2024,bundesliga
tobias kempe,9,8,3,33.3,20,13,16,4,12,2023-2024,bundesliga
rani khedira,15,19,1,65.4,35,22,12,5,7,2023-2024,bundesliga
luca kilian,15,1,0,64.3,16,9,12,5,7,2023-2024,bundesliga
joshua kimmich,25,15,5,66.7,45,33,32,4,28,2023-2024,bundesliga
christoph klarer,30,4,3,66.7,37,22,31,20,11,2023-2024,bundesliga
tim kleindienst,6,11,4,28.0,21,12,32,8,24,2023-2024,bundesliga
lukas klostermann,7,7,1,30.8,15,10,25,12,13,2023-2024,bundesliga
ansgar knauff,17,16,10,54.8,43,26,40,3,37,2023-2024,bundesliga
robin knoche,27,7,0,63.3,34,22,27,19,8,2023-2024,bundesliga
gregor kobel,0,0,0,0.0,0,0,0,0,0,2023-2024,bundesliga
robin koch,26,12,0,63.0,38,23,33,24,9,2023-2024,bundesliga
dominik kohr,36,25,4,63.2,65,42,27,6,21,2023-2024,bundesliga
randal kolo muani,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
mert kömür,3,0,0,60.0,3,3,0,0,0,2023-2024,bundesliga
manu koné,20,20,5,68.0,45,26,22,1,21,2023-2024,bundesliga
