nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
james abankwah,4,0,0,66.7,4,2,2,1,1,2024-2025,serie-a
saud abdulhamid,2,0,1,100.0,3,2,2,0,2,2024-2025,serie-a
oliver abildgaard,0,0,0,,0,0,1,0,1,2024-2025,serie-a
tammy abraham,0,0,0,0.0,0,0,0,0,0,2024-2025,serie-a
tammy abraham,2,10,5,75.0,17,11,13,0,13,2024-2025,serie-a
federico accornero,0,0,0,,0,0,0,0,0,2024-2025,serie-a
francesco acerbi,16,7,0,64.7,23,19,22,16,6,2024-2025,serie-a
che adams,2,4,6,14.3,12,6,13,6,7,2024-2025,serie-a
yacine adli,11,16,5,43.6,32,19,13,1,12,2024-2025,serie-a
vasilije adžić,0,1,1,0.0,2,2,0,0,0,2024-2025,serie-a
michel aebischer,8,7,3,71.4,18,13,4,1,3,2024-2025,serie-a
honest ahanor,2,3,2,70.0,7,5,4,0,4,2024-2025,serie-a
junior ajayi,0,0,0,,0,0,0,0,0,2024-2025,serie-a
jean-daniel akpa-akpro,15,14,1,42.9,30,18,19,6,13,2024-2025,serie-a
david akpan ankeye,0,0,0,0.0,0,0,0,0,0,2024-2025,serie-a
faride alidou,0,0,0,,0,0,1,0,1,2024-2025,serie-a
dele alli,0,0,0,,0,0,0,0,0,2024-2025,serie-a
pontus almqvist,7,7,3,47.1,17,13,13,0,13,2024-2025,serie-a
giorgio altare,8,3,2,53.3,13,12,21,11,10,2024-2025,serie-a
sofyan amrabat,1,2,0,100.0,3,2,1,1,0,2024-2025,serie-a
angeliño,20,24,2,50.0,46,24,33,9,24,2024-2025,serie-a
lorenzo anghelè,0,0,0,,0,0,0,0,0,2024-2025,serie-a
faustino anjorin,9,14,6,50.0,29,13,18,3,15,2024-2025,serie-a
marko arnautović,1,3,3,60.0,7,5,3,0,3,2024-2025,serie-a
kristjan asllani,8,4,2,36.4,14,3,8,1,7,2024-2025,serie-a
