nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
marko arnautović,Bologna,2,5,2,16.7,9,6,2,11,1,10,10,0,2022-2023,serie-a
tolgay arslan,Udinese,13,15,1,35.9,29,18,12,19,0,19,9,1,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
santiago ascacíbar,Cremonese,17,10,2,40.0,29,14,13,14,2,12,11,0,2022-2023,serie-a
kristoffer askildsen,Lecce,2,3,2,40.0,7,3,11,15,4,11,6,0,2022-2023,serie-a
kristjan asllani,Inter,1,8,2,70.0,11,5,6,3,1,2,4,0,2022-2023,serie-a
emil audero,Sampdoria,0,0,0,0.0,0,0,0,0,0,0,7,1,2022-2023,serie-a
tommaso augello,Sampdoria,13,2,2,45.0,17,14,17,23,7,16,61,1,2022-2023,serie-a
carlos augusto,Monza,42,23,8,61.1,73,38,24,24,6,18,85,1,2022-2023,serie-a
kaan ayhan,Sassuolo,6,4,0,100.0,10,4,5,5,4,1,26,1,2022-2023,serie-a
jaime báez,Cremonese,3,0,1,50.0,4,2,0,0,0,0,2,1,2022-2023,serie-a
nedim bajrami,Empoli,3,3,2,66.7,8,4,7,5,0,5,4,0,2022-2023,serie-a
nedim bajrami,Sassuolo,6,2,4,45.5,12,7,7,9,1,8,6,0,2022-2023,serie-a
tiemoué bakayoko,Milan,4,1,0,100.0,5,5,0,0,0,0,0,1,2022-2023,serie-a
tommaso baldanzi,Empoli,9,13,3,21.9,25,12,2,21,1,20,5,0,2022-2023,serie-a
fodé ballo-touré,Milan,7,6,1,70.0,14,9,2,11,3,8,3,0,2022-2023,serie-a
lameck banda,Lecce,13,14,3,36.6,30,20,8,24,2,22,5,0,2022-2023,serie-a
filippo bandinelli,Empoli,19,26,10,37.8,55,34,18,20,7,13,40,0,2022-2023,serie-a
antonín barák,Hellas Verona,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
antonín barák,Fiorentina,5,7,9,37.5,21,9,3,16,2,14,13,0,2022-2023,serie-a
andrea barberis,Monza,4,3,0,45.5,7,2,8,0,0,0,1,0,2022-2023,serie-a
tommaso barbieri,Juventus,3,0,0,37.5,3,3,0,3,0,3,2,0,2022-2023,serie-a
francesco bardi,Bologna,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
nicolò barella,Inter,17,26,6,52.8,49,25,12,29,5,24,12,0,2022-2023,serie-a
enzo barrenechea,Juventus,3,4,1,60.0,8,3,2,3,0,3,3,0,2022-2023,serie-a
musa barrow,Bologna,10,6,5,57.1,21,4,1,25,1,24,7,0,2022-2023,serie-a
federico baschirotto,Lecce,35,5,0,61.1,40,30,36,45,29,16,192,0,2022-2023,serie-a
toma bašić,Lazio,4,1,1,37.5,6,4,7,9,0,9,8,0,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
alberto basso,Cremonese,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,serie-a
alessandro bastoni,Inter,20,14,7,40.7,41,20,24,27,13,14,45,0,2022-2023,serie-a
