"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","temporada","liga"
"Serie A","Italy",2022,"SSC Napoli","1","Alex Meret","Goalkeeper",1997-03-22,26,"Italy","SSC Napoli","1.9","left","2019-07-01","Udinese Calcio",NA,1.8e+07,"https://www.transfermarkt.com/alex-meret/profil/spieler/240414","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","95","Pierluigi Gollini","Goalkeeper",1995-03-18,28,"Italy","AS Roma","1.94","right","2023-01-25","Atalanta BC",NA,4500000,"https://www.transfermarkt.com/pierluigi-gollini/profil/spieler/244192","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","-","Salvatore Sirigu","Goalkeeper",1987-01-12,36,"Italy","Without Club","1.92","right","2022-08-11","Genoa CFC",NA,5e+05,"https://www.transfermarkt.com/salvatore-sirigu/profil/spieler/25508","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","16","Hubert Idasiak","Goalkeeper",2002-02-03,21,"Poland","LKS Lodz","1.88","right","2022-07-01","Napoli Primavera",NA,150000,"https://www.transfermarkt.com/hubert-idasiak/profil/spieler/555557","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","-","Valerio Boffelli","Goalkeeper",2004-09-04,18,"Italy","Cavese 1919","1.82","right",NA,NA,NA,75000,"https://www.transfermarkt.com/valerio-boffelli/profil/spieler/809986","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","12","Davide Marfella","Goalkeeper",1999-09-15,23,"Italy","Without Club","1.82","right","2021-08-19","SSC Bari",NA,50000,"https://www.transfermarkt.com/davide-marfella/profil/spieler/417414","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","3","Min-jae Kim","Centre-Back",1996-11-15,26,"Korea, South","Bayern Munich","1.9","right","2022-07-27","Fenerbahce",NA,6e+07,"https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","13","Amir Rrahmani","Centre-Back",1994-02-24,29,"Kosovo","SSC Napoli","1.92","right","2020-01-20","Hellas Verona",NA,2.5e+07,"https://www.transfermarkt.com/amir-rrahmani/profil/spieler/257732","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","55","Leo Østigård","Centre-Back",1999-11-28,23,"Norway","Stade Rennais FC","1.83","right","2022-07-18","Brighton & Hove Albion",NA,7e+06,"https://www.transfermarkt.com/leo-ostigard/profil/spieler/367284","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","5","Juan Jesus","Centre-Back",1991-06-10,32,"Brazil","SSC Napoli","1.85","left","2021-08-18","AS Roma",NA,3500000,"https://www.transfermarkt.com/juan-jesus/profil/spieler/121985","2022-2023","Serie A"
"Serie A","Italy",2022,"SSC Napoli","17","Mathías Olivera","Left-Back",1997-10-31,25,"Uruguay","SSC Napoli","1.85","left","2022-07-01","Getafe CF",NA,1.8e+07,"https://www.transfermarkt.com/mathias-olivera/profil/spieler/376514","2022-2023","Serie A"
