"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","temporada","liga"
"Bundesliga","Germany",2024,"Bayern Munich","40","Jonas Urbig","Goalkeeper",2003-08-08,21,"Germany","Bayern Munich","1.89","both","2025-01-27","1.FC Köln",NA,1.2e+07,"https://www.transfermarkt.com/jonas-urbig/profil/spieler/607720","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","1","Manuel Neuer","Goalkeeper",1986-03-27,39,"Germany","Bayern Munich","1.93","right","2011-07-01","FC Schalke 04",NA,4e+06,"https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","18","Daniel Peretz","Goalkeeper",2000-07-10,24,"Israel","Hamburger SV","1.9","right","2023-08-25","Maccabi Tel Aviv",NA,3e+06,"https://www.transfermarkt.com/daniel-peretz/profil/spieler/468539","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","-","Max Schmitt","Goalkeeper",2006-01-18,19,"Germany","SSV Ulm 1846","1.89","right",NA,NA,NA,7e+05,"https://www.transfermarkt.com/max-schmitt/profil/spieler/937713","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","26","Sven Ulreich","Goalkeeper",1988-08-03,36,"Germany","Without Club","1.92","right","2021-07-01","Hamburger SV",NA,5e+05,"https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","-","Anthony Pavlesic","Goalkeeper",2006-01-31,19,"Croatia","FC Bayern Munich II","1.9","right",NA,NA,NA,150000,"https://www.transfermarkt.com/anthony-pavlesic/profil/spieler/1104725","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","-","Leon Klanac","Goalkeeper",2007-03-01,18,"Germany","FC Bayern Munich II","1.85","right",NA,NA,NA,NA,"https://www.transfermarkt.com/leon-klanac/profil/spieler/1009439","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","2","Dayot Upamecano","Centre-Back",1998-10-27,26,"France","Bayern Munich","1.86","right","2021-07-05","RB Leipzig",NA,5e+07,"https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","3","Min-jae Kim","Centre-Back",1996-11-15,28,"Korea, South","Bayern Munich","1.9","right","2023-07-18","SSC Napoli",NA,4e+07,"https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482","2024-2025","Bundesliga"
"Bundesliga","Germany",2024,"Bayern Munich","4","Jonathan Tah","Centre-Back",1996-02-11,29,"Germany","Bayern Munich","1.95","right","2025-06-09","Bayer 04 Leverkusen",NA,3e+07,"https://www.transfermarkt.com/jonathan-tah/profil/spieler/196357","2024-2025","Bundesliga"
