index,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
18,19,Omar Alderete,py PAR,DF,Getafe,27,1996,34,34,2971,33.0,1,0,1,1,0,0,8,0,1.7,1.7,0.9,2.6,25,112,7,0.03,0.00,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,Matches
19,20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,10,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
20,21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,14,13,1090,12.1,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,18,58,43,0.00,0.17,0.17,0.00,0.17,0.06,0.11,0.17,0.06,0.17,Matches
21,22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,26,14,1371,15.2,5,2,7,5,0,0,1,1,4.6,4.6,2.6,7.2,89,22,170,0.33,0.13,0.46,0.33,0.46,0.30,0.17,0.47,0.30,0.47,Matches
22,23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,24,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,34,24,1977,22.0,0,4,4,0,0,0,2,0,1.2,1.2,3.2,4.4,45,142,77,0.00,0.18,0.18,0.00,0.18,0.05,0.14,0.20,0.05,0.20,Matches
24,25,Iker Almena,es ESP,"FW,DF",Girona,20,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Matches
25,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,31,29,2647,29.4,3,0,3,0,3,3,10,2,4.0,1.6,1.3,2.9,64,215,49,0.10,0.00,0.10,0.00,0.00,0.14,0.04,0.18,0.05,0.10,Matches
27,27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,22,19,1630,18.1,0,0,0,0,0,0,6,0,0.3,0.3,0.5,0.8,23,42,69,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04,Matches
