index,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
438,423,Haris Tabakovic,ba BIH,FW,Hoffenheim,30,1994,22,6,821,9.1,3,1,4,3,0,0,0,0,3.3,3.3,1.2,4.6,4,7,45,0.33,0.11,0.44,0.33,0.44,0.37,0.14,0.50,0.37,0.50,Matches
439,424,Jonathan Tah,de GER,DF,Leverkusen,28,1996,33,33,2970,33.0,3,0,3,3,0,0,3,0,1.1,1.1,0.4,1.5,15,169,9,0.09,0.00,0.09,0.09,0.09,0.03,0.01,0.05,0.03,0.05,Matches
440,425,Edmond Tapsoba,bf BFA,DF,Leverkusen,25,1999,29,29,2507,27.9,0,0,0,0,0,0,4,0,1.1,1.1,0.2,1.3,52,164,17,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
441,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
442,426,Mathys Tel,fr FRA,"FW,MF",Bayern Munich,19,2005,8,2,256,2.8,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1.0,6,9,34,0.00,0.35,0.35,0.00,0.35,0.26,0.10,0.36,0.26,0.36,Matches
443,427,Nathan Tella,ng NGA,"MF,FW",Leverkusen,25,1999,27,17,1359,15.1,2,4,6,2,0,0,1,0,3.1,3.1,1.5,4.6,38,22,130,0.13,0.26,0.40,0.13,0.40,0.20,0.10,0.31,0.20,0.31,Matches
444,428,Martin Terrier,fr FRA,"MF,FW",Leverkusen,27,1997,15,7,584,6.5,2,1,3,2,0,0,1,0,2.4,2.4,0.9,3.3,11,14,35,0.31,0.15,0.46,0.31,0.46,0.38,0.14,0.52,0.38,0.52,Matches
445,429,Arthur Theate,be BEL,DF,Eint Frankfurt,24,2000,31,31,2704,30.0,0,0,0,0,0,0,6,1,2.4,2.4,1.0,3.4,50,171,24,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11,Matches
446,430,Norman Theuerkauf,de GER,MF,Heidenheim,37,1987,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
447,431,Denis Thomalla,de GER,MF,Heidenheim,31,1992,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
448,432,Phillip Tietz,de GER,FW,Augsburg,27,1997,34,19,1686,18.7,7,2,9,6,1,1,4,0,6.1,5.3,1.2,6.5,8,29,113,0.37,0.11,0.48,0.32,0.43,0.33,0.07,0.39,0.28,0.35,Matches
449,433,Umut Tohumcu,de GER,"MF,FW",Hoffenheim,19,2004,12,3,375,4.2,0,1,1,0,0,0,3,0,0.1,0.1,0.4,0.5,3,13,5,0.00,0.24,0.24,0.00,0.24,0.03,0.09,0.12,0.03,0.12,Matches
450,434,John Tolkin,us USA,"DF,MF",Holstein Kiel,22,2002,11,9,737,8.2,0,2,2,0,0,0,0,0,0.1,0.1,0.7,0.7,6,17,12,0.00,0.24,0.24,0.00,0.24,0.01,0.08,0.09,0.01,0.09,Matches
451,435,Tiago Tomás,pt POR,"FW,MF",Wolfsburg,22,2002,32,23,1884,20.9,6,1,7,6,0,0,7,0,5.4,5.4,2.6,8.1,31,50,125,0.29,0.05,0.33,0.29,0.33,0.26,0.13,0.38,0.26,0.38,Matches
452,436,Bazoumana Touré,ci CIV,"FW,MF",Hoffenheim,18,2006,13,7,609,6.8,0,3,3,0,0,0,1,0,1.4,1.4,1.9,3.3,24,14,56,0.00,0.44,0.44,0.00,0.44,0.21,0.28,0.49,0.21,0.49,Matches
453,437,Lucas Tousart,fr FRA,MF,Union Berlin,27,1997,15,6,561,6.2,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.8,4,18,13,0.00,0.16,0.16,0.00,0.16,0.06,0.07,0.14,0.06,0.14,Matches
454,438,Omar Traoré,de GER,DF,Heidenheim,26,1998,30,30,2616,29.1,0,1,1,0,0,0,7,0,0.5,0.5,1.6,2.2,103,117,115,0.00,0.03,0.03,0.00,0.03,0.02,0.06,0.07,0.02,0.07,Matches
455,439,Kevin Trapp,de GER,GK,Eint Frankfurt,34,1990,26,26,2295,25.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
456,440,Philipp Treu,de GER,"MF,DF",St. Pauli,23,2000,33,33,2881,32.0,0,2,2,0,0,0,2,0,1.2,1.2,2.5,3.7,58,105,117,0.00,0.06,0.06,0.00,0.06,0.04,0.08,0.12,0.04,0.12,Matches
457,441,Christopher Trimmel,at AUT,"DF,MF",Union Berlin,37,1987,26,20,1740,19.3,0,3,3,0,0,0,5,0,0.2,0.2,2.1,2.3,18,73,45,0.00,0.16,0.16,0.00,0.16,0.01,0.11,0.12,0.01,0.12,Matches
458,442,Tuta,br BRA,"DF,MF",Eint Frankfurt,25,1999,30,26,2274,25.3,2,1,3,2,0,0,8,0,1.1,1.1,0.3,1.4,11,78,12,0.08,0.04,0.12,0.08,0.12,0.04,0.01,0.06,0.04,0.06,Matches
459,443,Lukas Ullrich,de GER,DF,Gladbach,20,2004,26,24,1903,21.1,1,2,3,1,0,0,4,0,0.9,0.9,1.8,2.7,31,39,71,0.05,0.09,0.14,0.05,0.14,0.04,0.09,0.13,0.04,0.13,Matches
460,444,Sven Ulreich,de GER,GK,Bayern Munich,35,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
461,445,Deniz Undav,de GER,"FW,MF",Stuttgart,28,1996,27,20,1726,19.2,9,3,12,9,0,0,4,0,11.7,11.7,3.6,15.2,31,70,141,0.47,0.16,0.63,0.47,0.63,0.61,0.19,0.79,0.61,0.79,Matches
462,446,Dayot Upamecano,fr FRA,DF,Bayern Munich,25,1998,20,20,1759,19.5,2,0,2,2,0,0,6,0,1.2,1.2,0.5,1.7,17,137,4,0.10,0.00,0.10,0.10,0.10,0.06,0.03,0.09,0.06,0.09,Matches
463,447,Jonas Urbig,de GER,GK,Bayern Munich,20,2003,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
464,448,Can Uzun,tr TUR,"MF,FW",Eint Frankfurt,18,2005,20,6,675,7.5,4,1,5,4,0,0,1,0,3.0,3.0,1.1,4.1,11,42,45,0.53,0.13,0.67,0.53,0.67,0.40,0.15,0.55,0.40,0.55,Matches
465,449,Josha Vagnoman,de GER,"DF,MF",Stuttgart,23,2000,26,19,1834,20.4,1,1,2,1,0,0,4,0,1.5,1.5,2.1,3.5,24,47,96,0.05,0.05,0.10,0.05,0.10,0.07,0.10,0.17,0.07,0.17,Matches
466,450,Siebe Van Der Heyden,be BEL,"DF,MF",St. Pauli,26,1998,13,11,872,9.7,1,0,1,1,0,0,4,1,1.7,1.7,0.0,1.8,10,28,26,0.10,0.00,0.10,0.10,0.10,0.18,0.00,0.18,0.18,0.18,Matches
467,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
468,451,Maarten Vandevoordt,be BEL,GK,RB Leipzig,22,2002,6,4,429,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
469,452,Ruben Vargas,ch SUI,"MF,FW",Augsburg,25,1998,8,3,305,3.4,0,0,0,0,0,0,3,0,0.7,0.7,0.7,1.4,9,13,24,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.40,0.20,0.40,Matches
470,453,Nikola Vasilj,ba BIH,GK,St. Pauli,28,1995,33,33,2969,33.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
471,454,Denis Vavro,sk SVK,DF,Wolfsburg,28,1996,29,27,2461,27.3,2,0,2,2,0,0,4,0,1.4,1.4,0.2,1.6,9,96,3,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
472,455,Miloš Veljković,rs SRB,DF,Werder Bremen,28,1995,14,11,1029,11.4,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.7,9,64,2,0.00,0.09,0.09,0.00,0.09,0.05,0.01,0.06,0.05,0.06,Matches
473,456,Nikolas Veratschnig,at AUT,"DF,MF",Mainz 05,21,2003,15,2,364,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,7,7,30,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.13,0.06,0.13,Matches
474,457,Arthur Vermeeren,be BEL,MF,RB Leipzig,19,2005,28,18,1572,17.5,0,2,2,0,0,0,7,0,0.4,0.4,0.9,1.3,14,77,20,0.00,0.11,0.11,0.00,0.11,0.02,0.05,0.07,0.02,0.07,Matches
475,458,Yorbe Vertessen,be BEL,"MF,FW",Union Berlin,23,2001,17,7,718,8.0,1,0,1,1,0,0,2,0,1.3,1.3,1.6,2.9,18,16,42,0.13,0.00,0.13,0.13,0.13,0.16,0.20,0.36,0.16,0.36,Matches
476,459,Gabriel Vidovic,hr CRO,MF,Bayern Munich,20,2003,4,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.41,0.41,0.41,Matches
477,460,Gabriel Vidovic,hr CRO,MF,Mainz 05,20,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,1.17,0.00,1.17,1.17,1.17,Matches
478,461,Kevin Vogt,de GER,DF,Union Berlin,32,1991,18,16,1367,15.2,1,0,1,0,1,1,6,0,0.8,0.0,0.0,0.0,11,70,2,0.07,0.00,0.07,0.00,0.00,0.05,0.00,0.05,0.00,0.00,Matches
479,462,Kevin Volland,de GER,"FW,MF",Union Berlin,32,1992,4,0,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches
480,463,Aster Vranckx,be BEL,MF,Wolfsburg,21,2002,14,6,556,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,20,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
481,464,Robert Wagner,de GER,MF,St. Pauli,21,2003,12,5,407,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,10,9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
482,465,Elye Wahi,fr FRA,"FW,MF",Eint Frankfurt,21,2003,8,1,196,2.2,0,0,0,0,0,0,1,0,1.3,1.3,0.1,1.4,6,5,19,0.00,0.00,0.00,0.00,0.00,0.58,0.04,0.62,0.58,0.62,Matches
483,466,Hauke Wahl,de GER,DF,St. Pauli,30,1994,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,30,142,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches
484,467,Paul Wanner,de GER,"MF,FW",Heidenheim,18,2005,29,20,1771,19.7,3,2,5,2,1,1,2,0,3.7,2.9,1.3,4.1,28,64,65,0.15,0.10,0.25,0.10,0.20,0.19,0.06,0.25,0.15,0.21,Matches
485,468,Kjell-Arik Wätjen,de GER,MF,Dortmund,18,2006,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
486,469,Julian Weigl,de GER,MF,Gladbach,28,1995,33,33,2881,32.0,0,2,2,0,0,0,8,0,0.7,0.7,1.1,1.9,11,122,9,0.00,0.06,0.06,0.00,0.06,0.02,0.03,0.06,0.02,0.06,Matches
487,470,Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25,25,2250,25.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
488,471,Nelson Weiper,de GER,"FW,MF",Mainz 05,19,2005,23,7,704,7.8,3,2,5,3,0,0,2,0,4.1,4.1,1.9,6.0,12,13,62,0.38,0.26,0.64,0.38,0.64,0.52,0.25,0.77,0.52,0.77,Matches
489,472,Mitchell Weiser,de GER,"DF,MF",Werder Bremen,30,1994,32,32,2868,31.9,5,9,14,5,0,0,9,1,5.4,5.4,4.7,10.1,65,125,200,0.16,0.28,0.44,0.16,0.44,0.17,0.15,0.32,0.17,0.32,Matches
490,473,Noah Weißhaupt,de GER,"FW,MF",St. Pauli,22,2001,19,13,1160,12.9,1,0,1,1,0,0,0,0,2.1,2.1,1.8,3.9,42,33,94,0.08,0.00,0.08,0.08,0.08,0.16,0.14,0.30,0.16,0.30,Matches
491,474,Noah Weißhaupt,de GER,FW,Freiburg,22,2001,3,0,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,6,10,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
492,475,Silvan Widmer,ch SUI,DF,Mainz 05,31,1993,27,3,504,5.6,0,1,1,0,0,0,3,0,0.3,0.3,0.4,0.7,3,23,36,0.00,0.18,0.18,0.00,0.18,0.06,0.07,0.13,0.06,0.13,Matches
493,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
494,476,Patrick Wimmer,at AUT,"MF,FW",Wolfsburg,23,2001,29,22,1770,19.7,3,4,7,3,0,0,5,1,3.7,3.7,2.9,6.7,46,91,75,0.15,0.20,0.36,0.15,0.36,0.19,0.15,0.34,0.19,0.34,Matches
495,477,Jonas Wind,dk DEN,"FW,MF",Wolfsburg,25,1999,31,21,1966,21.8,9,3,12,8,1,2,2,0,5.7,4.0,4.2,8.1,17,100,94,0.41,0.14,0.55,0.37,0.50,0.26,0.19,0.45,0.18,0.37,Matches
496,478,Florian Wirtz,de GER,"MF,FW",Leverkusen,21,2003,31,25,2351,26.1,10,12,22,8,2,4,3,0,9.4,6.1,7.0,13.1,131,176,309,0.38,0.46,0.84,0.31,0.77,0.36,0.27,0.63,0.23,0.50,Matches
497,479,Dani de Wit,nl NED,"MF,FW",Bochum,26,1998,28,11,1153,12.8,2,1,3,2,0,0,1,0,2.1,2.1,0.5,2.7,5,33,37,0.16,0.08,0.23,0.16,0.23,0.17,0.04,0.21,0.17,0.21,Matches
498,480,Maximilian Wittek,de GER,DF,Bochum,28,1995,33,32,2706,30.1,0,0,0,0,0,0,8,0,1.4,1.4,4.4,5.7,47,141,83,0.00,0.00,0.00,0.00,0.00,0.04,0.14,0.19,0.04,0.19,Matches
499,481,Marius Wolf,de GER,DF,Augsburg,29,1995,32,28,2144,23.8,1,3,4,1,0,0,2,0,0.7,0.7,3.2,3.9,36,117,95,0.04,0.13,0.17,0.04,0.17,0.03,0.14,0.16,0.03,0.16,Matches
