nombre,club_actual,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
antonio nusa,RasenBallsport Leipzig,1.925663387402892,3.3718086406588554,1.925663387402892,20,8.197483662515879,4.192342787981033,2024-2025,bundesliga
elias saad,St. Pauli,2.7371819969266653,1.1837855270132422,2.7371819969266653,14,4.010569434612989,0.5438273660838604,2024-2025,bundesliga
oladapo afolayan,St. Pauli,3.067957188934088,3.728218238800764,3.067957188934088,22,8.217836495488882,2.534572133794427,2024-2025,bundesliga
léo scienza,FC Heidenheim,2.2589838448911905,4.22474249266088,2.2589838448911905,34,6.065171904861927,1.7292647268623114,2024-2025,bundesliga
haris tabakovic,Hoffenheim,4.058871641755104,1.7171009220182896,4.058871641755104,9,5.23028976470232,0.5999727938324213,2024-2025,bundesliga
nathaniel brown,Eintracht Frankfurt,2.494919445365668,6.540987821295857,2.494919445365668,39,11.759051386266949,6.8294026125222445,2024-2025,bundesliga
pavel kaderábek,Hoffenheim,0.7855275487527251,1.891483798623085,0.7855275487527251,21,5.957333744503558,3.907287089154124,2024-2025,bundesliga
waldemar anton,Borussia Dortmund,1.876587314531207,1.1188903953880072,1.876587314531207,6,10.76238065958023,9.613812036812304,2024-2025,bundesliga
maximilian eggestein,Freiburg,2.7688491884619,1.511209450662136,2.7688491884619,19,11.366839273832738,8.970980004407465,2024-2025,bundesliga
michael gregoritsch,Freiburg,1.9820730350911615,0.2638327647000551,1.9820730350911615,4,3.5150803942233324,1.6075003519654274,2024-2025,bundesliga
granit xhaka,Bayer Leverkusen,0.8061828929930925,4.030918525531888,0.8061828929930925,50,19.094832016155124,16.296785784885287,2024-2025,bundesliga
leonardo bittencourt,Werder Bremen,1.8689279910176992,1.6297570504248142,1.8689279910176992,14,5.892129752784967,3.599821927025914,2024-2025,bundesliga
dominik kohr,Mainz 05,1.8736225431784987,0.5377052072435617,1.8736225431784987,11,6.41423811390996,5.736911449581385,2024-2025,bundesliga
matthias ginter,Freiburg,4.017321763560176,1.2374000921845436,4.017321763560176,9,9.75523894559592,6.826677386648953,2024-2025,bundesliga
jonas hofmann,Bayer Leverkusen,1.092762865126133,0.4121622052043676,1.092762865126133,7,2.569442719221115,1.2131220642477274,2024-2025,bundesliga
eric dier,Bayern Munich,2.0591224059462547,0.1550221797078848,2.0591224059462547,3,13.936744444072248,13.856435477733612,2024-2025,bundesliga
emiliano buendía,Bayer Leverkusen,0.9033828303217888,1.0546951219439509,0.9033828303217888,6,2.058793142437935,0.9003096520900726,2024-2025,bundesliga
finn porath,Holstein Kiel,2.533776681870222,2.039390686899424,2.533776681870222,22,6.645405821502209,2.6454396676272154,2024-2025,bundesliga
christian günter,Freiburg,1.228508367203176,3.1555529991164804,1.228508367203176,28,6.491897919215262,4.686019014101476,2024-2025,bundesliga
dayotchanculle upamecano,Bayern Munich,1.8763803392648697,0.6674704235047102,1.8763803392648697,7,14.85498770698905,14.567031513899565,2024-2025,bundesliga
yussuf poulsen,RasenBallsport Leipzig,2.7897273637354374,1.045419522561133,2.7897273637354374,7,5.272889630869031,1.4640625081956389,2024-2025,bundesliga
lászló bénes,Union Berlin,1.0959070464596152,0.986007533967495,1.0959070464596152,18,1.4692914932966232,0.6869005393236876,2024-2025,bundesliga
gerrit holtmann,Bochum,1.6647159466519952,2.617210149765014,1.6647159466519952,16,5.927908807992935,2.304628198966384,2024-2025,bundesliga
