nombre,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
victor osimhen,26.626029931008816,2.648569446057081,24.34213351458311,33,23.06260520219803,2.083378940820694,2022-2023,serie-a
lautaro martínez,19.81596491392702,6.042775368317962,18.29336491879076,46,25.24886948615313,5.3684976901859045,2022-2023,serie-a
boulaye dia,9.1223160084337,2.565659542568028,8.361017173156142,35,12.28598351869732,2.865780700929463,2022-2023,serie-a
rafael leão,12.850501528009772,8.666536897420883,12.850501528009772,49,25.837798319756985,7.709507210180163,2022-2023,serie-a
olivier giroud,15.180027283728124,5.839565250091255,12.896135553717611,24,18.150510312989358,5.017484482377768,2022-2023,serie-a
ademola lookman,10.577641425654292,5.73071956448257,8.293747257441282,40,16.509120712056756,3.689325923100114,2022-2023,serie-a
m&#039;bala nzola,12.467133812606336,2.651182981207967,10.183236673474312,28,13.539749652147291,2.6491533778607845,2022-2023,serie-a
ciro immobile,14.894521465525033,2.36814247071743,11.08803047798574,26,17.061955170705914,4.235991571098566,2022-2023,serie-a
paulo dybala,9.707531973719597,7.352878376841545,5.901039339601994,53,11.511710653081536,3.696448443457484,2022-2023,serie-a
domenico berardi,11.07066909968853,6.496799468994141,4.980279427021742,45,15.024806343019009,6.569302596151829,2022-2023,serie-a
antonio sanabria,11.509437082335351,3.662014912813902,10.748136101290584,24,17.375103471800685,5.374319806694984,2022-2023,serie-a
khvicha kvaratskhelia,8.062930300831795,8.784897561185062,6.5403321124613285,54,20.764383366331455,8.34783404506743,2022-2023,serie-a
riccardo orsolini,10.20327328890562,3.219342499040067,7.91937767714262,44,11.650514734908938,3.26077987998724,2022-2023,serie-a
romelu lukaku,9.806708738207815,4.254219243302941,8.284114763140678,32,15.382605358958244,4.906544785946608,2022-2023,serie-a
marko arnautovic,8.071489023044705,2.5909547666087747,5.787593238987029,22,10.896913611330092,3.1932739103212957,2022-2023,serie-a
mattia zaccagni,8.35121201723814,5.777158467099071,7.589912839233875,36,19.419666165485975,7.7913031075149775,2022-2023,serie-a
dusan vlahovic,10.7628720626235,3.777619262225926,8.478968940675259,21,10.126459673047066,2.499461960978806,2022-2023,serie-a
teun koopmeiners,8.450882591307163,6.544764361344278,5.405682601034641,57,14.013550275936725,6.516538642346859,2022-2023,serie-a
beto,10.855348506942391,2.8929035430774093,10.0940504912287,23,13.431891795247791,1.8604375552386043,2022-2023,serie-a
felipe anderson,6.816264293156564,4.966810274869204,6.816264293156564,47,19.7677051872015,9.3158711604774,2022-2023,serie-a
edin dzeko,10.615746980533004,3.140127930790186,10.615746980533004,23,14.459573529660702,2.8057876229286194,2022-2023,serie-a
sergej milinkovic-savic,7.642115520313382,7.669951910153031,7.642115520313382,42,18.009869592264295,9.168152891099451,2022-2023,serie-a
rasmus højlund,10.287494648247955,1.900617500767112,10.287494648247955,24,13.84284788928926,2.6389122121036053,2022-2023,serie-a
tammy abraham,12.646193861961365,4.972163491882384,12.646193861961365,33,14.22906332835555,1.6856992188841105,2022-2023,serie-a
daniel ciofani,6.3114085383713245,0.6939694732427597,3.26621325686574,10,3.270833982154727,0.8133191857486963,2022-2023,serie-a
adrien rabiot,7.234948273748159,2.161040493287146,7.234948273748159,31,10.3733021132648,6.57682091742754,2022-2023,serie-a
gabriel strefezza,6.200784156098962,4.351724906824529,3.9168875012546778,49,10.515463771298528,3.9286852329969406,2022-2023,serie-a
arthur cabral,7.451762327924371,0.6834547482430935,5.929164515808225,14,7.932477874681354,2.603195808827877,2022-2023,serie-a
stephan el shaarawy,5.4267995450645685,1.4734784085303545,5.4267995450645685,28,10.21113669872284,5.769225145690143,2022-2023,serie-a
manolo gabbiadini,6.77249563112855,4.582458201795816,6.77249563112855,27,11.017689177766442,2.68714477494359,2022-2023,serie-a
antonio candreva,3.934708485379815,4.215999730862677,3.934708485379815,58,10.367786642163992,5.832567253150046,2022-2023,serie-a
arkadiusz milik,7.238381337374449,2.151501553598792,6.477082502096891,17,7.983711875975132,2.689224686473608,2022-2023,serie-a
davide frattesi,7.41614169627428,1.8945508040487768,7.41614169627428,29,12.5463175624609,4.618593320250511,2022-2023,serie-a
armand lauriente,4.168140156194568,5.566640891134739,3.4068411719053984,61,11.235810805112123,4.972771760076284,2022-2023,serie-a
david okereke,5.145014280453324,1.0039336625486612,4.383715664967895,21,7.210744492709637,2.490612177178264,2022-2023,serie-a
lewis ferguson,4.275031054392457,0.8662050403654575,4.275031054392457,17,7.4421565849334,4.644125227816403,2022-2023,serie-a
luis alberto,4.823557456955314,6.157469410449266,3.3009556103497744,66,16.062379522249103,10.72712817043066,2022-2023,serie-a
moise kean,7.225995548069477,1.26984928175807,7.225995548069477,8,8.10914070904255,0.7151638697832823,2022-2023,serie-a
nicolò barella,2.842068800702691,4.794698579236865,2.842068800702691,56,19.134255908429623,13.142524007707834,2022-2023,serie-a
stefan posch,3.613351857289672,1.844201592728496,3.613351857289672,23,7.942548343911767,5.251040143892169,2022-2023,serie-a
luka jovic,8.5522336717695,1.9561818754300475,7.790934542194009,23,7.856145803816616,1.1509785745292902,2022-2023,serie-a
brahim diaz,7.092134211212397,6.145714866928756,7.092134211212397,41,20.576036393642426,8.90387449413538,2022-2023,serie-a
francesco caputo,10.01583743840456,3.3661519289016724,8.49323957413435,28,10.890727439895272,3.452291378751397,2022-2023,serie-a
nicolás gonzález,7.058677390217781,1.6205474324524405,5.536081410944462,20,9.070842418819666,3.887412182986736,2022-2023,serie-a
nicolò cambiaghi,3.473333427682519,0.925581406801939,3.473333427682519,14,7.218042183667421,3.2655900018289685,2022-2023,serie-a
eljif elmas,3.9718787744641295,2.542299951892346,3.210579790174961,27,9.261734258383512,4.413638584315777,2022-2023,serie-a
carlos augusto,4.301485530100763,3.992013055831194,4.301485530100763,25,15.283206144347789,10.429481476545334,2022-2023,serie-a
patrick ciurria,4.573930906131864,5.45413625985384,4.573930906131864,36,15.049956364557149,9.158613251522183,2022-2023,serie-a
assan ceesay,5.534616737626493,0.7234046012163162,4.773317902348936,8,6.192364240065217,1.173143593594432,2022-2023,serie-a
cyriel dessers,6.505328755825758,2.111249329522252,5.744029771536589,23,7.769972678273916,1.177916144952178,2022-2023,serie-a
giacomo bonaventura,4.329681234434247,3.3441189378499985,4.329681234434247,34,8.122741304337978,3.141593115404248,2022-2023,serie-a
mario pasalic,5.7575409188866615,2.134295135736465,5.7575409188866615,16,10.421540008857846,4.981488577090204,2022-2023,serie-a
gianluca caprari,4.922926725819707,2.0288445204496384,4.161626698449254,30,14.902799094095826,9.932715085335076,2022-2023,serie-a
simone verdi,2.7258943542838097,2.139064395800233,1.9645955339074133,20,3.984639930538833,1.2706529526039958,2022-2023,serie-a
roberto pereyra,5.2156464494764805,5.528812682256103,4.454347640275955,48,16.398319467902184,9.13957973755896,2022-2023,serie-a
andrea pinamonti,6.853078670799732,1.8465160559862848,6.09177964925766,17,10.495561668649316,3.510547287762165,2022-2023,serie-a
nikola vlasic,5.871993156149983,4.171200027689338,5.871993156149983,63,15.104950850829482,7.149665737524629,2022-2023,serie-a
matteo pessina,4.65973300114274,2.254064967855811,2.375836374238133,22,13.934903036803007,10.935007290914657,2022-2023,serie-a
lazar samardzic,2.082535940222442,3.911521703004837,2.082535940222442,49,8.17041178792715,6.202445788308978,2022-2023,serie-a
