nombre,club_actual,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
harry kane,Bayern Munich,33.116344682872295,6.784328814595938,29.327461294829845,31,38.139976032078266,8.29485059529543,2023-2024,bundesliga
serhou guirassy,VfB Stuttgart,23.512099631130692,7.668689090758562,20.48099290579557,53,32.28878764808178,7.664522420614958,2023-2024,bundesliga
loïs openda,RasenBallsport Leipzig,24.74329467304051,6.524221880361438,22.469964699819684,36,29.7026682253927,4.370127652771771,2023-2024,bundesliga
deniz undav,VfB Stuttgart,17.09328974597156,7.17163859680295,16.335513127967715,39,26.269780419766903,6.985997205600143,2023-2024,bundesliga
maximilian beier,Hoffenheim,12.45765060186386,2.661381559446454,12.45765060186386,24,15.76284497603774,2.5732957124710083,2023-2024,bundesliga
andrej kramaric,Hoffenheim,12.076880916953089,9.023594247177243,8.287997469305992,77,18.804145156405863,8.480153063312173,2023-2024,bundesliga
ermedin demirovic,Augsburg,14.406423318199812,4.684111354872584,11.37531662452966,33,17.19372038450092,4.087510204873979,2023-2024,bundesliga
victor boniface,Bayer Leverkusen,16.99027242511511,4.492216352373362,13.959327064454556,22,21.300463762134317,4.196672234684229,2023-2024,bundesliga
benjamin sesko,RasenBallsport Leipzig,8.596239453181624,0.9170200936496258,8.596239453181624,12,11.759752489626408,4.802732428535819,2023-2024,bundesliga
donyell malen,Borussia Dortmund,9.379874732345344,3.628069125115872,9.379874732345344,22,15.993896249681711,6.437888169661164,2023-2024,bundesliga
marvin ducksch,Werder Bremen,12.536896999925377,8.121447345241904,7.9902367405593395,58,17.139057140797377,7.284846526570618,2023-2024,bundesliga
niclas füllkrug,"Borussia Dortmund,Werder Bremen",14.847305115312338,4.508429236710072,12.574136432260277,36,15.35699363052845,3.505920523777604,2023-2024,bundesliga
tim kleindienst,FC Heidenheim,16.78191621415317,2.5056460234336555,15.2663627397269,27,15.012215526308864,3.2841085717082024,2023-2024,bundesliga
omar marmoush,Eintracht Frankfurt,11.406442493200302,4.691447583958507,9.890889197587969,41,15.56265939772129,2.8945334600284696,2023-2024,bundesliga
florian wirtz,Bayer Leverkusen,9.3572720233351,8.88662638887763,8.59949536062777,72,28.521583795547485,15.226114071905611,2023-2024,bundesliga
jonas wind,Wolfsburg,11.242378208320588,4.637466970831156,10.484601590316744,37,17.152671616524458,5.674650900065899,2023-2024,bundesliga
robin hack,Borussia M.Gladbach,4.567830590065569,2.017133677378297,4.567830590065569,23,7.399705816060305,1.6435965355485678,2023-2024,bundesliga
jamal musiala,Bayern Munich,8.374677112326026,6.257946293801069,8.374677112326026,41,24.165846794843677,11.269792128354313,2023-2024,bundesliga
eren sami dinkci,FC Heidenheim,3.6833908520638943,4.120627013035119,3.6833908520638943,35,10.54632380232215,4.091179316863418,2023-2024,bundesliga
álex grimaldo,Bayer Leverkusen,5.481053691357374,10.64055438619107,5.481053691357374,78,22.194406371563677,13.785695523023604,2023-2024,bundesliga
jeremie frimpong,Bayer Leverkusen,10.86039075627923,6.639975064434111,10.86039075627923,45,22.83795581012964,6.852963579818606,2023-2024,bundesliga
leroy sané,Bayern Munich,10.463140001520514,11.30691079236567,10.463140001520514,72,29.35667160153389,12.488253947347404,2023-2024,bundesliga
vincenzo grifo,Freiburg,7.684199303388596,8.20120744034648,3.1375391986221075,56,12.51849060319364,5.632112881168723,2023-2024,bundesliga
chris führich,VfB Stuttgart,7.510290591046214,8.933032155036926,6.752513853833079,52,24.860250413417816,13.97021697461605,2023-2024,bundesliga
jonathan burkardt,Mainz 05,6.991286312229931,2.5152483489364386,6.233509694226086,14,10.67875086516142,3.765703327953816,2023-2024,bundesliga
xavi simons,RasenBallsport Leipzig,7.734520580619574,10.540094953030348,6.218967225402594,79,23.96453043073416,12.515338407829404,2023-2024,bundesliga
tim skarke,Darmstadt,3.9389715548604727,2.044516548514366,3.9389715548604727,30,8.126491028815508,3.3146689906716347,2023-2024,bundesliga
phillip tietz,Augsburg,9.15065080858767,2.794616512954235,9.15065080858767,29,12.386572120711207,3.8898986922577024,2023-2024,bundesliga
jan-niklas beste,FC Heidenheim,4.454712076112628,6.618623999878764,3.696935391053557,70,6.628855990245938,2.2056391928344965,2023-2024,bundesliga
michael gregoritsch,Freiburg,11.299522154033184,1.2629597373306751,11.299522154033184,14,11.064708192832768,2.9364843908697367,2023-2024,bundesliga
julian brandt,Borussia Dortmund,4.833765083923936,10.61525715701282,4.833765083923936,80,15.423669405281544,7.738454823382199,2023-2024,bundesliga
patrik schick,Bayer Leverkusen,6.778491199016571,1.1231339424848557,6.020714581012726,8,9.454042546451092,3.1764470525085926,2023-2024,bundesliga
alassane pléa,Borussia M.Gladbach,6.879629638977349,3.6423654896207154,6.12185297627002,36,13.662751639261842,5.829366076737642,2023-2024,bundesliga
ihlas bebou,Hoffenheim,5.354578691534698,2.886668909341097,5.354578691534698,15,12.528125173412263,4.379570780321956,2023-2024,bundesliga
lucas höler,Freiburg,7.733447901904583,2.173959033563733,6.217894554138184,32,11.54770889878273,4.904460255987942,2023-2024,bundesliga
wout weghorst,Hoffenheim,7.089848818257451,3.5110421497374773,6.332072140648961,34,12.106838148087265,4.090849205851555,2023-2024,bundesliga
kevin stöger,Bochum,6.653226168826222,10.590811729431152,3.62211948633194,126,13.064226008951664,7.3393242647871375,2023-2024,bundesliga
ritsu doan,Freiburg,5.619689551182091,3.5378279890865088,5.619689551182091,31,10.873915130272508,3.092355154454708,2023-2024,bundesliga
ansgar knauff,Eintracht Frankfurt,6.450881984084845,3.2767638489604,6.450881984084845,19,11.87765314336866,3.446074989624321,2023-2024,bundesliga
mathys tel,Bayern Munich,4.882880583405495,2.5551925227046013,4.882880583405495,12,11.930157478898764,5.437594532966614,2023-2024,bundesliga
marco reus,Borussia Dortmund,7.890434369444847,6.095844455994666,7.890434369444847,36,14.216983430087566,5.956105806864798,2023-2024,bundesliga
leon goretzka,Bayern Munich,4.689053881913424,5.581948401406407,4.689053881913424,32,22.46926599740982,15.75047143921256,2023-2024,bundesliga
davie selke,FC Cologne,4.871595870703459,0.4104938842356205,4.871595870703459,12,4.404608283191919,0.958058787509799,2023-2024,bundesliga
takuma asano,Bochum,9.964158710092306,1.63044754229486,9.964158710092306,21,9.919001955538988,2.151080192998052,2023-2024,bundesliga
robin gosens,Union Berlin,2.4756892109289765,3.411861822940409,2.4756892109289765,34,7.790660656988621,4.173315906897187,2023-2024,bundesliga
rocco reitz,Borussia M.Gladbach,3.82297052256763,2.18938222900033,3.82297052256763,20,11.016384686343372,6.000934523530304,2023-2024,bundesliga
