nombre,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
mohamed salah,27.70626749098301,15.858334187418222,20.855747912079096,89,48.53588879853487,16.20675839856267,2024-2025,premier-league
alexander isak,22.356988068670034,5.44870379474014,19.312312599271536,42,26.209551103413105,3.579237926751375,2024-2025,premier-league
erling haaland,23.95459282770753,3.5812273556366563,20.90991743281484,29,22.845245644450188,3.5353690683841705,2024-2025,premier-league
chris wood,15.638655036687853,3.044111367315054,13.355148404836656,22,14.72016467526555,1.6692094188183546,2024-2025,premier-league
bryan mbeumo,13.63216146454215,10.376488702371716,9.06514835730195,70,24.377113293856382,9.351834732107818,2024-2025,premier-league
yoane wissa,20.731059528887272,3.4494741149246693,20.731059528887272,28,27.726778712123632,5.426989254541695,2024-2025,premier-league
ollie watkins,18.632458329200745,3.87640418484807,17.11012053489685,25,18.900541841983795,3.2909299470484257,2024-2025,premier-league
matheus cunha,8.446298986673355,7.411126339808106,8.446298986673355,56,18.023087229579687,7.101435688324273,2024-2025,premier-league
cole palmer,15.77423645183444,12.95436640828848,11.968392122536898,87,29.99983731843531,9.8022615686059,2024-2025,premier-league
jean-philippe mateta,15.83262430690229,3.85278513841331,14.31028657220304,29,18.602611111477017,3.6145096691325302,2024-2025,premier-league
jørgen strand larsen,11.689683858305216,3.358626527711749,11.689683858305216,19,16.568026771768928,3.4464203380048275,2024-2025,premier-league
jarrod bowen,9.816103929653764,7.633318647742271,9.054935092106462,50,15.45670910179615,3.264575046487153,2024-2025,premier-league
luis díaz,12.3563298471272,6.245185255073011,12.3563298471272,56,27.060918375849724,10.240967989899218,2024-2025,premier-league
raúl jiménez,14.405358291231096,4.079181319102645,12.121851704083385,25,17.43132229242474,5.398588978685439,2024-2025,premier-league
justin kluivert,10.441609976813195,5.512896118685603,5.87459684535861,44,15.81588026881218,6.402966948226094,2024-2025,premier-league
liam delap,11.930982023477554,2.784454360604286,10.40864434838295,20,14.707014501094818,3.1533351335674524,2024-2025,premier-league
kevin schade,9.467997699975967,3.714522727765143,9.467997699975967,23,15.767545722424984,4.10542070120573,2024-2025,premier-league
brennan johnson,11.162618312984703,2.948688331991434,11.162618312984703,19,16.477571818977594,3.746892217546701,2024-2025,premier-league
antoine semenyo,14.549346312880516,6.608794005587697,14.549346312880516,46,26.17976476252079,7.88416787609458,2024-2025,premier-league
danny welbeck,10.45602908357978,2.076795544475317,9.694860246032476,23,15.517961982637644,5.872543508186936,2024-2025,premier-league
joão pedro,8.863604867830873,5.618519173935056,5.0577606651932,30,15.910436924546955,7.6452163346111774,2024-2025,premier-league
nicolas jackson,13.8340708874166,3.47239719517529,13.8340708874166,28,16.895098600536585,3.080276776105165,2024-2025,premier-league
kaoru mitoma,10.222694747149944,4.949204979464412,10.222694747149944,37,21.407055608928204,8.427826434373856,2024-2025,premier-league
cody gakpo,8.601265830919147,6.257204940542579,8.601265830919147,38,22.09034220688045,8.677158913575113,2024-2025,premier-league
evanilson,13.714270060881972,1.9151847725734117,12.953101200982928,25,15.386878173798324,2.785225234925747,2024-2025,premier-league
alex iwobi,5.021547559648752,8.458939167670906,5.021547559648752,58,21.47882725391537,10.64560728892684,2024-2025,premier-league
jamie vardy,12.219386659562588,3.737534761428833,10.697048958390951,19,14.040310747921469,0.9949070662260056,2024-2025,premier-league
dominic solanke,12.416034620255232,2.4611449129879475,11.65486578270793,14,16.30166282877326,4.277167193591595,2024-2025,premier-league
kai havertz,11.830620590597391,2.9488715566694736,11.830620590597391,17,16.01736629009247,4.696250442415476,2024-2025,premier-league
harvey barnes,7.695071091875434,4.351620296947658,7.695071091875434,24,13.820457808673382,3.1923213340342045,2024-2025,premier-league
james maddison,5.8936047330498695,6.016693122684956,5.8936047330498695,42,15.656851299107077,7.841132877394557,2024-2025,premier-league
tomas soucek,8.068854354321957,0.947371281683445,8.068854354321957,14,13.590047078207135,5.360286621376872,2024-2025,premier-league
iliman ndiaye,7.094870626926422,1.9087076298892496,5.572532966732979,18,11.509084429591894,5.190615847706795,2024-2025,premier-league
bruno fernandes,9.887796703726051,10.227527445182204,7.604290317744017,92,24.228133594617248,13.64469823986292,2024-2025,premier-league
